#{"t_start": 1682909292.9572778, "env_id": "gym_cell/cg-v0"}
r,l,t
254.552,50,0.297568
76.8,50,0.513136
298.906,50,0.73162
287.3085,50,0.956823
163.05425,50,1.160713
74.4,50,1.359757
296.323,50,1.573116
283.3785,50,1.77785
93.6,50,1.971893
63.2,50,2.175755
307.2745,50,2.393805
75.2,50,2.614107
72.0,50,2.817927
83.2,50,3.008107
236.2015,50,3.212979
243.388,50,3.435977
280.925,50,3.644806
314.8155,50,3.868708
75.2,50,4.074302
271.73525,50,4.283558
-70.4,50,4.465494
-36.0,50,4.652738
-22.4,50,4.846783
-68.0,50,5.030721
-68.0,50,5.225962
-32.8,50,5.413143
-40.0,50,5.59485
-60.0,50,5.778538
-45.6,50,5.964227
-26.4,50,6.161017
-54.4,50,6.347059
301.565,50,6.593114
76.8,50,6.791339
267.0285,50,7.020579
271.838,50,7.22278
277.9905,50,7.434823
54.4,50,7.637516
77.6,50,7.845558
281.9995,50,8.065776
247.229,50,8.259493
82.4,50,8.465546
275.789,50,8.685429
192.0535,50,8.894661
80.8,50,9.105108
83.2,50,9.314082
235.3085,50,9.527141
362.1775,50,9.742587
159.3645,50,9.954844
66.4,50,10.16463
72.0,50,10.374674
82.4,50,10.565193
-42.4,50,10.7561
-50.4,50,10.975815
-40.8,50,11.163856
-50.4,50,11.342057
-56.0,50,11.53124
-57.6,50,11.727585
-43.2,50,11.910339
-64.0,50,12.102536
-50.4,50,12.303552
-52.0,50,12.497327
-66.4,50,12.680197
