#{"t_start": 1678127657.8034234, "env_id": "gym_cell/cg-v0"}
r,l,t
275.6,50,2.970493
291.595,50,3.301527
278.0785,50,3.61405
357.8015,50,3.93095
278.8765,50,4.239489
377.665,50,4.569978
280.3105,50,4.88706
322.793,50,5.215343
87.2,50,5.564853
314.7395,50,5.876137
374.469,50,6.200005
374.3005,50,6.546561
334.4725,50,6.880208
251.0055,50,7.205905
353.756,50,7.519669
312.0885,50,7.834584
266.695,50,8.167404
275.613,50,8.489845
322.4105,50,8.825855
291.552,50,9.139831
307.5415,50,9.439482
273.6335,50,9.73208
299.731,50,10.039327
71.2,50,10.335651
525.767,50,10.704258
83.2,50,11.002315
295.518,50,11.316946
332.0145,50,11.621252
80.8,50,11.919471
355.9105,50,12.238909
364.714,50,12.556163
405.171,50,12.919935
286.088,50,13.243621
364.139,50,13.589547
76.8,50,13.898014
257.5755,50,14.224099
425.0705,50,14.566137
323.907,50,14.898865
293.0145,50,15.211216
80.8,50,15.520262
78.4,50,15.819977
291.613,50,16.138441
352.9025,50,16.450867
300.293,50,16.769494
271.728,50,17.083552
309.135,50,17.425975
278.2465,50,17.733784
355.3935,50,18.088707
368.374,50,18.43305
372.631,50,18.761061
298.748,50,19.096941
74.4,50,19.40076
318.172,50,19.701548
394.4725,50,20.02775
291.349,50,20.335476
272.166,50,20.645302
376.053,50,20.96638
268.58625,50,21.283837
294.1815,50,21.585727
246.952,50,21.905145
80.8,50,22.222054
278.175,50,22.524418
263.325,50,23.883254
284.917,50,24.199435
326.789,50,24.533372
78.4,50,24.848151
83.2,50,25.175098
360.2855,50,25.491187
291.4725,50,25.823796
328.442,50,26.153717
307.0195,50,26.503265
333.041,50,26.840171
278.415,50,27.166664
350.4975,50,27.491545
286.867,50,27.811627
245.703,50,28.132262
260.229,50,28.443833
80.8,50,28.752695
236.407,50,29.05691
260.71,50,29.364225
236.6785,50,29.692252
307.835,50,30.022048
310.572,50,30.320284
75.2,50,30.615446
303.785,50,30.972086
318.1315,50,31.261266
74.4,50,31.575259
354.755,50,31.902551
299.2565,50,32.200294
302.2905,50,32.499169
250.3815,50,32.795846
281.759,50,33.107301
265.795,50,33.418513
359.239,50,33.744314
289.311,50,34.075543
351.3135,50,34.386689
297.484,50,34.719281
83.2,50,35.033378
319.481,50,35.358854
280.676,50,35.681921
274.4105,50,36.001649
247.0225,50,36.317986
358.537,50,36.645407
267.7775,50,36.968055
81.6,50,37.296642
302.5465,50,37.631466
312.5285,50,37.948389
311.2145,50,38.265708
275.022,50,38.602349
276.527,50,38.927327
284.452,50,39.247554
272.8065,50,39.560662
324.889,50,39.897924
255.3315,50,40.203858
353.6315,50,40.504104
462.2245,50,40.84586
331.5215,50,41.15605
278.2245,50,41.447829
257.049,50,41.749178
81.6,50,42.062525
312.0395,50,42.38611
332.116,50,42.733332
289.607,50,43.042105
276.9085,50,43.352964
284.6355,50,43.686061
374.5305,50,45.12017
75.2,50,45.447947
244.547,50,45.77774
258.829,50,46.101986
79.2,50,46.415598
271.942,50,46.753591
282.3105,50,47.052742
261.1975,50,47.364622
78.4,50,47.680741
398.76,50,48.02741
271.9155,50,48.333637
311.6765,50,48.648493
301.526,50,48.97747
293.753,50,49.281498
232.741,50,49.597325
76.0,50,49.906915
299.745,50,50.227452
323.0515,50,50.555981
243.9765,50,50.856352
365.9875,50,51.189241
276.6195,50,51.504297
309.4475,50,51.817983
295.109,50,52.126446
85.6,50,52.442497
257.875,50,52.731198
273.199,50,53.047455
321.943,50,53.363414
292.105,50,53.654932
374.0445,50,53.993359
301.4105,50,54.312241
285.6755,50,54.618253
249.2345,50,54.924801
299.8175,50,55.239218
306.5345,50,55.571291
290.736,50,55.901927
331.6275,50,56.218265
330.1905,50,56.552856
70.4,50,56.844449
319.5315,50,57.175962
378.796,50,57.506368
351.7515,50,57.840257
295.5835,50,58.16812
277.982,50,58.520007
257.5985,50,58.83765
243.218,50,59.154404
240.2665,50,59.454584
298.3855,50,59.778732
88.0,50,60.076343
309.6115,50,60.407019
83.2,50,60.713061
271.076,50,61.015043
383.255,50,61.337178
395.80925,50,61.682007
321.5945,50,62.011062
262.203,50,62.306228
80.8,50,62.604352
351.9825,50,62.911123
375.904,50,63.263751
328.744,50,63.584823
425.9735,50,63.921396
283.729,50,64.252452
372.1325,50,64.596203
338.008,50,64.919063
83.2,50,66.333248
286.7135,50,66.638532
302.124,50,66.94248
281.567,50,67.25917
342.7105,50,67.583031
309.366,50,67.9012
257.062,50,68.21134
367.9975,50,68.547174
314.437,50,68.907952
317.3675,50,69.221145
80.8,50,69.525132
357.4745,50,69.857882
316.206,50,70.196998
362.2025,50,70.531251
78.4,50,70.848771
481.505,50,71.205829
289.854,50,71.522037
370.438,50,71.84256
80.8,50,72.14027
299.6475,50,72.457867
348.993,50,72.757863
271.9755,50,73.073715
368.107,50,73.392577
76.0,50,73.686715
74.4,50,73.991549
314.998,50,74.299881
362.4055,50,74.628962
341.1805,50,74.938291
80.8,50,75.252704
280.7685,50,75.56865
425.022,50,75.933604
320.9525,50,76.246311
74.4,50,76.567552
301.722,50,76.903312
158.85225,50,77.224859
319.7445,50,77.544005
83.2,50,77.853426
370.351,50,78.204376
278.9535,50,78.528542
248.206,50,78.854167
320.8565,50,79.189396
76.8,50,79.492994
284.2215,50,79.8405
256.8875,50,80.14777
68.8,50,80.462343
302.4855,50,80.785127
367.8615,50,81.117448
356.7545,50,81.437916
350.098,50,81.775318
261.2365,50,82.071394
244.1235,50,82.390386
320.3535,50,82.710586
401.326,50,83.035748
373.858,50,83.3532
255.0435,50,83.667991
266.363,50,83.968599
353.1375,50,84.276097
298.502,50,84.590174
272.6515,50,84.89877
235.76,50,85.202595
320.385,50,85.528129
293.8975,50,85.853794
70.4,50,86.162881
342.033,50,87.60134
69.6,50,87.91241
255.9495,50,88.223728
240.332,50,88.558788
299.128,50,88.899285
255.124,50,89.232383
332.357,50,89.562618
269.7685,50,89.880332
332.3565,50,90.209932
324.6705,50,90.540024
305.358,50,90.870924
314.1815,50,91.19224
297.8755,50,91.528226
274.357,50,91.856791
84.0,50,92.168169
80.8,50,92.484176
297.6385,50,92.815916
238.4215,50,93.111912
281.561,50,93.440999
265.239,50,93.761081
243.7185,50,94.051124
233.948,50,94.331489
323.178,50,94.653389
252.891,50,94.977255
268.7375,50,95.297021
397.265,50,95.616826
382.3605,50,95.932159
83.2,50,96.247239
72.0,50,96.54247
80.8,50,96.853904
339.0635,50,97.168231
83.2,50,97.495424
285.2925,50,97.817999
316.6455,50,98.146055
280.378,50,98.46359
76.8,50,98.792965
315.6805,50,99.129797
270.5745,50,99.468296
276.5135,50,99.782197
80.8,50,100.087836
307.8595,50,100.383206
265.374,50,100.722063
247.572,50,101.033735
74.4,50,101.35804
172.04825,50,101.675771
271.4115,50,102.010962
302.075,50,102.330045
272.06,50,102.64205
75.2,50,102.948838
358.9335,50,103.24407
355.652,50,103.564648
252.6435,50,103.861744
263.999,50,104.172262
74.4,50,104.476099
267.9975,50,104.774775
289.209,50,105.082484
83.2,50,105.391517
83.2,50,105.681815
80.8,50,105.982408
442.216,50,106.326008
283.4065,50,106.653444
236.271,50,106.969638
286.7565,50,107.306409
80.8,50,108.744597
312.833,50,109.073676
315.266,50,109.382088
273.092,50,109.71376
242.237,50,110.022034
313.471,50,110.351947
351.531,50,110.715587
332.1305,50,111.032011
342.598,50,111.375915
318.4935,50,111.705737
390.61725,50,112.031203
298.5715,50,112.359931
282.1885,50,112.680222
298.945,50,113.005135
320.018,50,113.338976
79.2,50,113.646544
332.6215,50,113.967435
271.179,50,114.271435
85.6,50,114.572403
416.7435,50,114.912175
298.721,50,115.202609
395.0125,50,115.53964
318.6945,50,115.841051
252.14,50,116.13913
278.5255,50,116.462715
431.831,50,116.79753
72.0,50,117.112904
270.375,50,117.416753
346.6355,50,117.768469
255.209,50,118.082879
298.419,50,118.405736
304.4465,50,118.73161
319.0825,50,119.05184
289.249,50,119.366863
244.569,50,119.681993
285.819,50,120.01667
303.105,50,120.340251
359.2225,50,120.654209
80.8,50,120.965886
265.472,50,121.280026
271.507,50,121.589853
241.722,50,121.908437
294.542,50,122.237559
285.8675,50,122.574573
345.624,50,122.9053
70.4,50,123.220933
302.607,50,123.522653
343.27,50,123.853793
254.9365,50,124.141005
237.7415,50,124.450099
270.8365,50,124.737483
298.0595,50,125.037338
333.337,50,125.35304
290.5775,50,125.654191
356.5685,50,125.979186
278.122,50,126.301316
383.9495,50,126.623085
297.0355,50,126.92539
264.66,50,127.229918
289.2655,50,127.54969
242.115,50,127.879974
346.592,50,128.216748
276.765,50,128.547768
344.2285,50,129.985141
295.1345,50,130.297014
331.4935,50,130.650343
370.3745,50,130.983817
372.878,50,131.316602
231.4475,50,131.610136
252.97,50,131.939402
296.978,50,132.262308
377.7925,50,132.605752
362.805,50,132.937454
76.8,50,133.261006
298.72,50,133.570316
301.005,50,133.882602
321.4515,50,134.195294
240.93,50,134.509767
380.4315,50,134.831614
389.048,50,135.140061
260.736,50,135.43474
250.911,50,135.762262
276.8015,50,136.059421
304.582,50,136.371975
427.243,50,136.716535
253.5115,50,137.004388
325.208,50,137.323536
348.394,50,137.635567
331.3435,50,137.957274
297.749,50,138.274536
74.4,50,138.601004
273.7705,50,138.912681
311.60425,50,139.238899
279.5175,50,139.560575
375.5265,50,139.884572
337.6635,50,140.24283
287.248,50,140.55704
76.0,50,140.876137
347.0105,50,141.204452
278.6545,50,141.526316
309.325,50,141.85833
313.9485,50,142.183133
388.1455,50,142.518333
254.6865,50,142.826561
297.913,50,143.137667
306.1,50,143.480572
330.7635,50,143.803043
319.6705,50,144.129273
319.3205,50,144.469057
350.657,50,144.78506
274.2235,50,145.095906
359.648,50,145.429182
329.243,50,145.749243
315.9735,50,146.053113
292.5835,50,146.363554
260.3415,50,146.681906
79.2,50,146.981615
314.293,50,147.285798
332.877,50,147.599458
344.868,50,147.921012
316.7555,50,148.251576
291.0505,50,148.601345
393.402,50,148.937915
371.885,50,149.27732
371.049,50,149.632128
322.1195,50,149.924842
259.639,50,151.361382
340.554,50,151.688142
163.61675,50,152.014748
259.588,50,152.319664
287.842,50,152.642433
322.596,50,152.96392
251.6795,50,153.26952
357.5895,50,153.601724
80.8,50,153.916587
313.1625,50,154.238139
310.2145,50,154.565675
353.8905,50,154.905589
267.663,50,155.220253
389.8085,50,155.558268
300.2565,50,155.891999
295.7225,50,156.204163
301.1365,50,156.513816
314.8225,50,156.819057
258.981,50,157.12592
264.9295,50,157.44131
295.421,50,157.763344
352.815,50,158.075223
247.0495,50,158.394949
348.379,50,158.71248
316.877,50,159.049496
78.4,50,159.345667
329.668,50,159.670144
340.935,50,159.992086
76.8,50,160.316473
356.8525,50,160.62137
273.1695,50,160.943079
360.1685,50,161.27745
76.8,50,161.595089
315.216,50,161.92593
413.3615,50,162.28318
