#{"t_start": 1677701465.8130965, "env_id": "gym_cell/cg-v0"}
r,l,t
1878,400,3.31578
1808,400,4.013613
-1620,400,4.761835
-1606,400,5.29335
-1736,400,5.727321
-1638,400,6.15969
-1548,400,6.593144
-1460,400,7.031229
-1574,400,7.464526
-1474,400,7.898738
-1512,400,8.332422
-1516,400,8.77002
-1668,400,9.209727
-1534,400,9.649241
-1556,400,10.083936
-1610,400,10.52054
-1592,400,11.027872
-1662,400,11.631479
-1496,400,12.24245
-1500,400,12.750035
-1444,400,13.181648
-1606,400,13.610797
-1674,400,14.039731
-1510,400,14.569031
-1562,400,15.005059
-1610,400,15.440976
-1502,400,15.878463
-1468,400,16.312989
-1560,400,16.745282
-1606,400,17.175161
-1674,400,17.60264
-1588,400,18.031831
-1532,400,18.466481
-1630,400,18.898222
-1588,400,19.331254
-1476,400,19.765378
-1468,400,20.196137
-1688,400,20.621556
-1658,400,21.051264
-1616,400,21.482715
-1434,400,21.914523
-1562,400,22.34312
-1524,400,22.869616
-1522,400,23.301568
-1628,400,23.732951
-1404,400,24.163916
-1560,400,24.593575
-1600,400,25.023917
-1668,400,25.453123
-1516,400,25.88144
-1524,400,26.310252
-1490,400,26.737867
2136.6235,400,27.431284
2052.252,400,28.081468
-1628,400,28.828449
-1604,400,29.259213
-1520,400,29.689441
-1566,400,30.119105
-1572,400,30.548736
-1542,400,30.978207
-1504,400,31.411026
-1422,400,31.844165
-1532,400,32.370017
-1674,400,32.802473
-1582,400,33.236887
-1688,400,33.670099
-1558,400,34.105419
-1544,400,34.54221
-1586,400,34.979244
-1274,400,35.413539
-1640,400,35.846706
-1692,400,36.279253
-1584,400,36.713957
-1638,400,37.149778
-1580,400,37.585053
-1588,400,38.026112
-1498,400,38.468195
-1602,400,38.904275
-1610,400,39.342966
-1642,400,39.783549
-1582,400,40.319487
-1500,400,40.752748
-1530,400,41.186
-1558,400,41.619816
-1548,400,42.052389
-1586,400,42.486248
-1506,400,42.922631
-1636,400,43.356478
-1528,400,43.78879
-1546,400,44.224214
-1496,400,44.659441
-1588,400,45.094449
-1660,400,45.529567
-1588,400,45.963297
-1558,400,46.396407
-1560,400,46.828254
-1514,400,47.258959
-1588,400,47.692087
-1620,400,48.122785
-1680,400,48.649773
-1596,400,49.081704
-1598,400,49.520925
-1566,400,49.960367
-1490,400,50.391152
1860,400,52.228889
2038.7505,400,52.899871
2166.2105,400,53.720891
2156.9415,400,54.214967
2113.935,400,54.710391
2218.142,400,55.225143
2201.273,400,55.747383
2163.9935,400,56.256949
2252.5895,400,56.77693
2209.805,400,57.302634
2203.9895,400,57.811285
2113.193,400,58.300578
2240.3795,400,58.804361
2144.2775,400,59.383686
2277.2365,400,60.0234
2263.968,400,60.552947
2178.813,400,61.040052
2209.4655,400,61.538748
2210.6715,400,62.063478
2264.394,400,62.59984
2232.926,400,63.139069
2170.845,400,63.648471
2099.4035,400,64.138085
2119.815,400,64.62587
2145.3675,400,65.116095
2088.4005,400,65.613883
2081.7045,400,66.091707
2228.464,400,66.610096
2192.189,400,67.122706
1962,400,67.628444
2204.1765,400,68.145915
2194.0145,400,68.669873
2123.65,400,69.153915
2141.4775,400,69.654202
2187.686,400,70.155729
2281.1285,400,70.699438
1912,400,71.199744
2244.3445,400,71.728708
1968,400,72.229583
2140.766,400,72.731869
2169.2505,400,73.246344
2158.975,400,73.76866
2110.2125,400,74.272899
1922,400,74.777364
2182.6545,400,75.290608
2166.1685,400,75.798295
2164.1745,400,76.317528
2210.7585,400,76.825662
2091.63,400,77.329991
2097.2935,400,77.839196
2154.8245,400,78.356387
2179.926,400,78.85839
1930,400,79.544609
2170.173,400,80.249811
2147.4605,400,81.246812
2138.068,400,81.829705
2084.001,400,82.321434
1962,400,82.82033
2188.8395,400,83.348521
2118.036,400,83.83793
2253.034,400,84.35586
2191.2405,400,84.860888
2208.0425,400,85.355283
2080.2615,400,85.858569
2148.296,400,86.364364
2136.8,400,86.846183
2227.1345,400,87.361415
2174.202,400,87.894336
2153.6975,400,88.377504
2146.063,400,88.878981
2092.532,400,89.378483
2144.295,400,89.871746
2065.496,400,90.363776
2124.4675,400,90.860486
2134.6025,400,91.356345
2206.485,400,91.867866
2261.795,400,92.372465
1936,400,92.872169
2170.6105,400,93.370437
2191.3295,400,93.873687
2144.027,400,94.362827
2142.8175,400,94.862865
2100.1225,400,95.370156
2123.297,400,95.851364
2133.519,400,96.33773
2216.582,400,96.851959
2140.2765,400,97.352192
2129.253,400,97.850075
2183.9985,400,98.344566
2108.9325,400,98.827544
2167.84,400,99.331057
2119.8305,400,99.832276
2162.1015,400,100.313644
2186.383,400,100.832997
2138.2825,400,101.318316
2162.114,400,101.820415
2224.227,400,102.3322
2136.1535,400,102.821723
1952,400,103.302466
1952,400,103.78842
2195.6225,400,104.303663
2176.5275,400,104.799153
2189.8375,400,105.33074
2139.0475,400,105.834505
2083.3575,400,107.939129
2064.0355,400,108.702714
2127.328,400,109.503804
2154.808,400,110.005556
1950,400,110.469943
2126.0425,400,110.979743
1958,400,111.45119
2192.7155,400,111.952412
1974,400,112.42354
2097.413,400,112.918493
2125.8305,400,113.406504
2076.7605,400,113.880469
2122.5325,400,114.35528
1974,400,114.823304
1958,400,115.289364
1934,400,115.764683
2089.865,400,116.238351
1930,400,116.714235
2119.486,400,117.197558
1968,400,117.662627
2148.732,400,118.15518
1936,400,118.630397
2145.8245,400,119.105467
2147.8945,400,119.600099
2149.1015,400,120.075786
2156.288,400,120.549776
1954,400,121.019326
1974,400,121.503735
1968,400,121.962842
1948,400,122.456438
2197.084,400,122.941527
1952,400,123.421833
2104.6315,400,123.907936
2093.621,400,124.398689
2136.5555,400,124.873594
2125.02,400,125.351126
1950,400,125.818051
2151.065,400,126.292974
2173.016,400,126.775836
