#{"t_start": 1677702957.0452292, "env_id": "gym_cell/cg-v0"}
r,l,t
93.9,400,3.45303
90.4,400,4.207206
-81.0,400,5.016257
-80.3,400,5.582108
-86.8,400,6.056136
-81.9,400,6.531969
-77.4,400,7.009574
-73.0,400,7.488976
-78.7,400,7.959666
-73.7,400,8.426193
-75.6,400,8.897857
-75.8,400,9.371505
-83.4,400,9.845954
-76.7,400,10.317325
-77.8,400,10.790913
-80.5,400,11.261105
-79.6,400,11.734615
-83.1,400,12.209076
-74.8,400,12.678721
-75.0,400,13.157048
-72.2,400,13.63311
-80.3,400,14.108001
-83.7,400,14.581304
-75.5,400,15.157875
-78.1,400,15.642502
-80.5,400,16.161922
-75.1,400,16.74335
-73.4,400,17.323129
-78.0,400,17.824184
-80.3,400,18.289575
-83.7,400,18.754076
-79.4,400,19.218571
-76.6,400,19.684968
-81.5,400,20.155853
-79.4,400,20.628438
-73.8,400,21.103312
-73.4,400,21.575299
-84.4,400,22.04635
-82.9,400,22.520868
-80.8,400,22.993268
-71.7,400,23.481241
-78.1,400,23.955936
-76.2,400,24.534703
-76.1,400,25.016165
-81.4,400,25.494607
-70.2,400,25.970951
-78.0,400,26.449448
-80.0,400,26.926794
-83.4,400,27.402454
-75.8,400,27.871989
-76.2,400,28.346035
-74.5,400,28.819979
274.6235,400,29.595586
260.552,400,30.378759
-81.4,400,31.391997
-80.2,400,31.889035
-76.0,400,32.357189
-78.3,400,32.82744
-78.6,400,33.292469
-77.1,400,33.760551
-75.2,400,34.23257
-71.1,400,34.700843
-76.6,400,35.272282
-83.7,400,35.741719
-79.1,400,36.217441
-84.4,400,36.686407
-77.9,400,37.158189
-77.2,400,37.631335
-79.3,400,38.115811
-63.7,400,38.590785
-82.0,400,39.059224
-84.6,400,39.530851
-79.2,400,40.002716
-81.9,400,40.472498
-79.0,400,40.943274
-79.4,400,41.413327
-74.9,400,41.887652
-80.1,400,42.361128
-80.5,400,42.838495
-82.1,400,43.321361
-79.1,400,43.892613
-75.0,400,44.366723
-76.5,400,44.836332
-77.9,400,45.312397
-77.4,400,45.786802
-79.3,400,46.260767
-75.3,400,46.737303
-81.8,400,47.216089
-76.4,400,47.689868
-77.3,400,48.164319
-74.8,400,48.6403
-79.4,400,49.114211
-83.0,400,49.588906
-79.4,400,50.063044
-77.9,400,50.54038
-78.0,400,51.015002
-75.7,400,51.494255
-79.4,400,51.961892
-81.0,400,52.434823
-84.0,400,53.020152
-79.8,400,53.552477
-79.9,400,54.101848
-78.3,400,54.638463
-74.5,400,55.127423
400.0285,400,57.19628
373.9365,400,57.930491
250.1235,400,58.788557
332.559,400,59.334033
96.3,400,59.850942
354.97,400,60.373387
280.7645,400,60.88996
303.6135,400,61.408745
296.5105,400,61.941952
296.4815,400,62.483129
316.241,400,63.036178
259.796,400,63.557741
365.923,400,64.102725
358.8995,400,64.639994
90.3,400,65.199215
95.8,400,65.749946
276.077,400,66.275087
93.6,400,66.82324
293.072,400,67.388839
267.1875,400,67.917794
97.3,400,68.454691
267.951,400,68.98839
96.3,400,69.497318
96.7,400,70.049713
97.8,400,70.589285
96.7,400,71.100492
280.826,400,71.620599
92.2,400,72.140302
282.6795,400,72.678615
262.4705,400,73.205993
95.2,400,73.728678
305.93,400,74.265678
92.8,400,74.800602
259.3055,400,75.313038
292.717,400,75.846982
318.3905,400,76.392602
96.4,400,76.966871
96.4,400,77.510431
298.109,400,78.034669
96.7,400,78.580544
295.049,400,79.117911
96.1,400,79.702407
349.5815,400,80.329513
279.493,400,80.901051
95.8,400,81.405427
92.5,400,81.923692
95.4,400,82.442062
356.3765,400,82.967782
255.732,400,83.506709
339.3205,400,84.051175
93.6,400,84.596702
97.3,400,85.103668
353.278,400,85.85986
315.229,400,86.558045
321.307,400,87.44436
258.4015,400,88.050121
329.903,400,88.659095
97.0,400,89.188164
96.0,400,89.702072
280.517,400,90.239868
84.1,400,90.746007
90.9,400,91.267843
289.7065,400,91.8094
94.8,400,92.343247
96.1,400,92.872047
96.9,400,93.394352
336.354,400,93.897543
291.157,400,94.403276
283.7735,400,94.91153
397.1045,400,95.465157
351.3475,400,96.004681
280.191,400,96.508766
271.5025,400,97.020998
315.2305,400,97.582439
298.0135,400,98.120468
345.9455,400,98.664909
261.356,400,99.206573
95.1,400,99.74798
94.9,400,100.294347
97.2,400,100.790855
273.0615,400,101.320214
313.675,400,101.872135
368.7315,400,102.42029
94.8,400,102.940225
304.8845,400,103.483983
336.944,400,104.050743
348.443,400,104.621208
