#{"t_start": 1677648278.8125257, "env_id": "gym_cell/cg-v0"}
r,l,t
2679.4475,50,2.907254
4588.965,50,3.35007
3048.695,50,3.771584
2764.8775,50,4.05929
3424.865,50,4.454684
3712.48,50,4.893127
2619.37,50,5.230575
4321.97,50,5.556746
1988.1225,50,5.82452
3204.5625,50,6.200128
4956.6525,50,6.559213
2665.6125,50,6.907227
3794.15,50,7.226999
2973.035,50,7.567989
3359.735,50,7.888176
1623.93,50,8.137871
3703.53,50,8.513153
4877.6675,50,8.933955
2288.955,50,9.233647
3041.245,50,9.602753
218.5,50,9.967575
176.5,50,10.348178
155.9,50,10.696457
197.1,50,11.045923
197.9,50,11.417414
187.0,50,11.783498
293.2,50,12.145582
229.0,50,12.52488
271.4,50,12.868464
218.5,50,13.240148
198.3,50,13.57201
208.8,50,13.935545
156.3,50,14.318902
187.0,50,14.696095
187.4,50,15.049632
156.7,50,15.421086
208.0,50,15.766368
250.8,50,16.128423
166.8,50,16.503591
250.8,50,16.881096
176.5,50,17.21211
166.8,50,17.541817
157.5,50,17.887035
146.2,50,18.238105
217.3,50,18.59517
186.2,50,18.913758
134.9,50,19.293346
187.4,50,19.658754
125.6,50,20.021697
209.2,50,20.352397
165.2,50,20.685397
187.4,50,21.046994
272.2,50,21.394156
187.8,50,21.72855
209.2,50,22.094611
187.4,50,22.435459
113.5,50,22.80284
218.5,50,23.171531
270.2,50,23.513728
146.2,50,23.85828
155.5,50,24.222954
156.3,50,24.566829
197.9,50,24.949783
197.9,50,25.315565
155.1,50,25.6724
176.5,50,26.050928
155.9,50,26.43478
197.5,50,26.801592
166.8,50,27.175172
176.9,50,27.508666
4781.605,50,27.990474
3416.1925,50,28.475541
5676.73,50,28.851744
4051.82,50,29.225019
5575.905,50,29.665392
3442.635,50,30.034341
3440.785,50,30.37217
5369.1575,50,30.754545
2735.5,50,31.09589
5606.45,50,31.513296
5838.9,50,31.905454
3224.2125,50,32.218815
2604.79,50,32.540665
4550.455,50,32.958123
5902.335,50,33.424302
4927.56,50,33.803054
2786.29,50,34.094135
3902.04,50,34.401723
3541.985,50,34.765924
3738.69,50,35.191667
198.3,50,35.524382
166.0,50,35.905415
218.5,50,36.235841
219.3,50,36.575267
125.2,50,36.942423
207.6,50,37.32345
187.0,50,37.664111
240.3,50,38.016635
135.7,50,38.373162
176.5,50,38.727251
166.0,50,39.127378
187.4,50,39.485697
176.1,50,39.823222
177.3,50,40.178802
166.0,50,40.546592
176.5,50,40.915485
176.1,50,41.283076
176.5,50,41.670829
187.0,50,42.019345
145.8,50,42.386253
249.6,50,42.729251
281.1,50,43.113437
145.8,50,43.446734
166.0,50,43.797472
208.4,50,44.141838
186.6,50,44.526572
134.9,50,44.887236
155.5,50,45.251927
145.4,50,45.58059
207.6,50,45.93391
177.3,50,46.309426
166.4,50,46.627916
208.0,50,46.988287
82.4,50,47.327213
197.5,50,47.684605
240.3,50,48.038159
187.0,50,48.410863
229.8,50,48.759277
156.3,50,49.122855
187.0,50,49.473216
239.1,50,49.826459
166.4,50,50.186306
177.7,50,50.585425
259.7,50,50.934679
156.3,50,51.278973
135.3,50,51.623484
260.9,50,52.017559
155.9,50,52.33169
250.0,50,52.694757
208.8,50,53.062007
2486.615,50,54.470814
3121.4,50,54.875804
3874.41,50,55.273941
4884.715,50,55.660497
4717.855,50,56.030618
4035.74,50,56.377514
6024.3,50,56.799383
3798.03,50,57.133576
2850.585,50,57.450976
3978.05,50,57.791656
5015.23,50,58.155841
4876.82,50,58.573534
2008.485,50,58.912681
2892.9625,50,59.22971
2540.185,50,59.55705
3065.175,50,59.938449
3076.105,50,60.414792
5821.34,50,60.847996
2935.035,50,61.152974
4062.16,50,61.504108
-25.0,50,61.742805
-25.0,50,61.979913
-25.0,50,62.216685
-25.0,50,62.454346
-25.0,50,62.691867
-25.0,50,62.928813
-25.0,50,63.166868
-25.0,50,63.404409
-25.0,50,63.642174
-25.0,50,63.879455
-25.0,50,64.116989
-25.0,50,64.355072
-25.0,50,64.59244
-25.0,50,64.828496
-25.0,50,65.065983
-25.0,50,65.303604
-25.0,50,65.540059
-25.0,50,65.7774
-25.0,50,66.013921
-25.0,50,66.250716
-25.0,50,66.487155
-25.0,50,66.724557
-25.0,50,66.961457
-25.0,50,67.198062
-25.0,50,67.434454
-25.0,50,67.671747
-25.0,50,67.908315
-25.0,50,68.144513
-25.0,50,68.382099
-25.0,50,68.618629
-25.0,50,68.854902
-25.0,50,69.091917
-25.0,50,69.327667
-25.0,50,69.563904
-25.0,50,69.800176
-25.0,50,70.036042
-25.0,50,70.27247
-25.0,50,70.509278
-25.0,50,70.746001
-25.0,50,70.982749
-25.0,50,71.218941
-25.0,50,71.456353
-25.0,50,71.692217
-25.0,50,71.927787
-25.0,50,72.164082
-25.0,50,72.400339
-25.0,50,72.637088
-25.0,50,72.873642
-25.0,50,73.109821
-25.0,50,73.346482
3533.9975,50,73.730641
2541.61,50,74.053669
2718.4775,50,74.364953
4010.26,50,74.712601
2690.89,50,75.03176
4385.06,50,75.406871
1316.38,50,75.680121
2627.33,50,75.992317
5208.95,50,76.387448
2351.975,50,76.707873
2829.46,50,77.032945
1728.325,50,77.286856
4034.445,50,77.633325
3895.03,50,77.970444
6440.5825,50,78.443375
2305.03,50,78.758615
3513.64,50,79.128845
5726.515,50,79.516405
321.5,50,79.769459
3779.19,50,80.11493
-25.0,50,80.353065
-25.0,50,80.589414
-25.0,50,80.825911
-25.0,50,81.062493
-25.0,50,81.29876
-25.0,50,81.534951
-25.0,50,81.771528
-25.0,50,82.0085
-25.0,50,82.245735
-25.0,50,82.48158
-25.0,50,82.717302
-25.0,50,82.954059
-25.0,50,83.190259
-25.0,50,83.426259
-25.0,50,83.661713
-25.0,50,83.898594
-25.0,50,84.135839
-25.0,50,84.37182
-25.0,50,84.607982
-25.0,50,84.844893
-25.0,50,85.080776
-25.0,50,85.317578
-25.0,50,85.553314
-25.0,50,85.789376
-25.0,50,86.025448
-25.0,50,86.260993
-25.0,50,86.498244
-25.0,50,86.735387
-25.0,50,86.97188
-25.0,50,87.207762
-25.0,50,87.444471
-25.0,50,87.680124
-25.0,50,87.916905
-25.0,50,88.152912
-25.0,50,88.388796
-25.0,50,88.624913
-25.0,50,88.860219
-25.0,50,89.095767
-25.0,50,89.331299
-25.0,50,89.567773
-25.0,50,89.803685
-25.0,50,90.039399
-25.0,50,90.275214
-25.0,50,90.512104
-25.0,50,90.748105
-25.0,50,90.984361
-25.0,50,91.22094
-25.0,50,91.457846
