#{"t_start": 1677728761.5749135, "env_id": "gym_cell/cg-v0"}
r,l,t
93.9,400,3.598671
90.4,400,4.434684
-81.0,400,5.320463
-80.3,400,5.928535
-86.8,400,6.433973
-81.9,400,6.942202
-77.4,400,7.463441
-73.0,400,7.985273
-78.7,400,8.502978
-73.7,400,9.014371
-75.6,400,9.526448
-75.8,400,10.027992
-83.4,400,10.525916
-76.7,400,11.031286
-77.8,400,11.540043
-80.5,400,12.049868
-79.6,400,12.558043
-83.1,400,13.065619
-74.8,400,13.57897
-75.0,400,14.085892
-72.2,400,14.593561
-80.3,400,15.106032
-83.7,400,15.613283
-75.5,400,16.2298
-78.1,400,16.739669
-80.5,400,17.247949
-75.1,400,17.759051
-73.4,400,18.264633
-78.0,400,18.772706
-80.3,400,19.279228
-83.7,400,19.79285
-79.4,400,20.299571
-76.6,400,20.821418
-81.5,400,21.342024
-79.4,400,21.854629
-73.8,400,22.37038
-73.4,400,22.878946
-84.4,400,23.381432
-82.9,400,23.895157
-80.8,400,24.406816
-71.7,400,24.93901
-78.1,400,25.538871
-76.2,400,26.241536
-76.1,400,26.752671
-81.4,400,27.264414
-70.2,400,27.769346
-78.0,400,28.27897
-80.0,400,28.791776
-83.4,400,29.303456
-75.8,400,29.816312
-76.2,400,30.320935
-74.5,400,30.828611
-82.3,400,31.335645
-75.1,400,31.843
-72.2,400,32.346702
-78.7,400,32.851027
-76.9,400,33.355528
-77.8,400,33.863188
-79.4,400,34.371432
-75.6,400,34.877386
-69.5,400,35.494095
-77.1,400,35.994878
-69.4,400,36.499539
-76.6,400,37.001857
-70.7,400,37.504534
-79.6,400,38.002918
-80.3,400,38.50995
-77.8,400,39.016278
-77.7,400,39.522983
-74.9,400,40.022453
-77.9,400,40.528644
-83.1,400,41.035748
-75.1,400,41.538446
-82.6,400,42.03918
-70.5,400,42.542055
-76.5,400,43.042542
-79.8,400,43.546849
-82.3,400,44.051717
-77.3,400,44.659962
-80.7,400,45.176403
-73.2,400,45.695651
-77.4,400,46.246368
-82.1,400,46.82593
-72.3,400,47.406505
-79.6,400,47.929635
-82.6,400,48.532896
-81.0,400,49.137678
-81.9,400,49.718307
-71.6,400,50.235903
-78.7,400,50.752943
-78.7,400,51.265363
-81.2,400,51.778407
-76.5,400,52.291137
-75.7,400,52.804072
-78.3,400,53.3123
-74.2,400,53.831541
-77.0,400,54.353854
-81.5,400,54.994311
-84.3,400,55.579267
-75.8,400,56.165036
-80.3,400,56.685672
-83.7,400,57.199422
-80.5,400,57.711338
-73.1,400,58.224407
-77.3,400,58.733396
-80.4,400,59.241629
-81.5,400,59.749337
-83.4,400,60.252975
-86.6,400,60.76407
-82.5,400,61.275113
-75.0,400,61.782413
-80.4,400,62.291319
-78.0,400,62.793906
-79.7,400,63.302388
-80.7,400,63.810169
-79.4,400,64.418848
-80.3,400,64.924391
-80.7,400,65.431107
-76.6,400,65.93779
-72.5,400,66.445382
-80.7,400,66.952044
-83.3,400,67.461192
-83.6,400,67.968259
-81.2,400,68.477625
-83.0,400,68.987957
-78.3,400,69.492894
-81.7,400,70.000147
-76.7,400,70.510522
-75.7,400,71.019753
-77.4,400,71.526447
-78.4,400,72.037344
-77.9,400,72.543453
-78.7,400,73.043375
-79.7,400,73.544777
-80.2,400,74.157826
-76.1,400,74.668929
-83.2,400,75.174159
-77.6,400,75.679184
-84.2,400,76.256893
-81.8,400,76.857774
-73.3,400,77.41621
-77.5,400,77.922434
-80.2,400,78.435776
-80.5,400,78.941669
-81.3,400,79.443365
-81.4,400,79.953897
-79.9,400,80.468709
-76.4,400,80.98388
-76.4,400,81.497031
-76.7,400,82.011602
