#{"t_start": 1676262985.542651, "env_id": "gym_cell/cg-v0"}
r,l,t
-32,20,11.90774
-48,20,12.261095
-44,20,12.597539
-32,20,12.949206
-20,20,13.28841
-32,20,13.64502
-20,20,13.998118
-38,20,14.38226
-14,20,14.723263
-48,20,15.067375
-30,20,15.414817
-40,20,25.075496
-32,20,25.425437
-32,20,25.787748
-38,20,26.153384
-2,20,26.514634
-38,20,26.857151
-24,20,27.199732
-26,20,27.549061
-18,20,27.912711
-8,20,28.264806
-32,20,28.608481
-38,20,38.244868
-32,20,38.605804
30,20,38.958837
-52,20,39.320525
-8,20,39.671739
-32,20,40.021734
-36,20,40.351766
-32,20,40.703432
-18,20,41.073717
-24,20,41.424904
-48,20,41.789988
-52,20,51.542916
-66,20,51.886692
-12,20,52.275339
-40,20,52.640121
-58,20,52.979943
-28,20,53.342128
-38,20,53.683968
-48,20,54.034415
-50,20,54.37609
-32,20,54.707298
-48,20,55.068434
-38,20,64.632288
-26,20,64.987841
-12,20,65.346237
-12,20,65.689469
-28,20,66.041672
-36,20,66.380603
-32,20,66.738622
-32,20,67.094831
2,20,67.437579
-32,20,67.775912
-44,20,68.147161
-2,20,77.790431
-28,20,78.142966
-16,20,78.492345
-58,20,78.848159
-52,20,79.188969
-54,20,79.539294
-44,20,79.902104
-52,20,80.247305
-58,20,80.58771
-38,20,80.937467
-12,20,81.288522
-8,20,91.086838
-34,20,91.457248
-38,20,91.820204
-4,20,92.162826
-28,20,92.51478
-34,20,92.858968
-26,20,93.205852
-22,20,93.540362
14,20,93.893292
2,20,94.229239
-44,20,94.568915
-56,20,104.240156
-8,20,104.592801
-16,20,104.924665
-52,20,105.281073
-28,20,105.643046
-68,20,105.99185
-30,20,106.334953
-58,20,106.669128
-38,20,107.020102
-34,20,107.366087
-56,20,107.728262
-42,20,117.328123
-22,20,117.671024
-28,20,118.034891
-24,20,118.391494
-12,20,118.729272
-32,20,119.08015
-22,20,119.438581
-40,20,119.784542
-22,20,120.120375
-20,20,120.478678
-36,20,120.810194
-30,20,130.478369
-36,20,130.812032
-54,20,131.161987
-28,20,131.501225
-62,20,131.862835
-34,20,132.208576
-72,20,132.546352
-58,20,132.897778
-20,20,133.275257
-38,20,133.619843
-42,20,133.98262
-66,20,143.777171
-36,20,144.124836
-28,20,144.483248
-48,20,144.827682
-58,20,145.190862
-38,20,145.53381
-38,20,145.862929
-42,20,146.233707
-48,20,146.583421
22,20,146.936024
-26,20,147.279009
-36,20,156.918353
-36,20,157.270689
-48,20,157.622815
-36,20,157.963825
-12,20,158.320472
-42,20,158.660138
-32,20,158.995301
-42,20,159.334121
-28,20,159.680634
-18,20,160.040248
-12,20,160.407109
-28,20,170.051762
-38,20,170.412501
-32,20,170.777861
-26,20,171.138273
-36,20,171.492201
-26,20,171.840334
-12,20,172.173504
-56,20,172.506489
-44,20,172.857802
-56,20,173.19672
-52,20,173.54106
-42,20,183.209034
-36,20,183.546012
-62,20,183.878211
-54,20,184.225835
-10,20,184.60423
-32,20,184.972677
8,20,185.328058
-52,20,185.684181
-40,20,186.048804
-32,20,186.391508
-18,20,186.748847
-48,20,196.457178
-4,20,196.818003
4,20,197.169697
-32,20,197.499106
-42,20,197.870628
-36,20,198.214845
-38,20,198.57543
-46,20,198.912231
-38,20,199.261358
-14,20,199.632138
4,20,199.972507
-38,20,209.558581
-16,20,209.91039
-38,20,210.260975
-56,20,210.601735
-10,20,210.935429
-42,20,211.342572
-38,20,211.672166
-48,20,212.009901
-38,20,212.364789
-52,20,212.706735
-34,20,213.056358
-20,20,222.771773
-18,20,223.107844
-58,20,223.4547
-30,20,223.81398
-14,20,224.156884
-16,20,224.522832
-34,20,224.878775
-42,20,225.23654
-18,20,225.59079
-30,20,225.930511
-44,20,226.278388
-48,20,235.7851
-36,20,236.146643
-52,20,236.49311
-24,20,236.853876
-32,20,237.198449
-34,20,237.558951
-22,20,237.894983
-58,20,238.230264
-32,20,238.588734
-42,20,238.934114
-12,20,239.273814
-16,20,248.994684
-26,20,249.343419
-8,20,249.67865
-42,20,250.03551
-14,20,250.384533
-24,20,250.749679
-26,20,251.105274
-28,20,251.445587
-38,20,251.805796
-24,20,252.15566
-32,20,252.505195
-4,20,262.199966
-32,20,262.575011
-12,20,262.920484
-14,20,263.263136
-44,20,263.61506
-40,20,263.971757
-42,20,264.323122
-18,20,264.652488
-38,20,265.021337
-8,20,265.365726
-34,20,265.718246
-8,20,275.214211
-10,20,275.565871
-4,20,275.940856
-32,20,276.282157
-22,20,276.614301
-36,20,276.956416
-30,20,277.314005
-28,20,277.675233
-52,20,278.013734
-50,20,278.374601
-36,20,278.716939
-32,20,288.440111
-64,20,288.792659
-24,20,289.131755
-52,20,289.470509
-24,20,289.823577
-38,20,290.166339
-32,20,290.524244
-22,20,290.865793
-34,20,291.213936
-38,20,291.548405
-28,20,291.899835
-42,20,301.519637
-38,20,301.879918
-58,20,302.250757
-68,20,302.613153
-12,20,302.949757
-26,20,303.3
-14,20,303.633285
-4,20,303.99075
-28,20,304.331787
-48,20,304.667374
-16,20,304.998974
-22,20,314.672975
-22,20,315.008081
-26,20,315.340252
-32,20,315.690691
-38,20,316.033465
-24,20,316.393711
-38,20,316.743259
12,20,317.09286
-24,20,317.435618
-30,20,317.773737
-32,20,318.124866
-56,20,327.674496
-42,20,328.015741
-18,20,328.352225
-30,20,328.700902
-38,20,329.050771
-58,20,329.395215
-62,20,329.744186
-58,20,330.076288
-8,20,330.428593
-20,20,330.795514
18,20,331.161968
-8,20,340.799365
-8,20,341.138351
-48,20,341.48891
-34,20,341.819533
-42,20,342.148055
-36,20,342.480425
-44,20,342.811784
-32,20,343.190231
-58,20,343.53223
-52,20,343.861926
-48,20,344.208951
-20,20,353.806024
-12,20,354.179886
-26,20,354.533192
-32,20,354.898013
-26,20,355.238831
-38,20,355.604402
-38,20,355.967672
-18,20,356.301613
-22,20,356.678175
-46,20,357.021641
-38,20,357.364562
-36,20,367.127368
-48,20,367.478987
-14,20,367.854315
-20,20,368.207711
-24,20,368.539829
-32,20,368.890673
-26,20,369.247953
-26,20,369.589195
-48,20,369.942502
