#{"t_start": 1676262882.0927472, "env_id": "gym_cell/cg-v0"}
r,l,t
84,20,9.953279
72,20,10.287974
78,20,10.586123
-100,20,10.840237
30,20,11.11663
-10,20,11.39072
72,20,11.724697
78,20,12.031779
135.542187,20,12.320407
70,20,12.586729
4,20,12.870681
32,20,21.007197
72,20,21.324491
30,20,21.601178
68,20,21.941088
62,20,22.282081
258.71375,20,22.608664
90,20,22.883496
14,20,23.162886
84,20,23.476092
40,20,23.747085
38,20,24.070553
78,20,32.225613
90,20,32.503245
24,20,32.775352
18,20,33.095732
226.444375,20,33.410991
74,20,33.704725
50,20,33.966203
-6,20,34.226656
78,20,34.549053
68,20,34.86477
18,20,35.159097
176.617812,20,43.445896
358.625937,20,43.782466
132.84875,20,44.066232
64,20,44.361243
64,20,44.660408
78,20,44.942241
90,20,45.246444
66,20,45.580298
54,20,45.944574
78,20,46.260475
70,20,46.543987
110.04625,20,54.407208
-40,20,54.665771
52,20,55.008356
30,20,55.286015
298.276562,20,55.60497
80,20,55.868931
70,20,56.153128
52,20,56.443036
78,20,56.752435
211.695,20,57.040606
90,20,57.326768
243.120625,20,65.280874
-40,20,65.536525
38,20,65.851121
66,20,66.189862
20,20,66.47804
80,20,66.746547
277.919375,20,67.052199
274.417187,20,67.354983
64,20,67.640087
326.5175,20,67.985981
42,20,68.285834
242.8,20,76.21297
50,20,76.486375
80,20,76.762085
20,20,77.0358
273.571875,20,77.330032
84,20,77.637997
2,20,77.954199
60,20,78.323769
78,20,78.614719
84,20,78.912922
78,20,79.206324
70,20,87.291579
227.02875,20,87.611322
40,20,87.887364
291.986875,20,88.225106
26,20,88.531121
-52,20,88.800886
90,20,89.104079
84,20,89.404359
245.392187,20,89.703978
-36,20,90.014994
141.010625,20,90.304237
50,20,98.287743
0,20,98.544227
222.893125,20,98.84367
60,20,99.122854
4,20,99.418289
305.578125,20,99.763223
52,20,100.074575
46,20,100.391964
44,20,100.673088
74,20,100.963641
191.431562,20,101.244863
74,20,109.264165
-38,20,109.598768
20,20,109.862903
-100,20,110.119272
-60,20,110.386342
274.198125,20,110.68084
-32,20,110.959466
78,20,111.293607
54,20,111.575338
90,20,111.852434
263.497812,20,112.163902
66,20,120.271832
-40,20,120.527583
78,20,120.838341
84,20,121.107852
20,20,121.377066
288.667812,20,121.72449
40,20,121.996485
62,20,122.297376
253.6025,20,122.612509
80,20,122.919442
243.215,20,123.234349
-32,20,131.258415
24,20,131.539613
90,20,131.851156
32,20,132.166111
168.510625,20,132.465444
40,20,132.759722
66,20,133.077262
58,20,133.387282
314.25,20,133.713552
50,20,133.997645
266.564375,20,134.334026
30,20,142.216239
84,20,142.545448
44,20,142.823875
-52,20,143.117966
56,20,143.453279
78,20,143.72891
48,20,144.051677
-20,20,144.313293
90,20,144.600258
50,20,144.900003
10,20,145.157508
-46,20,153.136206
167.103125,20,153.439399
50,20,153.706379
288.6475,20,154.007767
20,20,154.277795
219.974375,20,154.563002
80,20,154.84744
62,20,155.170189
2,20,155.447457
30,20,155.729907
56,20,156.0895
70,20,163.960993
68,20,164.233691
84,20,164.535377
50,20,164.805271
28,20,165.174423
242.761875,20,165.475368
50,20,165.749005
60,20,166.052187
80,20,166.333966
30,20,166.650722
225.275625,20,166.94177
58,20,174.956702
54,20,175.268358
50,20,175.553043
40,20,175.827114
68,20,176.119655
212.17625,20,176.422535
42,20,176.716032
80,20,176.989432
54,20,177.294141
232.321875,20,177.599889
-100,20,177.852319
155.250312,20,186.030585
228.054375,20,186.312367
52,20,186.596609
219.694687,20,186.877307
164.723125,20,187.154747
48,20,187.451957
58,20,187.764909
90,20,188.066483
62,20,188.386035
