#{"t_start": 1676263684.390886, "env_id": "gym_cell/cg-v0"}
r,l,t
214.423125,20,10.5547
202.86375,20,10.859332
84,20,11.189982
44,20,11.462323
40,20,11.748524
64,20,12.028468
-44,20,12.382283
80,20,12.649561
90,20,12.929799
84,20,13.218308
192.129375,20,13.495602
78,20,21.726805
-100,20,21.984992
233.2525,20,22.32122
-40,20,22.577134
58,20,22.863906
80,20,23.152165
78,20,23.444379
84,20,23.746004
68,20,24.055734
-100,20,24.314419
90,20,24.603872
54,20,33.020887
189.034375,20,33.308354
60,20,33.596692
48,20,33.915167
90,20,34.204726
256.741875,20,34.551323
-20,20,34.823871
280.874375,20,35.141626
60,20,35.441522
80,20,35.737366
64,20,36.07332
50,20,44.403623
10,20,44.68432
10,20,44.94844
70,20,45.215812
78,20,45.555116
0,20,45.824276
16,20,46.170286
6,20,46.48578
84,20,46.80913
34,20,47.103095
70,20,47.395466
-4,20,57.689613
-48,20,58.0131
-40,20,58.341335
56,20,58.680707
-54,20,59.034782
-14,20,59.359962
38,20,59.710378
12,20,60.057632
50,20,60.377617
-38,20,60.708743
-30,20,61.066411
0,20,69.842391
12,20,70.180382
-26,20,70.517076
26,20,70.84594
30,20,71.180373
-48,20,71.535224
36,20,71.892167
34,20,72.218929
-44,20,72.566311
12,20,72.923163
-18,20,73.263415
-42,20,82.183554
-26,20,82.520931
26,20,82.85293
-2,20,83.208112
-28,20,83.5425
242.540625,20,83.900976
24,20,84.262407
-22,20,84.606848
-28,20,84.942125
54,20,85.307228
30,20,85.650878
-38,20,94.530766
52,20,94.888377
52,20,95.239562
22,20,95.58918
-18,20,95.933063
-44,20,96.276727
-20,20,96.600502
-12,20,96.958881
12,20,97.296756
44,20,97.652668
6,20,98.011313
48,20,107.995696
68,20,108.308351
14,20,108.613979
198.17625,20,108.945407
72,20,109.242762
62,20,109.588892
72,20,109.900219
70,20,110.217029
62,20,110.565295
237.21125,20,110.914435
64,20,111.191264
26,20,119.677447
74,20,119.978575
74,20,120.265736
42,20,120.553519
299.008125,20,120.900645
66,20,121.251692
-24,20,121.55893
50,20,121.894896
42,20,122.227292
84,20,122.575943
274.53,20,122.905025
84,20,131.273929
68,20,131.599443
34,20,131.946414
64,20,132.261898
68,20,132.581714
64,20,132.881088
84,20,133.214717
160.44625,20,133.545074
155.421562,20,133.894614
-26,20,134.239069
70,20,134.514013
-32,20,142.851355
156.373437,20,143.157847
38,20,143.468964
161.877812,20,143.772492
46,20,144.117833
42,20,144.457762
72,20,144.79703
80,20,145.097646
80,20,145.395266
26,20,145.707799
221.020625,20,146.004522
64,20,156.265133
66,20,156.6106
-22,20,156.956515
6,20,157.298938
0,20,157.637311
36,20,157.978485
66,20,158.306604
72,20,158.641483
68,20,158.980747
38,20,159.278646
209.017812,20,159.622118
20,20,168.334353
6,20,168.66841
16,20,169.031023
62,20,169.379722
48,20,169.747785
-4,20,170.084049
42,20,170.406255
24,20,170.766887
-28,20,171.091281
297.311875,20,171.417107
56,20,171.765359
-28,20,180.423495
62,20,180.770867
36,20,181.110083
60,20,181.467189
60,20,181.812652
68,20,182.162187
68,20,182.483228
44,20,182.837161
68,20,183.17446
66,20,183.50315
52,20,183.853361
247.8525,20,192.627259
66,20,192.96749
64,20,193.321936
24,20,193.676691
-58,20,194.018119
60,20,194.383211
48,20,194.740332
36,20,195.074109
46,20,195.426999
72,20,195.740889
-4,20,196.090514
58,20,206.464384
68,20,206.787355
72,20,207.127561
44,20,207.440523
274.09125,20,207.760457
66,20,208.105668
56,20,208.439455
62,20,208.797039
16,20,209.140947
-44,20,209.478132
44,20,209.814691
-14,20,218.844396
151.9775,20,219.192701
66,20,219.531656
12,20,219.837903
54,20,220.187285
60,20,220.50675
24,20,220.847384
56,20,221.221211
54,20,221.559216
78,20,221.906771
54,20,222.257938
52,20,231.300806
-28,20,231.669002
66,20,232.036213
66,20,232.393887
52,20,232.756014
74,20,233.08272
72,20,233.436435
72,20,233.774591
188.144062,20,234.098123
78,20,234.437542
20,20,234.792597
40,20,243.612941
60,20,243.948958
78,20,244.310905
60,20,244.666588
-60,20,245.021103
62,20,245.340979
46,20,245.685619
72,20,246.038872
66,20,246.382357
72,20,246.725525
52,20,247.035453
74,20,257.243439
60,20,257.586892
56,20,257.943528
78,20,258.271373
64,20,258.59578
169.692812,20,258.91002
247.440625,20,259.234127
-28,20,259.590397
68,20,259.895822
84,20,260.228932
78,20,260.541724
72,20,269.14097
68,20,269.458014
78,20,269.764719
72,20,270.111957
68,20,270.446841
48,20,270.801112
62,20,271.164424
60,20,271.528436
72,20,271.85758
60,20,272.177652
56,20,272.512315
66,20,281.037483
66,20,281.389383
276.034062,20,281.763218
72,20,282.069478
80,20,282.405009
72,20,282.762171
68,20,283.082056
74,20,283.384935
62,20,283.718982
62,20,284.062561
72,20,284.407966
78,20,293.008306
72,20,293.341893
62,20,293.653013
324.905937,20,293.985849
115.095,20,294.282847
62,20,294.608818
72,20,294.968551
265.832812,20,295.29108
78,20,295.605798
72,20,295.908167
259.85,20,296.242503
151.0225,20,306.524856
78,20,306.850311
72,20,307.165749
70,20,307.468057
78,20,307.802077
238.862187,20,308.112182
38,20,308.423962
74,20,308.730375
28,20,309.041753
72,20,309.349272
246.109375,20,309.688075
84,20,318.241714
66,20,318.570532
52,20,318.915486
38,20,319.224402
42,20,319.550225
234.059375,20,319.865008
68,20,320.151658
246.94,20,320.42819
387.1375,20,320.763202
262.559687,20,321.088849
68,20,321.434024
217.7975,20,330.067716
44,20,330.405005
68,20,330.759741
90,20,331.061006
84,20,331.371922
72,20,331.706457
159.723437,20,332.031392
62,20,332.341979
291.599375,20,332.671686
224.813437,20,332.995379
80,20,333.277459
52,20,341.675477
52,20,341.993989
66,20,342.339254
141.160312,20,342.670791
72,20,343.016581
234.2825,20,343.359942
268.185625,20,343.675021
84,20,343.987237
52,20,344.305702
253.574687,20,344.656007
72,20,344.995439
78,20,355.112113
78,20,355.434875
52,20,355.780867
275.968125,20,356.15088
227.9775,20,356.441976
66,20,356.782374
236.67875,20,357.106347
62,20,357.407969
246.970312,20,357.731656
44,20,358.012259
146.3175,20,358.319976
161.758437,20,366.632686
84,20,366.946064
258.04625,20,367.245559
136.799375,20,367.536783
84,20,367.847391
72,20,368.142101
249.357812,20,368.46598
68,20,368.78521
241.67875,20,369.08802
224.81625,20,369.413404
74,20,369.70592
276.186875,20,378.028425
268.027187,20,378.32375
48,20,378.616163
233.905,20,378.951474
70,20,379.249302
241.951875,20,379.559706
311.754375,20,379.885962
64,20,380.173275
254.03,20,380.477988
84,20,380.786518
310.539375,20,381.093308
90,20,389.360445
72,20,389.664665
84,20,389.95777
296.933125,20,390.272046
64,20,390.564651
233.31875,20,390.914377
307.354375,20,391.25632
270.0275,20,391.624047
84,20,391.961065
60,20,392.246567
78,20,392.566522
286.830625,20,402.722299
64,20,403.024195
68,20,403.332836
265.0725,20,403.685715
251.519375,20,404.03205
62,20,404.344619
179.326875,20,404.628841
66,20,404.988711
268.303437,20,405.32816
44,20,405.663627
58,20,405.991285
78,20,414.358847
68,20,414.680598
279.088125,20,415.012488
78,20,415.301121
90,20,415.615993
72,20,415.923472
78,20,416.271142
70,20,416.566252
72,20,416.894603
78,20,417.215027
80,20,417.508188
295.87375,20,426.129952
297.81,20,426.460352
78,20,426.809208
78,20,427.126546
84,20,427.432657
90,20,427.743439
64,20,428.041682
74,20,428.344002
260.594062,20,428.639521
66,20,428.952553
52,20,429.280802
60,20,437.854104
78,20,438.170644
277.059375,20,438.473059
72,20,438.799241
343.035,20,439.142179
257.41125,20,439.475417
332.823125,20,439.840589
258.652187,20,440.15697
78,20,440.48976
168.325937,20,440.807898
58,20,441.118257
78,20,451.246914
90,20,451.569095
48,20,451.879244
221.369687,20,452.203618
267.93625,20,452.519193
267.938125,20,452.845762
277.025,20,453.159863
257.692187,20,453.499085
58,20,453.823814
331.446875,20,454.1793
52,20,454.51035
328.423125,20,462.813035
296.196875,20,463.146579
251.104375,20,463.488799
84,20,463.802631
68,20,464.109212
72,20,464.415487
84,20,464.763114
78,20,465.079758
84,20,465.384751
68,20,465.714916
264.535,20,466.026309
78,20,474.505153
78,20,474.831903
153.160937,20,475.148984
72,20,475.482795
139.205937,20,475.794372
311.1525,20,476.143524
68,20,476.457282
68,20,476.786796
282.572812,20,477.10644
80,20,477.404063
40,20,477.691813
14,20,486.237988
351.884375,20,486.573434
78,20,486.880161
84,20,487.208412
78,20,487.542461
257.5875,20,487.859484
90,20,488.154599
253.8475,20,488.513735
84,20,488.807996
44,20,489.123036
78,20,489.453635
241.1375,20,499.474304
84,20,499.807052
128.34,20,500.098219
163.180312,20,500.405574
291.007812,20,500.750541
84,20,501.039239
60,20,501.318466
70,20,501.601299
84,20,501.910064
68,20,502.272611
54,20,502.587897
288.953125,20,510.928159
234.874375,20,511.264263
84,20,511.568354
62,20,511.877707
54,20,512.17847
64,20,512.475176
78,20,512.763619
78,20,513.067948
52,20,513.370903
62,20,513.674669
236.199375,20,513.981745
84,20,522.290578
270.869375,20,522.605721
302.167187,20,522.95576
72,20,523.276863
255.01,20,523.594182
68,20,523.912244
64,20,524.213024
84,20,524.518291
255.9725,20,524.823787
283.75625,20,525.145408
304.61625,20,525.472667
239.1925,20,533.757797
229.486875,20,534.086831
295.145625,20,534.407923
74,20,534.712213
90,20,534.998749
353.223125,20,535.335396
228.423125,20,535.631135
238.9775,20,535.942247
306.654375,20,536.252464
74,20,536.560681
254.456875,20,536.878536
328.0375,20,545.474689
74,20,545.795608
84,20,546.078681
209.639375,20,546.395963
140.037187,20,546.731562
66,20,547.039767
170.021875,20,547.37257
70,20,547.690486
142.935937,20,548.020341
140.921875,20,548.321432
84,20,548.618312
84,20,558.48992
48,20,558.802708
80,20,559.103719
321.26875,20,559.417701
68,20,559.763986
263.335625,20,560.093679
239.79,20,560.426186
285.04125,20,560.742638
80,20,561.065061
68,20,561.373374
207.908125,20,561.672346
60,20,569.646392
84,20,569.954391
70,20,570.245008
40,20,570.529177
211.004687,20,570.832116
90,20,571.142083
158.0225,20,571.45488
90,20,571.738846
54,20,572.025888
276.45125,20,572.336556
90,20,572.62433
70,20,580.660319
84,20,580.963006
64,20,581.25348
266.144375,20,581.5655
78,20,581.87882
373.551562,20,582.220148
258.603125,20,582.550605
277.655625,20,582.875664
30,20,583.153326
90,20,583.479155
56,20,583.820131
84,20,591.739717
80,20,592.031586
84,20,592.342681
78,20,592.624009
84,20,592.905782
145.565625,20,593.195461
247.04375,20,593.496771
298.896875,20,593.848194
90,20,594.141071
293.904375,20,594.459348
287.545625,20,594.768986
64,20,604.540294
318.9375,20,604.874327
233.081875,20,605.174685
275.194375,20,605.500561
310.4575,20,605.812631
242.78875,20,606.125541
247.199687,20,606.420848
84,20,606.729478
68,20,607.011701
74,20,607.317805
80,20,607.614789
60,20,615.630702
74,20,615.936577
78,20,616.223982
154.739375,20,616.500097
283.455,20,616.838372
40,20,617.110174
78,20,617.400291
70,20,617.672238
80,20,617.948495
78,20,618.278695
240.960625,20,618.576734
200.45375,20,626.645044
90,20,626.926682
320.486875,20,627.242824
70,20,627.556062
80,20,627.840682
70,20,628.136461
74,20,628.434611
256.145312,20,628.740019
315.319375,20,629.076149
340.80875,20,629.394051
30,20,629.6691
260.79,20,637.761686
74,20,638.068013
78,20,638.364765
44,20,638.661541
203.738125,20,638.975664
64,20,639.284196
251.245937,20,639.578317
74,20,639.890565
84,20,640.194964
84,20,640.481216
90,20,640.775281
246.016562,20,650.458601
50,20,650.75384
156.249375,20,651.075818
20,20,651.350583
34,20,651.624774
84,20,651.921809
90,20,652.227788
90,20,652.524284
70,20,652.80688
259.19125,20,653.105075
80,20,653.398808
78,20,661.223951
10,20,661.500945
50,20,661.783196
38,20,662.072643
80,20,662.384649
80,20,662.670956
40,20,662.94849
-40,20,663.228631
84,20,663.514338
-20,20,663.774894
369.664375,20,664.085359
-20,20,671.865819
10,20,672.178307
-20,20,672.451932
90,20,672.757756
80,20,673.041704
84,20,673.356666
64,20,673.680222
264.350937,20,673.970206
90,20,674.26136
68,20,674.575143
216.5025,20,674.862255
272.05375,20,682.827022
80,20,683.140616
284.103125,20,683.469611
282.86625,20,683.781575
70,20,684.074003
283.51125,20,684.376067
40,20,684.679289
30,20,684.958567
247.9675,20,685.262188
119.04625,20,685.583251
50,20,685.865965
0,20,695.292429
-40,20,695.568341
64,20,695.859792
90,20,696.143111
60,20,696.435608
239.0275,20,696.732382
84,20,697.038817
90,20,697.334355
-10,20,697.608555
74,20,697.889091
50,20,698.175025
90,20,706.156857
30,20,706.43098
10,20,706.7012
90,20,706.996724
70,20,707.292802
318.11875,20,707.624944
74,20,707.934531
159.101875,20,708.236423
90,20,708.551092
274.67,20,708.89361
240.351875,20,709.185137
-30,20,717.020155
80,20,717.303157
-90,20,717.567679
40,20,717.835817
80,20,718.120828
74,20,718.410506
-70,20,718.697628
50,20,718.969553
0,20,719.234058
40,20,719.510853
30,20,719.785632
135.215625,20,727.62943
20,20,727.941242
50,20,728.235426
-100,20,728.492417
64,20,728.815948
84,20,729.119639
-50,20,729.380239
60,20,729.684904
84,20,729.999598
-40,20,730.276417
74,20,730.570412
0,20,739.902418
-80,20,740.162462
10,20,740.429304
222.891875,20,740.720212
70,20,740.990923
-70,20,741.253949
64,20,741.535507
-6,20,741.798997
265.18,20,742.122279
90,20,742.41185
265.15,20,742.727785
90,20,750.338262
60,20,750.616746
64,20,750.902263
40,20,751.181768
10,20,751.446295
74,20,751.722624
24,20,751.992304
174.125,20,752.273505
80,20,752.550407
200.148125,20,752.827918
34,20,753.103139
40,20,760.858092
-100,20,761.112609
90,20,761.390326
60,20,761.672544
60,20,761.960317
84,20,762.251458
80,20,762.532169
-16,20,762.79837
74,20,763.102802
20,20,763.378472
20,20,763.645659
60,20,771.385224
60,20,771.65733
90,20,771.94249
50,20,772.234479
90,20,772.517123
20,20,772.787978
-40,20,773.046837
70,20,773.318076
44,20,773.604694
299.85375,20,773.906753
4,20,774.177754
262.345625,20,783.82993
-70,20,784.096975
90,20,784.374608
68,20,784.686732
20,20,784.970673
50,20,785.240707
68,20,785.535573
290.489375,20,785.840029
70,20,786.121336
-50,20,786.385575
283.952812,20,786.70328
228.980625,20,794.455347
297.001875,20,794.758581
233.02625,20,795.04719
257.241875,20,795.356483
50,20,795.629399
247.270625,20,795.945691
80,20,796.22816
20,20,796.527678
-10,20,796.794622
40,20,797.084559
70,20,797.395511
240.529375,20,805.433897
64,20,805.719397
80,20,806.018106
70,20,806.316326
74,20,806.619751
156.380937,20,806.944914
64,20,807.246099
80,20,807.557359
20,20,807.83771
189.7275,20,808.124514
70,20,808.405395
40,20,816.167146
80,20,816.457306
-100,20,816.711384
50,20,816.975748
54,20,817.285492
60,20,817.565713
90,20,817.876933
60,20,818.155088
64,20,818.441859
225.238125,20,818.736966
54,20,819.021631
68,20,828.832658
309.143437,20,829.168607
260.459375,20,829.474034
272.72125,20,829.782571
56,20,830.086663
258.864375,20,830.404425
90,20,830.721135
52,20,831.036359
60,20,831.332374
78,20,831.666857
30,20,831.939808
54,20,840.303834
247.16875,20,840.666718
38,20,840.969492
72,20,841.27789
48,20,841.602004
28,20,841.905753
260.858125,20,842.202837
62,20,842.526539
249.700625,20,842.841782
68,20,843.161972
296.404062,20,843.455914
50,20,851.989485
237.90875,20,852.288173
128.935625,20,852.601422
261.218125,20,852.921955
147.584062,20,853.208432
-20,20,853.472542
34,20,853.770071
260.6125,20,854.097353
90,20,854.381336
44,20,854.65842
345.621875,20,854.987746
78,20,863.108307
74,20,863.435834
261.303125,20,863.762526
80,20,864.074299
298.9025,20,864.400221
254.395,20,864.726814
50,20,865.024161
52,20,865.313026
150.833125,20,865.612418
60,20,865.898204
78,20,866.219392
70,20,875.946349
60,20,876.249976
150.79,20,876.543306
110.635625,20,876.835829
20,20,877.112955
64,20,877.393491
289.434375,20,877.712339
58,20,877.988393
189.911875,20,878.283468
90,20,878.573034
70,20,878.84685
253.953125,20,886.88013
10,20,887.149887
90,20,887.466293
84,20,887.766239
192.723125,20,888.073522
40,20,888.360685
58,20,888.664767
274.02625,20,889.005046
157.848125,20,889.289834
70,20,889.570275
40,20,889.845526
264.3025,20,897.821817
84,20,898.107026
84,20,898.394574
232.458437,20,898.684675
272.0275,20,898.995362
24,20,899.27479
34,20,899.5629
64,20,899.851443
80,20,900.143403
90,20,900.461543
60,20,900.762118
84,20,909.031198
252.574375,20,909.336533
70,20,909.618509
80,20,909.903219
50,20,910.181245
336.830625,20,910.527939
273.288125,20,910.831609
262.743125,20,911.113821
40,20,911.394891
84,20,911.707723
78,20,912.017654
278.198437,20,921.742321
64,20,922.022386
72,20,922.356142
78,20,922.679901
80,20,923.006327
78,20,923.313103
74,20,923.632732
237.67,20,924.002807
175.000312,20,924.277743
74,20,924.574886
54,20,924.882864
161.333437,20,933.194818
78,20,933.501702
237.93,20,933.809631
58,20,934.088405
80,20,934.373554
242.42625,20,934.682351
167.060312,20,935.005596
80,20,935.293939
254.992812,20,935.63128
50,20,935.911026
78,20,936.240059
288.741875,20,944.647085
80,20,944.938036
84,20,945.271298
70,20,945.571357
248.9075,20,945.923294
230.406875,20,946.226326
243.165625,20,946.523565
244.8025,20,946.848886
72,20,947.178713
62,20,947.540937
236.6625,20,947.875946
54,20,956.241647
64,20,956.537118
283.815937,20,956.859283
78,20,957.178784
259.6275,20,957.506167
243.434062,20,957.803633
90,20,958.111739
281.165625,20,958.434622
44,20,958.729012
30,20,959.001789
242.723437,20,959.280633
78,20,969.264843
238.84875,20,969.578101
58,20,969.882308
280.472812,20,970.189423
50,20,970.494326
58,20,970.800434
151.975312,20,971.112864
78,20,971.419992
265.624375,20,971.721873
78,20,972.0335
292.63375,20,972.369614
125.118125,20,980.828432
252.487812,20,981.164962
68,20,981.492229
84,20,981.816592
162.90875,20,982.137052
64,20,982.452743
259.630312,20,982.782541
70,20,983.095228
58,20,983.437579
84,20,983.751614
84,20,984.049421
70,20,992.382851
84,20,992.68191
72,20,993.037598
72,20,993.350906
255.737812,20,993.691266
266.24375,20,993.986593
158.93875,20,994.323084
78,20,994.678352
68,20,995.014472
80,20,995.307131
72,20,995.620522
78,20,1003.920775
84,20,1004.230775
275.40625,20,1004.536007
84,20,1004.870064
72,20,1005.173797
84,20,1005.471842
152.726562,20,1005.770624
72,20,1006.095265
260.85875,20,1006.40484
330.883125,20,1006.713745
232.936875,20,1007.008437
64,20,1015.383569
62,20,1015.699053
48,20,1016.012526
72,20,1016.364413
68,20,1016.664065
78,20,1016.965615
243.680937,20,1017.274586
174.600937,20,1017.589446
287.218125,20,1017.891278
78,20,1018.204687
36,20,1018.508415
237.84375,20,1028.573398
40,20,1028.889888
78,20,1029.193973
78,20,1029.568506
278.68,20,1029.915432
287.610937,20,1030.27911
78,20,1030.567868
78,20,1030.921725
156.363125,20,1031.224909
72,20,1031.552166
58,20,1031.866524
68,20,1040.210096
167.930312,20,1040.531431
247.134375,20,1040.844057
226.393125,20,1041.172123
14,20,1041.455703
230.411875,20,1041.789088
58,20,1042.108318
60,20,1042.409788
68,20,1042.719625
249.3625,20,1043.028134
90,20,1043.319433
302.382187,20,1051.813221
237.08625,20,1052.174329
244.76125,20,1052.516725
32,20,1052.834797
78,20,1053.18256
84,20,1053.499087
84,20,1053.804854
58,20,1054.124969
269.914375,20,1054.434596
68,20,1054.744457
80,20,1055.046014
