#{"t_start": 1677784721.1743078, "env_id": "gym_cell/cg-v0"}
r,l,t
60.8,50,4.615366
88.8,50,4.941643
298.655,50,5.279746
349.3165,50,5.618127
72.0,50,5.958057
64.8,50,6.298022
82.4,50,6.630381
79.2,50,6.921987
-11.2,50,7.178869
258.15125,50,7.511229
309.6695,50,7.818793
74.4,50,8.134936
297.0285,50,8.439856
88.8,50,8.746955
254.7745,50,9.088469
283.2785,50,9.396866
262.026,50,9.715075
308.5355,50,10.03452
321.833,50,10.366326
78.4,50,10.663905
-56.0,50,10.928201
-56.0,50,11.196475
-65.6,50,11.456271
-48.0,50,11.714486
-56.0,50,11.974822
-39.2,50,12.257451
-53.6,50,12.511192
-40.8,50,12.786977
-61.6,50,13.04589
-55.2,50,13.299283
-45.6,50,13.558569
-58.4,50,13.807154
-63.2,50,14.0611
-23.2,50,14.3349
-48.8,50,14.603027
-64.8,50,14.856657
-58.4,50,15.120613
-44.0,50,15.396504
-58.4,50,15.657862
-56.8,50,15.916032
-39.2,50,16.174817
-47.2,50,16.43515
-58.4,50,16.692741
-56.0,50,16.951853
-34.4,50,17.209123
-36.8,50,17.480956
-61.6,50,17.733564
-24.8,50,17.998905
-52.8,50,18.255574
-44.0,50,18.531765
-64.0,50,18.783014
-53.6,50,19.053417
-40.0,50,19.31232
-56.8,50,19.590381
-55.2,50,19.871303
-21.6,50,20.133678
-57.6,50,20.395794
-49.6,50,20.65545
-44.8,50,20.923877
-59.2,50,21.185836
-49.6,50,21.442083
-56.0,50,21.696181
-42.4,50,21.948765
-49.6,50,22.21617
-37.6,50,22.469123
-64.0,50,22.71841
-53.6,50,22.980107
-52.0,50,23.236058
-48.0,50,23.494198
-30.4,50,23.774076
-44.0,50,24.06899
-56.0,50,24.325773
-50.4,50,24.586887
-66.4,50,24.845772
-46.4,50,25.099823
-41.6,50,25.37101
-55.2,50,25.623175
-38.4,50,25.882003
-51.2,50,26.132099
-45.6,50,26.386941
-39.2,50,26.654794
-59.2,50,26.903724
-44.8,50,27.161937
-54.4,50,27.41661
-49.6,50,27.681954
-42.4,50,27.952245
-43.2,50,28.207749
-48.8,50,28.462842
-32.0,50,28.716008
-51.2,50,28.972216
-44.8,50,29.2431
-48.8,50,29.5223
-44.8,50,29.776306
-65.6,50,30.035407
-40.0,50,30.289036
-26.4,50,30.5611
-46.4,50,30.813609
-56.8,50,31.064151
-56.0,50,31.329409
-54.4,50,31.602723
-51.2,50,31.857846
-49.6,50,32.110584
-66.4,50,32.390176
-54.4,50,32.651497
-50.4,50,32.905657
-56.0,50,33.174195
-49.6,50,33.432369
-55.2,50,33.699674
-64.8,50,33.952946
-55.2,50,34.220792
-53.6,50,34.47086
-49.6,50,34.720795
-40.8,50,34.980042
-49.6,50,35.339379
-47.2,50,35.592651
-56.0,50,35.852294
-39.2,50,36.106862
-47.2,50,36.369796
-57.6,50,36.631823
-30.4,50,36.900929
-45.6,50,37.174325
-58.4,50,37.429806
-49.6,50,37.688692
-55.2,50,37.947092
-58.4,50,38.206651
-52.8,50,38.459028
-55.2,50,38.719188
-43.2,50,38.981799
-49.6,50,39.252912
-48.0,50,39.514862
-60.8,50,39.778411
-45.6,50,40.056638
-16.0,50,40.319928
-32.0,50,40.573565
-53.6,50,40.826976
-48.8,50,41.088761
-56.8,50,41.352703
-62.4,50,41.60261
-54.4,50,41.852176
-45.6,50,42.112798
-50.4,50,42.369458
-35.2,50,42.631587
-55.2,50,42.886351
-65.6,50,43.165968
-58.4,50,43.430254
-48.0,50,43.691331
-52.8,50,43.941339
-51.2,50,44.193815
-62.4,50,44.442945
-20.8,50,44.710623
-56.0,50,44.958866
-53.6,50,45.210113
-56.0,50,45.464576
-48.8,50,45.718435
-50.4,50,45.975714
-44.8,50,46.239517
-37.6,50,46.489587
-51.2,50,46.740833
-51.2,50,47.004124
-57.6,50,47.26104
-48.0,50,47.516922
-33.6,50,47.777783
-45.6,50,48.047758
-47.2,50,48.313616
-42.4,50,48.577093
-51.2,50,48.841145
-55.2,50,49.097059
-45.6,50,49.361505
-43.2,50,49.622493
-62.4,50,49.873484
-55.2,50,50.126101
-35.2,50,50.385632
-54.4,50,50.643738
-60.8,50,50.895524
-36.0,50,51.150203
-46.4,50,51.405825
-33.6,50,51.660237
-40.0,50,51.911161
-18.4,50,52.189654
-58.4,50,52.443065
-46.4,50,52.712219
-60.0,50,52.963749
-60.0,50,53.217726
-48.8,50,53.470876
-62.4,50,53.722725
-46.4,50,53.974506
-52.8,50,54.229086
-53.6,50,54.484061
-49.6,50,54.736003
-52.8,50,55.001054
-50.4,50,55.266589
-64.0,50,55.516083
-38.4,50,55.786834
-51.2,50,56.040488
-61.6,50,56.29054
-21.6,50,56.546026
-52.8,50,56.80649
-22.4,50,57.073746
-32.0,50,57.33967
-58.4,50,57.602196
-49.6,50,57.855681
-32.8,50,58.12286
-48.8,50,58.373689
-42.4,50,58.630559
-58.4,50,58.891047
-52.8,50,59.155296
-46.4,50,59.405168
-61.6,50,59.655328
-34.4,50,59.91589
-46.4,50,60.173415
-44.0,50,60.437534
-35.2,50,60.691463
-48.0,50,60.95263
