#{"t_start": 1677041101.8486943, "env_id": "gym_cell/cg-v0"}
r,l,t
122.0945,20,1.688892
78,20,1.986343
72,20,2.321107
276.0765,20,2.643823
72,20,2.907177
317.896,20,3.248136
74,20,3.531075
52,20,3.82221
84,20,4.073939
90,20,4.318774
24,20,4.602157
240.0335,20,4.940033
243.40525,20,5.180847
263.03925,20,5.524253
16,20,5.806467
228.3575,20,6.079846
50,20,6.412346
26,20,6.696163
217.853,20,6.953894
48,20,7.238011
-20,20,7.469188
118.518,20,7.714601
6,20,8.03301
24,20,8.289438
212.51375,20,8.591597
44,20,8.861868
312.449,20,9.213999
265.233,20,9.495149
44,20,9.763329
56,20,10.095989
48,20,10.374617
54,20,10.612465
24,20,10.878062
263.8095,20,11.116782
12,20,11.381357
232.2555,20,11.698048
-100,20,11.908967
78,20,12.233434
74,20,12.504632
40,20,12.773187
211.26,20,13.079561
44,20,13.319943
66,20,13.631902
209.799,20,13.911457
52,20,14.177297
274.832,20,14.498673
56,20,14.813984
18,20,15.080143
240.758,20,15.349732
40,20,15.635884
56,20,15.954493
-6,20,16.190505
28,20,16.436327
40,20,16.724416
72,20,17.025456
129.78475,20,17.322175
80,20,17.567319
50,20,17.807768
34,20,18.097074
253.264,20,18.41227
42,20,18.719533
278.3065,20,19.005214
22,20,19.284697
54,20,19.541053
247.774,20,19.830127
257.1175,20,20.12997
74,20,20.372139
223.74125,20,20.649582
70,20,20.903881
139.82275,20,21.140086
58,20,21.456017
168.895,20,21.746578
90,20,22.050795
84,20,22.329434
26,20,22.625712
190.6205,20,22.915171
60,20,23.160174
70,20,23.409183
242.50625,20,23.752177
216.20375,20,24.044553
159.44725,20,24.357293
272.91225,20,24.679421
307.384,20,25.025558
24,20,25.293676
78,20,25.578441
243.5145,20,25.903841
243.4735,20,26.185534
223.208,20,26.450195
339.845,20,26.722564
248.7575,20,27.032461
0,20,27.264247
246.316,20,27.533439
131.2395,20,27.812809
30,20,28.055943
184.576,20,28.350975
38,20,28.62079
34,20,28.883192
60,20,29.216916
208.55825,20,29.482139
290.41675,20,29.814366
-16,20,30.050343
56,20,30.37474
294.5395,20,31.726559
236.77,20,32.042966
80,20,32.287423
84,20,32.616636
258.15225,20,32.911124
333.5545,20,33.188848
252.88125,20,33.498722
70,20,33.746621
58,20,34.009124
307.24725,20,34.328905
84,20,34.573387
68,20,34.836926
62,20,35.126767
366.877,20,35.469231
60,20,35.711119
244.1005,20,35.954784
221.8755,20,36.228045
52,20,36.51732
170.66675,20,36.8058
284.0425,20,37.068641
297.5175,20,37.363159
50,20,37.641294
38,20,37.901941
48,20,38.222767
295.7445,20,38.507863
64,20,38.766978
62,20,39.086991
68,20,39.35677
72,20,39.698358
204.3935,20,39.949929
34,20,40.283792
312.238,20,40.582939
141.01475,20,40.88186
208.9605,20,41.178023
68,20,41.44026
56,20,41.722434
72,20,42.00428
237.48,20,42.300212
28,20,42.606925
62,20,42.936455
