#{"t_start": 1677035652.4037328, "env_id": "gym_cell/cg-v0"}
r,l,t
216.33625,20,1.663357
46,20,1.95854
72,20,2.299785
314.18375,20,2.601779
60,20,2.88596
72,20,3.247114
58,20,3.512564
72,20,3.800413
294.5915,20,4.081912
84,20,4.335176
42,20,4.657647
263.613,20,4.961477
102.3195,20,5.197235
74,20,5.522903
10,20,5.798782
4,20,6.063596
56,20,6.379125
208.631,20,6.635899
263.7655,20,6.894238
48,20,7.187266
-20,20,7.412801
191.0785,20,7.661661
16,20,8.005511
30,20,8.26584
205.24675,20,8.545074
222.0525,20,8.845629
78,20,9.179858
252.31375,20,9.463981
153.42575,20,9.744652
344.61725,20,10.073955
233.472,20,10.345469
-30,20,10.580103
257.6715,20,10.865102
54,20,11.110093
0,20,11.391144
244.7375,20,11.738439
-100,20,11.950466
78,20,12.280854
168.01725,20,12.564224
272.325,20,12.871075
38,20,13.168192
245.538,20,13.425152
84,20,13.727385
28,20,14.029788
52,20,14.306647
48,20,14.584688
68,20,14.880998
223.99775,20,15.123635
299.142,20,15.410756
12,20,15.700418
50,20,16.030679
193.42,20,16.267881
311.61925,20,16.600164
34,20,16.908425
143.7165,20,17.213996
213.99125,20,17.521297
233.769,20,17.787336
44,20,18.018462
40,20,18.347756
74,20,18.687987
30,20,19.018248
90,20,19.263489
307.69025,20,19.563293
58,20,19.822365
68,20,20.117569
298.2405,20,20.412458
80,20,20.642216
218.631,20,20.924399
52,20,21.199635
273.41525,20,21.475339
46,20,21.783928
181.1885,20,22.068764
38,20,22.322158
62,20,22.623347
38,20,22.905469
38,20,23.20433
60,20,23.440141
70,20,23.679297
58,20,23.981418
48,20,24.245724
245.8345,20,24.558088
286.832,20,24.867968
72,20,25.160134
42,20,25.419184
306.59675,20,25.713438
249.141,20,26.031424
54,20,26.288666
221.90875,20,26.553134
233.2075,20,26.827263
62,20,27.152424
14,20,27.394438
84,20,27.634408
42,20,27.898298
30,20,28.16605
68,20,28.492311
159.9875,20,28.764125
205.7375,20,29.056799
54,20,29.370345
107.70875,20,29.627156
56,20,29.939956
-10,20,30.170944
226.66475,20,30.468909
44,20,31.815166
44,20,32.13316
113.2825,20,32.389094
66,20,32.730284
78,20,32.978699
270.106,20,33.273237
52,20,33.568197
90,20,33.840245
245.69775,20,34.111921
78,20,34.419925
10,20,34.670996
283.3825,20,34.9816
218.2615,20,35.269402
275.1725,20,35.567218
40,20,35.824321
60,20,36.081564
282.8255,20,36.379257
236.961,20,36.677216
223.05375,20,36.939235
84,20,37.254009
244.5455,20,37.501872
38,20,37.741575
32,20,38.031345
324.058,20,38.348983
28,20,38.613817
307.1505,20,38.895495
56,20,39.205391
314.0195,20,39.487769
90,20,39.806869
231.99375,20,40.084231
42,20,40.411802
262.6985,20,40.701475
252.71575,20,41.014969
211.5795,20,41.31551
30,20,41.581111
343.4045,20,41.91721
56,20,42.182519
46,20,42.480367
36,20,42.788208
68,20,43.106762
84,20,43.420036
52,20,43.686729
272.6185,20,43.966375
251.943,20,44.268016
50,20,44.520176
64,20,44.822956
236.363,20,45.134708
84,20,45.38733
22,20,45.735594
140.3925,20,46.010839
74,20,46.282931
217.202,20,46.537986
54,20,46.79252
68,20,47.064814
194.6365,20,47.320348
198.1985,20,47.585733
30,20,47.861119
66,20,48.193482
64,20,48.451402
20,20,48.687476
200.606,20,48.936883
253.70725,20,49.19822
74,20,49.436223
151.81875,20,49.72474
292.717,20,50.029645
224.3335,20,50.361619
265.61425,20,50.667996
70,20,50.950976
58,20,51.262885
235.9875,20,51.524465
90,20,51.773173
269.6405,20,52.055269
58,20,52.325524
309.3465,20,52.651586
64,20,52.922736
300.7005,20,53.235599
90,20,53.487634
60,20,53.787689
90,20,54.036387
271.429,20,54.303616
148.67525,20,54.574218
78,20,54.848295
247.3935,20,55.140499
44,20,55.470152
72,20,55.736551
42,20,56.041205
62,20,56.356367
58,20,56.676439
214.376,20,57.014754
78,20,57.283695
42,20,57.583145
54,20,57.848533
66,20,58.16571
84,20,58.430632
58,20,58.707557
44,20,58.975708
305.84,20,59.277593
257.067,20,59.558756
48,20,59.894923
217.4705,20,60.202364
223.64125,20,60.47929
62,20,60.737624
254.988,20,62.131264
226.42925,20,62.398229
68,20,62.723813
228.751,20,63.047884
159.8955,20,63.356031
147.892,20,63.611358
297.604,20,63.927487
80,20,64.209179
288.66,20,64.491245
48,20,64.76863
352.8245,20,65.076447
257.5225,20,65.351684
78,20,65.6514
64,20,65.917776
74,20,66.235475
242.4365,20,66.527344
296.829,20,66.824674
289.847,20,67.114746
72,20,67.377583
54,20,67.682986
54,20,67.955783
74,20,68.27182
268.3775,20,68.61981
270.511,20,68.938402
38,20,69.275049
361.0735,20,69.593787
84,20,69.874872
285.31,20,70.168603
48,20,70.46707
18,20,70.741841
331.84425,20,71.082236
297.86275,20,71.385993
244.6675,20,71.690405
72,20,71.971289
78,20,72.261078
262.9125,20,72.535462
301.763,20,72.862834
353.1975,20,73.19519
254.24025,20,73.447881
28,20,73.719967
158.12225,20,74.089206
338.6565,20,74.415308
256.003,20,74.739497
32,20,75.033907
66,20,75.390217
344.185,20,75.744646
