#{"t_start": 1677356045.3582203, "env_id": "gym_cell/cg-v0"}
r,l,t
50,20,2.820794
175.7185,20,3.143043
60,20,3.535517
66,20,3.887919
32,20,4.1475
66,20,4.451454
52,20,4.741799
66,20,5.036328
342.325,20,5.314028
267.5675,20,5.574618
42,20,5.872996
286.4125,20,6.200217
24,20,6.443039
295.27125,20,6.774904
-4,20,7.055974
4,20,7.313726
60,20,7.621914
198.33375,20,7.899413
0,20,8.14366
301.74,20,8.436924
-20,20,8.66456
221.3925,20,8.941358
44,20,9.262296
30,20,9.497001
195.0975,20,9.775168
241.4745,20,10.053186
285.2275,20,10.411908
385.61,20,10.755034
46,20,11.03516
284.527,20,11.371855
-20,20,11.606503
60,20,11.843789
12,20,12.130853
48,20,12.391686
0,20,12.666136
257.316,20,12.987197
-100,20,13.199631
50,20,13.522755
279.59975,20,13.844773
240.034,20,14.129293
117.719,20,14.41517
224.5525,20,14.657576
308.405,20,14.990026
192.511,20,15.272711
403.2355,20,15.598919
253.93825,20,15.889037
50,20,16.200169
96.0585,20,16.462657
239.824,20,16.730173
58,20,17.054792
50,20,17.362236
0,20,17.599413
116.2905,20,17.860215
40,20,18.164082
229.4015,20,18.47489
289.91525,20,18.778153
233.439,20,19.04857
217.4155,20,19.32178
24,20,19.619648
90,20,19.936875
42,20,20.239082
90,20,20.490417
52,20,20.768609
58,20,21.044801
263.174,20,21.332236
289.9465,20,21.632973
-100,20,21.845531
241.50175,20,22.122108
58,20,22.396113
121.19075,20,22.635047
58,20,22.906828
24,20,23.176662
236.9545,20,23.439572
78,20,23.72403
238.876,20,23.990878
24,20,24.270307
236.23,20,24.522367
30,20,24.760623
48,20,25.027502
311.586,20,25.292647
72,20,25.60312
342.415,20,25.929651
234.4575,20,26.239383
12,20,26.515255
244.4025,20,26.785557
243.179,20,27.089143
215.35,20,27.371562
137.452,20,27.62044
84,20,27.87643
300.502,20,28.218091
14,20,28.474905
156.038,20,28.730259
36,20,29.026102
193.498,20,29.281025
262.629,20,29.579281
38,20,29.846949
230.5845,20,30.118433
52,20,30.429824
230.18825,20,30.686775
48,20,30.982041
-22,20,31.213691
278.059,20,31.536899
235.682,20,32.908557
241.89425,20,33.222167
-10,20,33.451226
48,20,33.766169
48,20,34.051686
300.84025,20,34.339772
308.04675,20,34.619528
90,20,34.864852
231.09025,20,35.12549
316.74875,20,35.439815
274.85575,20,35.731791
84,20,36.01591
62,20,36.310855
74,20,36.595629
60,20,36.860107
230.6875,20,37.153876
62,20,37.433108
54,20,37.752951
166.188,20,38.026826
213.1595,20,38.288578
78,20,38.552582
50,20,38.794858
243.725,20,39.084858
80,20,39.367148
250.378,20,39.681328
251.02275,20,39.961632
172.17725,20,40.262862
68,20,40.515907
66,20,40.827778
247.81575,20,41.083619
36,20,41.380109
300.732,20,41.697697
52,20,41.982776
109.907,20,42.259142
228.187,20,42.542751
299.9225,20,42.82479
167.2385,20,43.122835
66,20,43.415491
32,20,43.734996
279.499,20,44.027447
72,20,44.323673
147.3775,20,44.629498
244.4955,20,44.909804
234.3725,20,45.212234
50,20,45.457261
140.3685,20,45.782897
275.5665,20,46.081794
34,20,46.321616
130.23225,20,46.638485
248.82375,20,46.962726
155.0465,20,47.248473
