#{"t_start": 1677784955.862736, "env_id": "gym_cell/cg-v0"}
r,l,t
249.324,50,2.925168
172.67575,50,3.26576
164.2515,50,3.596025
263.47,50,3.926471
61.6,50,4.252649
63.2,50,4.567262
48.0,50,4.86763
415.034,50,5.205075
125.0845,50,5.491959
352.498,50,5.857711
315.2565,50,6.165352
77.6,50,6.478994
237.6605,50,6.753324
280.6165,50,7.082473
154.60425,50,7.390747
88.8,50,7.704843
74.4,50,8.04516
272.3885,50,8.361274
272.422,50,8.662163
71.2,50,8.996046
-40.8,50,9.256474
-44.0,50,9.528571
-61.6,50,9.779346
-25.6,50,10.048659
-55.2,50,10.311186
-60.8,50,10.568641
-54.4,50,10.822465
-58.4,50,11.08428
-30.4,50,11.342482
-60.0,50,11.598684
-52.8,50,11.859133
-49.6,50,12.117131
-47.2,50,12.390906
-41.6,50,12.646903
-48.8,50,12.9123
-44.8,50,13.183361
-33.6,50,13.444382
-49.6,50,13.707689
-52.8,50,13.96365
-31.2,50,14.231127
-11.2,50,14.497956
-60.8,50,14.756283
-44.0,50,15.02877
-40.0,50,15.294066
-61.6,50,15.557456
-53.6,50,15.819005
-39.2,50,16.075081
-41.6,50,16.337779
-60.0,50,16.615021
-55.2,50,16.871798
-50.4,50,17.1363
-0.8,50,17.392408
-40.0,50,17.662815
-48.8,50,17.924634
-32.0,50,18.191753
-57.6,50,18.447368
-53.6,50,18.708394
-48.0,50,18.9813
-64.0,50,19.245596
-27.2,50,19.503082
-71.2,50,19.758655
-31.2,50,20.017242
-63.2,50,20.278334
-33.6,50,20.544983
-30.4,50,20.806469
-44.0,50,21.069244
-52.8,50,21.329706
-58.4,50,21.586946
-52.8,50,21.842988
-36.0,50,22.10067
-62.4,50,22.382229
-58.4,50,22.640396
-56.8,50,22.90583
-44.0,50,23.170113
-44.8,50,23.427618
-56.0,50,23.692613
-52.8,50,23.951721
-45.6,50,24.217846
-52.0,50,24.472605
-44.8,50,24.736631
-55.2,50,25.010986
-32.0,50,25.270305
-41.6,50,25.537006
-39.2,50,25.797353
-51.2,50,26.053152
-45.6,50,26.309
-40.8,50,26.562756
-64.8,50,26.827182
-44.0,50,27.087264
-38.4,50,27.366076
-61.6,50,27.629433
-58.4,50,27.891333
-40.8,50,28.151891
-46.4,50,28.419885
-48.0,50,28.691625
-36.0,50,28.950315
-60.0,50,29.205435
-46.4,50,29.472278
-50.4,50,29.728508
-43.2,50,29.995495
-46.4,50,30.255977
-42.4,50,30.511297
-57.6,50,30.767211
-53.6,50,31.026714
-52.0,50,31.287424
-28.8,50,31.560019
-51.2,50,31.840969
-45.6,50,32.108331
-56.0,50,32.371132
-48.0,50,32.647821
-61.6,50,32.918903
-34.4,50,33.179589
-49.6,50,33.43991
-46.4,50,33.814824
-48.8,50,34.073869
-47.2,50,34.337445
-49.6,50,34.601334
-52.8,50,34.874211
-30.4,50,35.137362
-58.4,50,35.395793
-55.2,50,35.669169
-61.6,50,35.923554
-65.6,50,36.179826
-46.4,50,36.445865
-50.4,50,36.719278
-64.8,50,36.975257
-52.0,50,37.233294
-55.2,50,37.4921
-37.6,50,37.756183
-57.6,50,38.026219
-54.4,50,38.286159
-46.4,50,38.54362
-61.6,50,38.80062
-55.2,50,39.061741
-65.6,50,39.317932
-43.2,50,39.5809
-72.0,50,39.842513
-65.6,50,40.100746
-63.2,50,40.37021
-41.6,50,40.619635
-44.0,50,40.891766
-50.4,50,41.151278
-51.2,50,41.405425
-47.2,50,41.665055
-36.8,50,41.921025
-46.4,50,42.179466
-37.6,50,42.433827
-44.0,50,42.691982
-53.6,50,42.969236
-56.0,50,43.235072
-32.0,50,43.498975
-38.4,50,43.762531
-60.0,50,44.023523
-55.2,50,44.289591
-48.8,50,44.552286
-36.0,50,44.822848
-52.8,50,45.086144
-47.2,50,45.338562
-48.0,50,45.605145
-65.6,50,45.861461
-59.2,50,46.120057
-52.8,50,46.392873
-60.0,50,46.643716
-51.2,50,46.897718
-44.8,50,47.156052
-52.0,50,47.409358
-35.2,50,47.665195
-47.2,50,47.930663
-63.2,50,48.184919
-46.4,50,48.44956
-23.2,50,48.708598
-60.0,50,48.966207
-47.2,50,49.225159
-54.4,50,49.48247
-42.4,50,49.751455
-55.2,50,50.019562
-42.4,50,50.294452
-60.0,50,50.556355
-44.8,50,50.829624
-22.4,50,51.091367
-25.6,50,51.361481
-69.6,50,51.620341
-41.6,50,51.885755
-36.8,50,52.176872
-55.2,50,52.442587
-40.0,50,52.702712
-54.4,50,52.961196
-44.8,50,53.217522
-38.4,50,53.483471
-48.8,50,53.747325
-45.6,50,54.006277
-45.6,50,54.274204
-54.4,50,54.53443
-40.8,50,54.800519
-40.0,50,55.06177
-56.0,50,55.335311
-49.6,50,55.599402
-29.6,50,55.87667
-55.2,50,56.136527
-64.0,50,56.395311
-60.8,50,56.658384
-28.8,50,56.920048
-52.8,50,57.178087
-34.4,50,57.436368
-48.8,50,57.702365
-32.8,50,57.970622
-64.0,50,58.225902
-61.6,50,58.487866
-65.6,50,58.750123
-51.2,50,59.008561
-38.4,50,59.265426
-38.4,50,59.532316
-50.4,50,59.799334
-48.8,50,60.061313
-48.0,50,60.335594
-54.4,50,60.607373
-44.0,50,60.879426
-59.2,50,61.136404
-38.4,50,61.399585
-52.8,50,61.663832
-52.0,50,61.923947
-50.4,50,62.184196
-48.0,50,62.447774
-49.6,50,62.713642
-49.6,50,62.986905
-60.0,50,63.253046
-55.2,50,63.517859
-60.0,50,63.770399
-56.8,50,64.035794
-42.4,50,64.295564
-62.4,50,64.550245
-17.6,50,64.803113
-60.8,50,65.062386
-50.4,50,65.329356
-54.4,50,65.596379
-42.4,50,65.852556
-55.2,50,66.111938
-50.4,50,66.374372
-52.8,50,66.651834
-27.2,50,66.913324
-41.6,50,67.166436
-64.8,50,67.418839
-48.0,50,67.670802
-60.0,50,67.934246
