#{"t_start": 1677349595.7187839, "env_id": "gym_cell/cg-v0"}
r,l,t
216.33625,20,2.900375
46,20,3.186939
72,20,3.546759
314.18375,20,3.84273
60,20,4.122674
72,20,4.450413
58,20,4.70725
72,20,4.992589
294.5915,20,5.269955
84,20,5.512905
42,20,5.825441
263.613,20,6.125958
102.3195,20,6.361881
74,20,6.678988
10,20,6.950102
4,20,7.205753
56,20,7.515529
208.631,20,7.76661
263.7655,20,8.023058
48,20,8.307936
-20,20,8.526332
191.0785,20,8.77143
16,20,9.103838
30,20,9.355445
205.24675,20,9.62647
222.0525,20,9.91131
78,20,10.234007
252.31375,20,10.516075
153.42575,20,10.784887
344.61725,20,11.101532
233.472,20,11.36599
-30,20,11.594434
257.6715,20,11.87137
54,20,12.113958
0,20,12.389957
244.7375,20,12.730159
-100,20,12.940019
78,20,13.265884
168.01725,20,13.547075
272.325,20,13.849214
38,20,14.14169
245.538,20,14.388326
84,20,14.685657
28,20,14.986073
52,20,15.260615
48,20,15.529877
68,20,15.814925
223.99775,20,16.057794
299.142,20,16.337232
12,20,16.622998
50,20,16.945408
193.42,20,17.179605
311.61925,20,17.510272
34,20,17.816778
143.7165,20,18.119023
213.99125,20,18.417774
233.769,20,18.68126
44,20,18.913116
40,20,19.237436
74,20,19.573663
30,20,19.890511
90,20,20.133973
307.69025,20,20.431467
58,20,20.685326
68,20,20.975293
298.2405,20,21.260561
80,20,21.484033
218.631,20,21.759881
52,20,22.026838
273.41525,20,22.294516
46,20,22.596885
181.1885,20,22.876677
38,20,23.125733
62,20,23.422358
38,20,23.69694
38,20,23.988049
60,20,24.217166
70,20,24.449353
58,20,24.743747
48,20,24.999012
245.8345,20,25.301814
286.832,20,25.602598
72,20,25.892718
42,20,26.144611
306.59675,20,26.431563
249.141,20,26.736859
54,20,26.985816
221.90875,20,27.249707
233.2075,20,27.514959
62,20,27.833241
14,20,28.066067
84,20,28.299894
42,20,28.56395
30,20,28.823134
68,20,29.142874
159.9875,20,29.406329
205.7375,20,29.693899
54,20,30.000024
107.70875,20,30.253295
56,20,30.555089
-10,20,30.775697
226.66475,20,31.066153
44,20,32.381493
44,20,32.692913
113.2825,20,32.945647
66,20,33.268495
78,20,33.512305
270.106,20,33.797747
52,20,34.088632
90,20,34.352361
245.69775,20,34.617216
78,20,34.915811
10,20,35.160593
283.3825,20,35.466842
218.2615,20,35.74404
275.1725,20,36.027718
40,20,36.277393
60,20,36.534401
282.8255,20,36.822896
236.961,20,37.111901
223.05375,20,37.364166
84,20,37.669312
244.5455,20,37.913265
38,20,38.148821
32,20,38.432785
324.058,20,38.740402
28,20,38.993404
307.1505,20,39.273895
56,20,39.573728
314.0195,20,39.845161
90,20,40.148623
231.99375,20,40.42274
42,20,40.742723
262.6985,20,41.024501
252.71575,20,41.329242
211.5795,20,41.620582
30,20,41.870241
343.4045,20,42.201535
56,20,42.462798
46,20,42.756748
36,20,43.052897
68,20,43.363909
84,20,43.664699
52,20,43.930265
272.6185,20,44.201593
251.943,20,44.496288
50,20,44.739475
64,20,45.035063
236.363,20,45.338433
84,20,45.579185
22,20,45.91434
140.3925,20,46.186786
74,20,46.452387
217.202,20,46.701294
54,20,46.951131
68,20,47.213837
194.6365,20,47.467284
198.1985,20,47.724471
30,20,47.994986
66,20,48.320784
64,20,48.568459
20,20,48.796361
200.606,20,49.040254
253.70725,20,49.290876
74,20,49.520077
151.81875,20,49.795332
292.717,20,50.097914
224.3335,20,50.423295
265.61425,20,50.716015
70,20,50.989023
58,20,51.289279
235.9875,20,51.541912
90,20,51.788378
269.6405,20,52.06339
58,20,52.326505
309.3465,20,52.637469
64,20,52.897766
300.7005,20,53.206261
90,20,53.454484
60,20,53.749614
90,20,53.989832
271.429,20,54.256505
148.67525,20,54.519567
78,20,54.788273
247.3935,20,55.070265
44,20,55.389935
72,20,55.648278
42,20,55.948521
62,20,56.259985
58,20,56.576185
214.376,20,56.901196
78,20,57.164543
42,20,57.461006
54,20,57.722073
66,20,58.031084
84,20,58.28345
58,20,58.553942
44,20,58.817618
305.84,20,59.111187
257.067,20,59.383225
80,20,59.649818
251.5705,20,59.964008
251.3535,20,60.243404
236.0675,20,60.519559
350.7755,20,60.811106
289.074,20,61.094719
289.8455,20,61.370812
74,20,61.652955
273.4725,20,61.944283
375.234,20,62.265657
269.027,20,62.566155
258.046,20,62.849806
64,20,63.108385
80,20,63.387015
74,20,63.662338
74,20,63.948039
256.727,20,64.231651
239.951,20,64.516056
281.8165,20,64.79487
291.7875,20,65.068933
280.4895,20,65.338454
294.93,20,65.606261
248.8065,20,65.884248
251.363,20,66.15074
245.5325,20,66.433305
80,20,66.704662
44,20,66.958275
322.41,20,67.251539
248.3835,20,67.517732
80,20,67.794277
226.6265,20,68.088512
74,20,68.359952
227.8195,20,68.636458
246.1505,20,68.924475
215.3095,20,69.171922
80,20,69.454535
220.3785,20,69.717259
287.856,20,69.999515
246.9055,20,70.286745
322.2555,20,70.563413
220.823,20,70.827871
293.704,20,71.114859
149.125,20,71.386231
274.214,20,71.673072
74,20,71.937026
240.6845,20,72.204641
233.77,20,72.478138
325.0555,20,72.767996
249.4235,20,73.05432
279.4205,20,73.366738
149.00175,20,73.630126
80,20,73.90868
269.345,20,74.189111
80,20,74.462392
343.8685,20,74.74975
236.48,20,75.023048
314.3115,20,75.322941
261.6805,20,75.58607
68,20,75.84183
247.753,20,76.110881
247.067,20,76.380198
279.607,20,76.6513
230.7195,20,76.951182
245.457,20,77.240952
68,20,77.517035
68,20,77.794404
235.496,20,78.067547
288.4235,20,78.370085
292.9465,20,78.647151
244.572,20,78.92423
68,20,79.193548
80,20,79.44748
243.596,20,79.733588
342.5455,20,80.027528
223.2275,20,80.300617
266.349,20,80.595372
228.537,20,80.885887
441.1895,20,81.20799
266.1095,20,81.49011
230.231,20,81.78931
64,20,82.04406
149.175,20,82.347265
273.147,20,82.631393
303.009,20,82.94325
74,20,83.219968
246.726,20,83.483618
271.8515,20,83.753134
322.521,20,84.033315
226.599,20,84.306773
291.5455,20,84.59685
255.252,20,84.871522
317.9045,20,85.166242
233.9675,20,85.437755
321.844,20,85.728953
64,20,85.994783
336.7845,20,86.305293
282.6185,20,86.588842
328.3155,20,86.8821
80,20,87.15829
241.0715,20,87.43863
68,20,87.714737
64,20,87.982016
274.906,20,88.253988
235.3075,20,88.532063
289.358,20,88.804111
68,20,89.073852
316.3975,20,89.36095
255.2185,20,89.608254
265.875,20,89.914189
253.304,20,90.205404
246.702,20,90.478741
246.497,20,90.761783
273.6185,20,91.040138
80,20,91.289954
244.7075,20,91.582728
227.6415,20,91.873396
310.867,20,92.156247
305.0525,20,92.456615
225.952,20,92.765233
74,20,93.064924
267.464,20,93.333266
311.5465,20,93.62975
223.455,20,93.90495
257.258,20,94.186519
262.349,20,94.47114
68,20,94.754517
314.651,20,95.050853
255.7555,20,95.323853
74,20,95.619714
303.0875,20,95.915997
250.6155,20,96.189273
293.81175,20,96.487878
240.535,20,96.760997
50,20,97.028686
68,20,97.296486
252.9155,20,97.593997
346.4235,20,97.895591
342.481,20,98.189994
74,20,98.457597
259.259,20,98.754974
310.313,20,99.049224
70,20,99.311926
314.686,20,99.613876
325.514,20,99.914123
236.1935,20,100.187835
74,20,100.48434
304.257,20,100.777652
70,20,101.052591
241.774,20,101.310944
292.289,20,101.610011
328.6305,20,101.904287
80,20,102.176525
267.2455,20,102.470726
292.0595,20,102.755828
231.967,20,103.026565
68,20,103.299911
285.2435,20,103.573409
233.142,20,103.843759
70,20,104.107483
68,20,104.374238
74,20,104.653373
290.277,20,104.949999
299.78,20,105.258915
233.6935,20,105.531914
70,20,105.791932
275.2665,20,106.094222
300.357,20,106.366763
217.0745,20,106.629444
252.97,20,106.899233
258.9915,20,107.168742
74,20,107.429797
80,20,107.715848
74,20,107.971437
295.0635,20,108.253709
264.967,20,108.538869
74,20,108.827228
271.3405,20,109.096834
74,20,109.360166
324.9065,20,109.648491
377.784,20,109.964932
68,20,110.247487
299.6385,20,110.55842
70,20,110.834268
74,20,111.095776
288.8715,20,111.388827
216.686,20,111.654984
267.535,20,111.947582
231.7475,20,112.228901
319.366,20,112.516562
237.904,20,112.788154
250.192,20,113.055021
80,20,113.33329
265.067,20,113.609856
80,20,113.87563
307.9845,20,114.167094
80,20,114.45149
369.6045,20,114.750518
282.719,20,115.038558
251.425,20,115.325279
276.9425,20,115.617094
230.2245,20,115.884597
241.936,20,116.163545
74,20,116.434963
263.573,20,116.704053
309.8565,20,117.004592
80,20,117.256755
302.983,20,117.55848
366.4335,20,117.853125
74,20,118.125354
64,20,118.395446
241.12,20,118.674144
246.271,20,118.95994
254.1635,20,119.240927
287.0105,20,119.521523
301.5945,20,119.820856
271.912,20,120.108947
341.869,20,120.41231
311.759,20,120.705741
249.493,20,120.957889
236.5055,20,121.243772
339.5845,20,121.554523
314.622,20,121.842037
74,20,122.12665
275.817,20,122.415943
271.1545,20,122.683105
80,20,122.961498
70,20,123.22538
225.525,20,123.495753
254.239,20,123.766497
250.9155,20,124.0384
235.974,20,124.319549
74,20,124.602132
271.879,20,124.904105
80,20,125.160367
361.11,20,125.46378
237.0655,20,125.737517
74,20,126.003165
250.398,20,126.277617
64,20,126.534032
80,20,126.804944
156.01275,20,127.052102
291.5605,20,127.333288
228.335,20,127.603322
238.997,20,127.876584
250.7905,20,128.149229
273.2595,20,128.446788
80,20,128.728895
401.218,20,129.038555
265.0255,20,129.308708
303.801,20,129.601712
80,20,129.872735
266.281,20,130.155828
74,20,130.414325
275.6235,20,130.694933
248.03,20,130.971797
239.8375,20,131.240644
310.902,20,131.53521
257.6,20,131.805917
254.8535,20,132.080408
303.6935,20,132.352454
353.7995,20,132.642063
233.549,20,132.906359
285.2165,20,133.18266
322.0645,20,133.496542
230.3505,20,133.778974
250.0545,20,134.047306
74,20,134.307976
236.6195,20,134.584652
252.3695,20,134.853745
252.457,20,135.12544
62,20,135.394004
247.9385,20,135.680455
252.7585,20,135.952004
145.282,20,136.233236
247.099,20,136.512829
64,20,136.79862
247.7225,20,137.07202
267.1015,20,137.355886
252.179,20,137.64071
264.5715,20,137.919825
283.656,20,138.200551
245.8285,20,138.465881
311.4815,20,138.757127
318.7215,20,139.052956
246.9605,20,139.321445
68,20,139.582961
272.3075,20,139.871085
80,20,140.159434
