#{"t_start": 1678041446.5582163, "env_id": "gym_cell/cg-v0"}
r,l,t
70.4,50,2.934728
77.6,50,3.316485
74.4,50,3.690485
73.6,50,4.066373
68.8,50,4.485253
87.2,50,4.890476
56.0,50,5.286734
76.0,50,5.72585
72.0,50,6.174654
76.8,50,6.628631
69.6,50,7.055928
77.6,50,7.437788
69.6,50,7.808124
84.8,50,8.185318
81.6,50,8.61059
68.8,50,9.028858
71.2,50,9.425827
82.4,50,9.816167
84.0,50,10.252324
91.2,50,10.640344
79.2,50,10.993586
86.4,50,11.343413
79.2,50,11.693303
76.0,50,12.055097
72.8,50,12.415053
65.6,50,12.755855
79.2,50,13.084699
76.8,50,13.429042
70.4,50,13.798471
81.6,50,14.149651
72.8,50,14.465172
157.6815,50,14.875915
75.2,50,15.274829
80.0,50,15.646572
70.4,50,16.029221
81.6,50,16.390645
81.6,50,16.792204
88.8,50,17.18757
88.8,50,17.566713
296.15525,50,17.943216
82.4,50,18.324685
166.65,50,18.722876
75.2,50,19.109957
77.6,50,19.514313
80.0,50,19.878782
276.763,50,20.308156
319.6105,50,20.717294
267.66525,50,21.078571
172.14975,50,21.438878
270.0765,50,21.846015
294.1205,50,22.204845
333.814,50,22.561739
76.8,50,22.891899
81.6,50,23.216984
316.92275,50,23.544264
93.6,50,23.863609
280.49325,50,24.240325
88.8,50,24.593005
267.743,50,24.916327
288.6175,50,25.253465
281.4645,50,25.609923
91.2,50,25.941319
283.242,50,26.369591
281.78925,50,26.737715
76.8,50,27.13784
331.77575,50,27.561529
245.949,50,27.913303
86.4,50,28.288467
79.2,50,28.668785
86.4,50,29.081759
91.2,50,29.452726
295.9655,50,29.855865
86.4,50,30.256684
81.6,50,30.643348
79.2,50,31.000692
79.2,50,31.394464
258.01,50,31.797862
254.156,50,32.218409
88.8,50,32.58083
81.6,50,32.977533
82.4,50,33.344864
84.0,50,33.738025
86.4,50,34.063808
263.0395,50,34.404433
84.8,50,34.732975
289.0765,50,35.042937
285.441,50,35.38023
170.237,50,35.727641
272.5445,50,36.074351
326.458,50,36.448185
243.8295,50,36.812984
265.4655,50,37.138853
291.8505,50,37.460074
265.069,50,37.837198
269.83225,50,38.202394
87.2,50,38.569481
264.52,50,38.951502
262.7905,50,39.31376
77.6,50,39.690575
86.4,50,40.07176
81.6,50,40.461396
263.9795,50,40.82021
86.4,50,41.195514
89.6,50,41.565506
297.019,50,41.921093
72.0,50,42.312966
376.8925,50,42.696267
86.4,50,43.091496
81.6,50,43.454829
84.0,50,43.83295
77.6,50,44.227713
86.4,50,44.622747
295.66075,50,45.005581
316.295,50,45.361402
312.35,50,45.72383
81.6,50,46.06609
308.848,50,46.408952
80.0,50,46.755415
303.1995,50,47.122853
259.703,50,47.483394
86.4,50,47.807863
268.8105,50,48.185613
173.15075,50,48.501071
75.2,50,48.835356
79.2,50,49.23712
289.96275,50,49.636666
278.7735,50,50.019922
284.84425,50,50.415998
291.0335,50,50.813325
310.3685,50,51.191559
326.8905,50,51.582729
86.4,50,51.975831
84.0,50,52.365942
247.5925,50,52.732676
300.4005,50,53.088377
425.4715,50,53.518196
288.781,50,53.923167
255.77,50,54.320632
284.8295,50,54.687214
251.6525,50,55.062191
283.456,50,55.449602
86.4,50,55.814961
324.3635,50,56.187021
88.8,50,56.546652
336.656,50,56.876866
91.2,50,57.203811
303.37475,50,57.567625
93.6,50,57.870725
338.614,50,58.223544
298.612,50,58.534534
288.128,50,58.832751
303.125,50,59.154324
382.5655,50,59.471401
284.91,50,59.786397
347.481,50,60.139737
277.5575,50,60.505329
88.8,50,60.875923
334.71975,50,61.245047
361.778,50,61.637584
287.927,50,62.004782
280.695,50,62.394606
285.669,50,62.768274
305.487,50,63.138115
325.1145,50,63.511895
359.58,50,63.885472
330.08975,50,64.290338
262.828,50,64.670277
257.966,50,65.043917
286.0885,50,65.416241
315.892,50,65.801866
267.4835,50,66.182075
261.3535,50,66.58394
87.2,50,66.986176
340.6975,50,67.387374
261.438,50,67.758434
263.4285,50,68.071784
356.9835,50,68.433553
257.341,50,68.755796
388.018,50,69.112377
253.816,50,69.42872
84.8,50,69.764656
413.734,50,70.11683
336.209,50,70.453573
305.2765,50,70.773243
375.9385,50,71.126537
266.847,50,71.445872
91.2,50,71.793168
286.797,50,72.157193
232.5155,50,72.499789
87.2,50,72.875432
323.0925,50,73.26096
267.4105,50,73.654238
321.2455,50,74.050792
250.2555,50,74.467454
301.349,50,74.863788
356.342,50,75.240348
273.11,50,75.625349
311.725,50,75.992599
391.1755,50,76.379849
313.957,50,76.765629
86.4,50,77.132025
338.548,50,77.545851
301.968,50,77.92844
276.693,50,78.307131
88.8,50,78.69348
331.113,50,79.098164
261.5165,50,79.44125
271.9075,50,79.771998
255.3725,50,80.112958
281.176,50,80.46107
272.4565,50,80.793859
91.2,50,81.136064
77.6,50,81.447935
291.663,50,81.779533
349.43725,50,82.15212
288.47775,50,82.47803
298.0945,50,82.829575
452.56175,50,83.235823
91.2,50,83.643277
407.88375,50,84.05567
259.6065,50,84.444669
361.563,50,84.863593
268.8785,50,85.253418
280.2855,50,85.637737
93.6,50,86.044398
327.918,50,86.460637
300.9265,50,86.864381
312.20825,50,87.283018
303.7685,50,87.705275
292.909,50,88.145127
296.3355,50,88.585979
80.0,50,88.978519
86.4,50,89.383114
91.2,50,89.76591
264.43175,50,90.129035
84.8,50,90.566336
82.4,50,90.971839
242.483,50,91.329057
324.65275,50,91.674399
311.811,50,92.040219
316.28825,50,92.419771
294.284,50,92.774467
302.222,50,93.125188
84.8,50,93.460489
288.1835,50,93.789719
74.4,50,94.135666
81.6,50,94.45678
84.0,50,94.797762
301.16175,50,95.177981
87.2,50,95.572451
79.2,50,95.969834
81.6,50,96.353245
80.0,50,96.74894
318.3445,50,97.138436
82.4,50,97.602406
86.4,50,98.025434
73.6,50,98.451724
69.6,50,98.828939
77.6,50,99.21525
362.45625,50,99.616234
266.861,50,100.037515
86.4,50,100.426047
80.0,50,100.839671
293.80575,50,101.234728
314.877,50,101.63052
84.8,50,102.016369
258.446,50,102.413387
79.2,50,102.81399
261.4815,50,103.170584
364.7965,50,103.542678
260.7995,50,103.869298
303.504,50,104.240042
86.4,50,104.608035
77.6,50,104.944348
84.0,50,105.286375
287.202,50,105.627413
264.9715,50,105.990489
308.1445,50,106.373744
264.4765,50,106.711654
84.0,50,107.101083
262.174,50,107.479273
160.4375,50,107.891818
241.47425,50,108.287013
81.6,50,108.701316
87.2,50,109.119397
264.51175,50,109.535643
91.2,50,109.943403
319.3795,50,110.351761
244.9165,50,110.742387
255.6315,50,111.117363
86.4,50,111.525675
82.4,50,111.921073
84.0,50,112.263296
288.8185,50,112.650951
297.4385,50,113.05896
249.8405,50,113.461991
91.2,50,113.877545
82.4,50,114.280341
293.643,50,114.683059
285.0065,50,115.020239
256.742,50,115.355279
91.2,50,115.696963
264.2395,50,116.031126
77.6,50,116.362039
252.308,50,116.700754
292.942,50,117.057772
72.8,50,117.382882
280.547,50,117.727889
262.014,50,118.046022
75.2,50,118.379258
257.05275,50,118.735155
86.4,50,119.113323
86.4,50,119.498547
252.72025,50,119.856767
259.3745,50,120.261327
260.5155,50,120.690435
88.8,50,121.093262
293.843,50,121.48266
260.17175,50,121.898093
335.304,50,122.29297
86.4,50,122.69475
340.53225,50,123.098122
248.1215,50,123.476812
84.0,50,123.890962
301.9915,50,124.27793
268.34275,50,124.665045
79.2,50,125.058479
240.81575,50,125.436472
290.601,50,125.836313
333.654,50,126.23603
84.0,50,126.585581
308.1025,50,126.944108
162.2615,50,127.287996
82.4,50,127.602121
80.0,50,127.936972
291.89775,50,128.263471
86.4,50,128.584416
272.1315,50,128.900402
72.8,50,129.250684
291.6495,50,129.59253
282.2025,50,129.93635
81.6,50,130.400328
277.367,50,130.825744
353.84075,50,131.28609
87.2,50,131.702477
314.20125,50,132.13533
82.4,50,132.493734
84.0,50,132.866737
318.7125,50,133.266355
86.4,50,133.66444
322.13675,50,134.070378
288.22125,50,134.47354
306.04775,50,134.861277
84.0,50,135.250914
241.34125,50,135.596813
81.6,50,135.981888
263.712,50,136.331952
275.30325,50,136.738043
75.2,50,137.158327
269.87125,50,137.53455
169.527,50,137.894403
273.07925,50,138.24285
250.518,50,138.566231
76.8,50,138.911419
81.6,50,139.244401
84.0,50,139.55781
168.95125,50,139.879657
279.2085,50,140.210889
234.05825,50,140.517179
86.4,50,140.845886
268.396,50,141.155289
337.87275,50,141.507883
286.53725,50,141.908764
311.4435,50,142.287866
344.18375,50,142.683465
248.369,50,143.05004
166.5815,50,143.425077
88.8,50,143.795521
268.42325,50,144.185341
309.17675,50,144.540054
245.9585,50,144.925986
335.049,50,145.304785
262.50025,50,145.698063
75.2,50,146.070332
318.6105,50,146.449075
263.999,50,146.829455
75.2,50,147.235599
272.553,50,147.61894
169.122,50,148.006651
412.26925,50,148.420594
174.596,50,148.799118
91.2,50,149.206926
287.521,50,149.56201
80.0,50,149.924948
59.2,50,150.244071
283.656,50,150.57023
60.8,50,150.917094
82.4,50,151.247785
77.6,50,151.568595
261.855,50,151.943139
136.8785,50,152.326699
250.889,50,152.623318
79.2,50,152.933487
86.4,50,153.317635
88.8,50,153.686323
84.0,50,154.088477
270.6775,50,154.474384
262.292,50,154.848531
314.33175,50,155.243092
267.3275,50,155.609122
82.4,50,155.990792
269.718,50,156.428787
266.46475,50,156.819997
74.4,50,157.222842
249.214,50,157.604186
86.4,50,157.994318
72.8,50,158.35179
81.6,50,158.746595
269.7405,50,159.141289
286.481,50,159.527445
261.421,50,159.928951
273.3995,50,160.327125
240.809,50,160.705902
335.5,50,161.04759
79.2,50,161.339664
87.2,50,161.658965
361.83875,50,162.008589
86.4,50,162.363734
86.4,50,162.703811
239.15825,50,163.044671
401.5155,50,163.403856
81.6,50,163.760353
260.8015,50,164.099911
335.342,50,164.424501
291.6675,50,164.858329
174.48575,50,165.250832
86.4,50,165.685781
70.4,50,166.065956
254.457,50,166.43604
164.09375,50,166.815773
77.6,50,167.25364
299.002,50,167.682098
84.0,50,168.079069
266.02225,50,168.453383
335.324,50,168.860961
74.4,50,169.246235
267.235,50,169.606277
88.8,50,170.005435
80.0,50,170.375553
80.0,50,170.778184
277.9605,50,171.199437
76.8,50,171.614172
86.4,50,172.040287
68.0,50,172.445965
255.89225,50,172.778181
67.2,50,173.09518
247.0175,50,173.449332
355.346,50,173.793759
173.31975,50,174.143505
75.2,50,174.44879
284.8765,50,174.775848
304.7055,50,175.103485
86.4,50,175.430182
272.09,50,175.738589
84.0,50,176.060891
82.4,50,176.446995
91.2,50,176.815703
64.8,50,177.198326
302.99825,50,177.582665
247.87775,50,177.975302
367.156,50,178.349656
262.522,50,178.727435
277.78375,50,179.122941
262.54325,50,179.532486
93.6,50,179.892749
272.954,50,180.264234
295.2525,50,180.637564
285.3105,50,181.001704
84.0,50,181.421149
376.725,50,181.799286
250.86725,50,182.168076
81.6,50,182.56222
246.38425,50,182.956391
84.0,50,183.378833
84.8,50,183.786639
265.60725,50,184.104238
253.572,50,184.42804
91.2,50,184.771297
173.19925,50,185.138803
270.67,50,185.486597
273.4415,50,185.824508
174.97525,50,186.13142
252.02025,50,186.478067
77.6,50,186.800193
79.2,50,187.138878
79.2,50,187.475298
84.8,50,187.845295
290.258,50,188.222052
254.028,50,188.614978
250.9585,50,188.998114
84.8,50,189.406923
283.853,50,189.777281
375.9765,50,190.144592
271.231,50,190.547044
84.0,50,190.945626
279.54875,50,191.329836
314.3715,50,191.790071
327.53,50,192.217826
317.0835,50,192.66374
318.03875,50,193.046204
270.81975,50,193.458003
286.989,50,193.88193
84.0,50,194.259116
261.619,50,194.649897
86.4,50,195.027339
279.59175,50,195.440388
270.78925,50,195.75709
263.9955,50,196.104151
93.6,50,196.470493
80.0,50,196.785516
84.0,50,197.104836
256.7515,50,197.421277
343.2025,50,197.764454
278.23,50,198.109035
153.26825,50,198.484892
74.4,50,198.845288
347.5275,50,199.17426
312.012,50,199.581823
86.4,50,199.962937
256.635,50,200.359658
243.5015,50,200.751893
260.629,50,201.173139
274.216,50,201.549049
281.3475,50,201.958533
273.0855,50,202.381869
261.9235,50,202.747149
247.3315,50,203.130491
284.969,50,203.532593
259.1515,50,203.908088
267.4585,50,204.307884
296.96225,50,204.700248
86.4,50,205.099347
77.6,50,205.468633
265.0525,50,205.862404
248.77025,50,206.243568
273.0575,50,206.620372
251.717,50,206.98253
276.13575,50,207.308156
88.8,50,207.623503
293.9125,50,207.950949
262.9305,50,208.258331
88.8,50,208.590809
260.36075,50,208.920579
316.8485,50,209.263401
272.353,50,209.62884
263.38125,50,209.959647
180.91325,50,210.28813
273.219,50,210.658092
88.8,50,211.043304
88.8,50,211.42417
306.3,50,211.832165
260.14175,50,212.246528
364.95775,50,212.627893
81.6,50,213.042724
250.8125,50,213.416525
269.579,50,213.841011
313.0105,50,214.219239
84.0,50,214.602827
82.4,50,214.950422
86.4,50,215.29233
96.0,50,215.673667
298.24975,50,216.065471
294.857,50,216.458519
252.615,50,216.844331
84.0,50,217.222378
261.76675,50,217.636977
265.1305,50,218.030061
87.2,50,218.414948
79.2,50,218.745934
72.0,50,219.112233
82.4,50,219.451465
72.8,50,219.771833
163.0095,50,220.093436
88.8,50,220.401466
86.4,50,220.706275
91.2,50,221.063118
338.4215,50,221.453225
245.7765,50,221.786183
77.6,50,222.147263
248.14425,50,222.537682
303.9925,50,222.937384
255.37975,50,223.311707
