#{"t_start": 1678041493.3454714, "env_id": "gym_cell/cg-v0"}
r,l,t
70.4,50,2.99226
77.6,50,3.393
74.4,50,3.780984
73.6,50,4.171376
68.8,50,4.599293
87.2,50,5.014256
56.0,50,5.418182
76.0,50,5.847891
72.0,50,6.276419
76.8,50,6.714744
69.6,50,7.160594
77.6,50,7.557177
69.6,50,7.95625
84.8,50,8.350402
81.6,50,8.787477
68.8,50,9.219382
71.2,50,9.640164
82.4,50,10.040169
84.0,50,10.483092
91.2,50,10.912768
79.2,50,11.298399
86.4,50,11.655174
79.2,50,12.002171
76.0,50,12.362747
72.8,50,12.721659
65.6,50,13.061462
79.2,50,13.388372
76.8,50,13.73398
70.4,50,14.104422
81.6,50,14.454921
72.8,50,14.773186
157.6815,50,15.198433
75.2,50,15.599879
80.0,50,15.976313
70.4,50,16.367018
81.6,50,16.736552
81.6,50,17.141482
88.8,50,17.546338
88.8,50,17.938771
296.15525,50,18.325365
82.4,50,18.7188
166.65,50,19.127409
75.2,50,19.549675
77.6,50,19.991204
80.0,50,20.398135
276.763,50,20.862258
319.6105,50,21.280586
267.66525,50,21.650594
172.14975,50,22.017529
270.0765,50,22.424448
294.1205,50,22.786003
333.814,50,23.145584
76.8,50,23.476619
81.6,50,23.80185
316.92275,50,24.125252
93.6,50,24.433949
280.49325,50,24.805176
88.8,50,25.155274
267.743,50,25.482785
288.6175,50,25.825313
281.4645,50,26.177325
91.2,50,26.503214
283.242,50,26.920721
281.78925,50,27.309083
76.8,50,27.723688
331.77575,50,28.156505
245.949,50,28.519657
86.4,50,28.911847
79.2,50,29.306509
86.4,50,29.731411
91.2,50,30.11546
295.9655,50,30.537163
86.4,50,30.948088
81.6,50,31.350728
79.2,50,31.722907
79.2,50,32.140362
258.01,50,32.551708
254.156,50,32.976578
88.8,50,33.347391
81.6,50,33.758914
82.4,50,34.140489
84.0,50,34.547148
86.4,50,34.875683
263.0395,50,35.217946
84.8,50,35.549357
289.0765,50,35.86126
285.441,50,36.200748
170.237,50,36.548713
272.5445,50,36.900348
326.458,50,37.276606
243.8295,50,37.644532
265.4655,50,37.972208
291.8505,50,38.296561
265.069,50,38.684751
269.83225,50,39.061604
87.2,50,39.44562
264.52,50,39.841889
262.7905,50,40.220869
77.6,50,40.654496
86.4,50,41.083347
81.6,50,41.515841
263.9795,50,41.889247
86.4,50,42.275262
89.6,50,42.66052
297.019,50,43.02763
72.0,50,43.435655
376.8925,50,43.849351
86.4,50,44.266107
81.6,50,44.638242
84.0,50,45.028278
77.6,50,45.43985
86.4,50,45.843072
295.66075,50,46.222077
316.295,50,46.565957
312.35,50,46.918751
81.6,50,47.251656
308.848,50,47.587897
80.0,50,47.936044
303.1995,50,48.300719
259.703,50,48.656803
86.4,50,48.974832
268.8105,50,49.347705
173.15075,50,49.670086
75.2,50,50.008193
79.2,50,50.433598
289.96275,50,50.875684
278.7735,50,51.292449
284.84425,50,51.724679
291.0335,50,52.12207
310.3685,50,52.509054
326.8905,50,52.904124
86.4,50,53.302049
84.0,50,53.70311
247.5925,50,54.074456
300.4005,50,54.431578
425.4715,50,54.872398
288.781,50,55.284021
255.77,50,55.67721
284.8295,50,56.034525
251.6525,50,56.394626
283.456,50,56.772239
86.4,50,57.13257
324.3635,50,57.504488
88.8,50,57.85118
336.656,50,58.174059
91.2,50,58.491645
303.37475,50,58.842541
93.6,50,59.134538
338.614,50,59.471878
298.612,50,59.779006
288.128,50,60.07478
303.125,50,60.400297
382.5655,50,60.724654
284.91,50,61.046027
347.481,50,61.399416
277.5575,50,61.796166
88.8,50,62.208818
334.71975,50,62.620228
361.778,50,63.041401
287.927,50,63.403375
280.695,50,63.795721
285.669,50,64.166725
305.487,50,64.535014
325.1145,50,64.909582
359.58,50,65.289264
330.08975,50,65.692085
262.828,50,66.068377
257.966,50,66.446195
286.0885,50,66.830107
315.892,50,67.229394
267.4835,50,67.607618
261.3535,50,67.972264
87.2,50,68.337577
340.6975,50,68.706816
261.438,50,69.068141
263.4285,50,69.377017
356.9835,50,69.732638
257.341,50,70.050037
388.018,50,70.403619
253.816,50,70.717924
84.8,50,71.048805
413.734,50,71.39673
336.209,50,71.729729
305.2765,50,72.047788
375.9385,50,72.397349
266.847,50,72.714169
91.2,50,73.087818
286.797,50,73.45719
232.5155,50,73.815865
87.2,50,74.190946
323.0925,50,74.579241
267.4105,50,74.965748
321.2455,50,75.365844
250.2555,50,75.781811
301.349,50,76.186519
356.342,50,76.570971
273.11,50,76.949118
311.725,50,77.315339
391.1755,50,77.705364
313.957,50,78.097128
86.4,50,78.472376
338.548,50,78.891923
301.968,50,79.263695
276.693,50,79.636934
88.8,50,80.012662
331.113,50,80.414973
261.5165,50,80.752282
271.9075,50,81.07837
255.3725,50,81.412712
281.176,50,81.751899
272.4565,50,82.079687
91.2,50,82.412086
77.6,50,82.727037
291.663,50,83.066969
349.43725,50,83.447522
288.47775,50,83.782467
298.0945,50,84.144468
452.56175,50,84.591503
91.2,50,85.0376
407.88375,50,85.465696
259.6065,50,85.862545
361.563,50,86.285987
268.8785,50,86.67209
280.2855,50,87.054455
93.6,50,87.455635
327.918,50,87.864784
300.9265,50,88.279249
312.20825,50,88.662182
303.7685,50,89.037611
292.909,50,89.433306
296.3355,50,89.855314
80.0,50,90.240605
86.4,50,90.635366
91.2,50,91.01939
264.43175,50,91.372772
84.8,50,91.794471
82.4,50,92.198504
242.483,50,92.551315
324.65275,50,92.892908
311.811,50,93.255085
316.28825,50,93.630649
294.284,50,93.983821
302.222,50,94.332448
84.8,50,94.667991
288.1835,50,94.99926
74.4,50,95.349206
81.6,50,95.672877
84.0,50,96.018004
301.16175,50,96.408333
87.2,50,96.810364
79.2,50,97.219286
81.6,50,97.603412
80.0,50,97.992086
318.3445,50,98.363011
82.4,50,98.781214
86.4,50,99.158182
73.6,50,99.551384
69.6,50,99.915936
77.6,50,100.286827
362.45625,50,100.690214
266.861,50,101.105346
86.4,50,101.487842
80.0,50,101.882972
293.80575,50,102.277176
314.877,50,102.666575
84.8,50,103.056387
258.446,50,103.487685
79.2,50,103.916266
261.4815,50,104.279861
364.7965,50,104.649497
260.7995,50,104.97134
303.504,50,105.337434
86.4,50,105.699417
77.6,50,106.03286
84.0,50,106.376595
287.202,50,106.715533
264.9715,50,107.069891
308.1445,50,107.443617
264.4765,50,107.781309
84.0,50,108.169172
262.174,50,108.546051
160.4375,50,108.965714
241.47425,50,109.375794
81.6,50,109.759527
87.2,50,110.145278
264.51175,50,110.533156
91.2,50,110.936792
319.3795,50,111.351373
244.9165,50,111.757696
255.6315,50,112.135979
