#{"t_start": 1678045322.367705, "env_id": "gym_cell/cg-v0"}
r,l,t
44.8,50,4.834832
-48.8,50,5.270799
-50.4,50,5.704279
-38.4,50,6.174
-55.2,50,6.609475
-16.8,50,7.047422
-40.8,50,7.526438
-48.0,50,7.995201
-37.6,50,8.4575
-55.2,50,8.912693
-32.0,50,9.382418
-64.0,50,9.832491
-61.6,50,10.277048
-50.4,50,10.721814
-57.6,50,11.163846
-37.6,50,11.605345
-46.4,50,12.036192
-55.2,50,12.481627
-50.4,50,12.937372
-58.4,50,13.382337
-53.6,50,13.724256
-68.0,50,14.069039
-57.6,50,14.396994
-36.0,50,14.737136
-60.0,50,15.079207
-35.2,50,15.412241
-36.0,50,15.745913
-49.6,50,16.077435
-46.4,50,16.412967
-16.8,50,16.751817
-56.8,50,17.075081
-45.6,50,17.533199
-49.6,50,18.005553
-59.2,50,18.466595
-32.8,50,18.928086
-33.6,50,19.380572
-46.4,50,19.832018
-56.8,50,20.286619
-20.0,50,20.752431
-28.8,50,21.207055
-55.2,50,21.660412
-54.4,50,22.113776
-54.4,50,22.58444
-50.4,50,23.070503
-50.4,50,23.56829
-41.6,50,24.054062
-52.0,50,24.560595
-40.0,50,25.060114
-40.0,50,25.50539
-57.6,50,25.972252
-68.8,50,26.426639
-45.6,50,26.769004
-13.6,50,27.106637
-24.8,50,27.444793
-33.6,50,27.791743
-44.8,50,28.132812
-44.8,50,28.47531
-36.0,50,28.804324
-54.4,50,29.140766
-49.6,50,29.495911
-22.4,50,29.838846
-47.2,50,30.177299
-49.6,50,30.65032
-47.2,50,31.126965
-50.4,50,31.575183
-55.2,50,32.004631
-35.2,50,32.445882
-53.6,50,32.910223
-43.2,50,33.388218
-51.2,50,33.8471
-40.8,50,34.331585
-50.4,50,34.80715
-56.0,50,35.295373
-38.4,50,35.823212
-32.8,50,36.355584
-41.6,50,36.87353
-53.6,50,37.413739
-47.2,50,37.93387
-44.0,50,38.397229
-56.0,50,38.854123
-49.6,50,39.319169
-58.4,50,39.785227
-43.2,50,40.130687
-47.2,50,40.466372
-53.6,50,40.812009
-56.0,50,41.147714
-51.2,50,41.484648
-61.6,50,41.824721
-51.2,50,42.163597
-56.0,50,42.499655
-47.2,50,42.843321
-53.6,50,43.173812
-58.4,50,43.50966
-60.0,50,43.956888
-47.2,50,44.5032
-57.6,50,44.957934
-65.6,50,45.409554
-57.6,50,45.871157
-54.4,50,46.319404
-49.6,50,46.784703
-45.6,50,47.250328
-36.0,50,47.716558
-28.8,50,48.200489
