#{"t_start": 1678045481.9339678, "env_id": "gym_cell/cg-v0"}
r,l,t
287.1835,50,2.33869
238.92275,50,2.637535
269.3925,50,2.959908
75.2,50,3.298849
228.754,50,3.631855
285.41075,50,3.995047
84.8,50,4.292992
248.4885,50,4.612998
260.7935,50,4.896706
91.2,50,5.208851
273.9095,50,5.491795
88.8,50,5.826086
80.0,50,6.131993
284.263,50,6.455621
145.217,50,6.740969
57.6,50,7.020326
56.0,50,7.313951
70.4,50,7.594429
91.2,50,7.913355
287.415,50,8.217595
28.0,50,10.332983
-100.0,50,10.634759
-100.0,50,10.919648
-100.0,50,11.204745
-96.0,50,11.489387
177.83725,50,11.811098
0.0,50,12.105173
-52.0,50,12.395111
-56.0,50,12.684618
-100.0,50,12.972532
68.0,50,13.272744
76.8,50,13.579162
284.482,50,13.919075
275.3395,50,14.235742
74.4,50,14.581443
307.1765,50,14.872469
80.0,50,15.246523
238.1485,50,15.565077
257.8425,50,15.92837
82.4,50,16.267364
254.8225,50,16.562039
292.4905,50,16.871132
24.8,50,17.148889
70.4,50,17.440713
267.9295,50,17.719351
376.47,50,18.046498
239.3265,50,18.366887
264.493,50,18.648854
244.6365,50,18.969021
75.2,50,19.242856
234.3505,50,19.516067
-100.0,50,19.797709
80.0,50,20.08564
-28.0,50,20.368095
20.0,50,20.66177
-100.0,50,20.942552
-100.0,50,21.221849
40.0,50,21.509365
-100.0,50,21.790456
60.0,50,22.076914
-100.0,50,22.356651
-100.0,50,22.637749
340.5495,50,22.94266
234.084,50,23.265746
245.1395,50,23.562465
88.8,50,23.855502
374.014,50,24.146968
319.3525,50,24.47606
243.2355,50,24.776044
335.956,50,25.079965
79.2,50,25.334357
84.8,50,25.676963
91.2,50,26.006254
257.257,50,26.307792
242.989,50,26.603894
62.4,50,26.936535
256.10075,50,27.237362
167.7495,50,27.547753
76.8,50,27.850824
295.864,50,28.138735
241.7485,50,28.449544
76.8,50,28.783352
-100.0,50,29.07075
76.0,50,29.376757
-8.0,50,29.665777
-12.0,50,29.963128
32.0,50,30.252814
88.0,50,30.576584
-96.0,50,30.864571
96.0,50,31.163192
-92.0,50,31.457817
-96.0,50,31.74414
32.0,50,32.036159
91.2,50,32.336303
281.0625,50,32.688638
71.2,50,33.003554
60.0,50,33.332188
267.3225,50,33.649184
257.1425,50,33.94985
251.591,50,34.225562
87.2,50,34.496136
91.2,50,34.772485
240.4905,50,35.02983
446.0845,50,35.383955
310.523,50,35.724135
300.061,50,36.003634
174.682,50,36.305882
74.4,50,36.616171
81.6,50,36.92284
261.48775,50,37.264252
300.762,50,37.554695
78.4,50,37.881581
69.6,50,38.212426
-100.0,50,38.500052
12.0,50,38.785975
-100.0,50,39.067637
-100.0,50,39.347345
-100.0,50,39.631857
-100.0,50,39.917365
96.0,50,40.23461
-32.0,50,40.522169
-52.0,50,40.808616
-100.0,50,41.091646
-100.0,50,41.3765
246.998,50,41.692856
60.0,50,41.996535
266.347,50,42.303381
79.2,50,42.636836
233.0755,50,42.961919
