#{"t_start": 1678045352.9101264, "env_id": "gym_cell/cg-v0"}
r,l,t
60.8,50,4.218963
88.8,50,4.677351
298.655,50,5.159624
349.3165,50,5.670713
349.7565,50,6.172848
64.0,50,6.680642
82.4,50,7.164266
322.507,50,7.633505
248.3575,50,8.008075
68.0,50,8.42321
72.8,50,8.825912
68.0,50,9.268827
242.3965,50,9.633169
80.0,50,10.041936
258.73025,50,10.467955
86.4,50,10.899149
248.8985,50,11.348018
88.8,50,11.77804
232.6395,50,12.204816
72.0,50,12.625395
-36.0,50,12.965089
-20.0,50,13.302423
43.2,50,13.734278
-45.6,50,14.102252
-29.6,50,14.463976
13.6,50,14.843078
-22.4,50,15.192137
9.6,50,15.574759
16.8,50,15.959267
3.2,50,16.32898
-64.8,50,16.673858
75.2,50,17.187269
75.2,50,17.644894
274.752,50,18.077073
60.8,50,18.556213
317.97,50,19.01714
328.465,50,19.453361
85.6,50,19.901729
55.2,50,20.349487
270.6655,50,20.837396
82.4,50,21.309858
270.53725,50,21.774834
197.864,50,22.236606
89.6,50,22.692525
77.6,50,23.131472
347.7595,50,23.562944
235.9855,50,23.975413
259.307,50,24.391844
265.9115,50,24.804219
54.4,50,25.222819
80.0,50,25.687304
55.2,50,26.089499
-45.6,50,26.446969
-44.8,50,26.783269
-17.6,50,27.154155
-8.0,50,27.523368
66.4,50,27.937916
7.2,50,28.331457
58.4,50,28.732981
-56.0,50,29.075489
67.2,50,29.466878
-19.2,50,29.821147
46.4,50,33.457818
72.8,50,33.92249
62.4,50,34.350875
255.1335,50,34.765042
85.6,50,35.193049
239.4435,50,35.663015
69.6,50,36.067559
316.1495,50,36.476322
391.3345,50,36.928669
293.6135,50,37.347466
415.5145,50,37.840048
256.176,50,38.252951
268.33,50,38.680346
247.998,50,39.061962
75.2,50,39.472214
143.33975,50,39.912624
152.53975,50,40.362686
85.6,50,40.791475
257.301,50,41.204806
246.4025,50,41.677042
-100.0,50,41.995174
-100.0,50,42.300812
-100.0,50,42.606077
-100.0,50,42.909716
