#{"t_start": 1678041518.9168532, "env_id": "gym_cell/cg-v0"}
r,l,t
287.1835,50,2.131597
238.92275,50,2.420208
269.3925,50,2.731733
75.2,50,3.060072
228.754,50,3.382792
285.41075,50,3.733081
84.8,50,4.023443
248.4885,50,4.335195
260.7935,50,4.611026
91.2,50,4.912918
273.9095,50,5.183444
88.8,50,5.505308
80.0,50,5.801148
284.263,50,6.113149
145.217,50,6.389344
57.6,50,6.661121
56.0,50,6.946841
70.4,50,7.218911
91.2,50,7.528408
287.415,50,7.823162
-100.0,50,8.925616
-100.0,50,9.159157
-100.0,50,9.391802
-100.0,50,9.624371
-100.0,50,9.857011
-100.0,50,10.090513
-100.0,50,10.321836
-100.0,50,10.554801
-100.0,50,10.787923
-100.0,50,11.021424
-100.0,50,11.255012
239.15975,50,11.553269
362.7765,50,11.88365
70.4,50,12.189147
51.2,50,12.484088
82.4,50,12.760405
51.2,50,13.076768
290.26925,50,13.403301
72.0,50,13.75146
60.0,50,14.05935
84.0,50,14.369327
280.518,50,14.69271
112.68975,50,14.969011
65.6,50,15.243483
323.6875,50,15.576905
277.489,50,15.90521
80.8,50,16.188387
283.461,50,16.467064
325.7695,50,16.799997
239.949,50,17.066783
68.0,50,17.348581
-100.0,50,17.586907
-100.0,50,17.823053
-100.0,50,18.060464
-100.0,50,18.298475
-100.0,50,18.534844
-100.0,50,18.770797
-100.0,50,19.005941
-100.0,50,19.240509
-100.0,50,19.474219
-100.0,50,19.708452
-100.0,50,19.941827
37.6,50,20.191213
247.424,50,20.492538
76.0,50,20.786854
285.899,50,21.069046
246.621,50,21.314016
30.4,50,21.600922
323.785,50,21.8999
349.99,50,22.201316
157.3715,50,22.489641
292.172,50,22.809344
86.4,50,23.121265
479.74625,50,23.438171
301.442,50,23.725003
69.6,50,24.050759
83.2,50,24.321668
300.32225,50,24.603834
79.2,50,24.888115
330.0275,50,25.199806
86.4,50,25.487953
81.6,50,25.83666
-100.0,50,26.0824
-100.0,50,26.321727
-100.0,50,26.556572
-100.0,50,26.791335
-100.0,50,27.026005
-100.0,50,27.260302
-100.0,50,27.496553
-100.0,50,27.730262
-100.0,50,27.964698
-100.0,50,28.199648
-100.0,50,28.438212
253.133,50,28.721292
74.4,50,29.021247
271.37575,50,29.313412
67.2,50,29.628178
249.486,50,29.919805
283.87725,50,30.20421
245.798,50,30.480359
244.7665,50,30.797675
253.2625,50,31.080281
79.2,50,31.33734
74.4,50,31.616796
282.15175,50,31.923247
303.044,50,32.210474
319.47625,50,32.500445
64.8,50,32.805253
263.19,50,33.107853
66.4,50,33.373346
78.4,50,33.644723
264.222,50,33.952323
320.44,50,34.259999
-100.0,50,34.496228
-100.0,50,34.732164
-100.0,50,34.97051
-100.0,50,35.207903
-100.0,50,35.445673
-100.0,50,35.681056
-100.0,50,35.915296
-100.0,50,36.159454
-100.0,50,36.399992
-100.0,50,36.639486
-100.0,50,36.879265
264.5985,50,37.203023
64.0,50,37.480546
84.0,50,37.789553
81.6,50,38.145149
78.4,50,38.433568
248.0075,50,38.745007
84.8,50,39.059783
76.8,50,39.368737
138.803,50,39.635792
308.529,50,39.942275
80.0,50,40.261736
337.911,50,40.601658
313.1795,50,40.928511
68.8,50,41.202281
20.0,50,41.50111
81.6,50,41.818881
52.0,50,42.09353
73.6,50,42.411981
33.6,50,42.68583
272.651,50,42.956828
-100.0,50,43.195938
-100.0,50,43.430091
-100.0,50,43.662824
-100.0,50,43.896044
-100.0,50,44.129098
-100.0,50,44.362885
-100.0,50,44.595328
-100.0,50,44.827825
-100.0,50,45.060098
-100.0,50,45.293206
-100.0,50,45.52696
277.509,50,45.837929
58.4,50,46.127299
43.2,50,46.390765
79.2,50,46.701815
276.541,50,47.027021
81.6,50,47.336136
266.113,50,47.605743
224.6365,50,47.879293
83.2,50,48.155015
79.2,50,48.467482
264.885,50,48.796319
80.0,50,49.039043
303.182,50,49.326206
270.92275,50,49.640083
82.4,50,49.925614
255.214,50,50.258134
83.2,50,50.55696
84.0,50,50.861347
267.50125,50,51.15774
84.0,50,51.464617
-100.0,50,51.703507
-100.0,50,51.938369
-100.0,50,52.174787
-100.0,50,52.411111
-100.0,50,52.64867
-100.0,50,52.886805
-100.0,50,53.123327
-100.0,50,53.359484
-100.0,50,53.595227
-100.0,50,53.831601
-100.0,50,54.06823
61.6,50,54.36501
326.66175,50,54.645695
274.1855,50,54.960755
293.241,50,55.251779
80.0,50,55.574337
76.0,50,55.844053
296.9805,50,56.155289
76.8,50,56.413536
271.10525,50,56.697472
49.6,50,56.982283
79.2,50,57.256247
91.2,50,57.547747
328.554,50,57.871522
295.0735,50,58.13614
262.7355,50,58.438017
86.4,50,58.744365
48.0,50,59.024818
417.0195,50,59.3643
51.2,50,59.601582
211.8585,50,59.865073
-100.0,50,60.103957
-100.0,50,60.339612
-100.0,50,60.574614
-100.0,50,60.80822
-100.0,50,61.041783
-100.0,50,61.274163
-100.0,50,61.509929
-100.0,50,61.745727
-100.0,50,61.981538
-100.0,50,62.217375
-100.0,50,62.451472
284.79225,50,62.746152
265.186,50,63.048676
86.4,50,63.326331
291.6225,50,63.643017
70.4,50,63.92029
91.2,50,64.211609
55.2,50,64.501982
223.774,50,64.787817
68.8,50,65.070957
254.0265,50,65.364932
283.0765,50,65.650146
82.4,50,65.939781
91.2,50,66.252026
234.5205,50,66.547843
326.6865,50,66.871943
40.0,50,67.14167
278.0745,50,67.416137
76.0,50,67.704651
290.4715,50,67.96766
278.2815,50,68.276309
-100.0,50,68.515567
-100.0,50,68.748957
-100.0,50,68.983145
-100.0,50,69.218479
-100.0,50,69.453404
-100.0,50,69.687553
-100.0,50,69.92169
-100.0,50,70.155066
-100.0,50,70.389648
-100.0,50,70.624538
-100.0,50,70.858589
80.8,50,71.137342
91.2,50,71.432885
74.4,50,71.765883
88.8,50,72.083436
76.8,50,72.372252
299.667,50,72.701485
64.0,50,73.050115
389.771,50,73.390815
244.36,50,73.709335
233.418,50,73.999244
267.636,50,74.282256
83.2,50,74.582901
245.978,50,74.846519
88.8,50,75.165124
237.302,50,75.443618
235.441,50,75.742561
242.93,50,76.031873
254.527,50,76.327034
73.6,50,76.635492
76.8,50,76.944837
-100.0,50,77.18306
-100.0,50,77.419737
-100.0,50,77.660483
-100.0,50,77.89891
-100.0,50,78.137202
-100.0,50,78.376709
-100.0,50,78.611935
-100.0,50,78.844856
-100.0,50,79.074571
-100.0,50,79.30713
-100.0,50,79.538754
68.0,50,79.841292
284.2395,50,80.162956
337.721,50,80.455455
243.41825,50,80.750216
277.67675,50,81.022264
76.8,50,81.324246
250.7985,50,81.656117
71.2,50,81.936069
321.296,50,82.250366
351.129,50,82.546722
261.5395,50,82.831648
313.0615,50,83.117005
264.971,50,83.383289
238.5895,50,83.711987
84.8,50,84.000532
38.4,50,84.265971
281.687,50,84.546287
81.6,50,84.847338
68.8,50,85.185758
76.8,50,85.472123
-100.0,50,85.712936
-100.0,50,85.953951
-100.0,50,86.190309
-100.0,50,86.427686
-100.0,50,86.664712
-100.0,50,86.902669
-100.0,50,87.140766
-100.0,50,87.378639
-100.0,50,87.615492
-100.0,50,87.853037
-100.0,50,88.087836
368.448,50,88.370597
83.2,50,88.679344
71.2,50,88.984785
286.26,50,89.270441
372.1955,50,89.574442
280.0885,50,89.84604
295.793,50,90.143499
254.956,50,90.428792
293.344,50,90.734932
82.4,50,91.051541
72.8,50,91.35849
58.4,50,91.643248
253.1755,50,91.932221
291.9435,50,92.207462
214.4175,50,92.45682
258.575,50,92.733998
314.867,50,92.978313
80.0,50,93.296143
288.30975,50,93.61023
57.6,50,93.864334
-100.0,50,94.102533
-100.0,50,94.34069
-100.0,50,94.575547
-100.0,50,94.809091
-100.0,50,95.043266
-100.0,50,95.278933
-100.0,50,95.514003
-100.0,50,95.75005
-100.0,50,95.985672
-100.0,50,96.22063
-100.0,50,96.454555
55.2,50,96.771689
81.6,50,97.11492
219.531,50,97.390498
264.7095,50,97.653679
86.4,50,97.940763
229.9905,50,98.256149
334.95,50,98.575508
373.9035,50,98.910175
93.6,50,99.190129
267.254,50,99.472421
72.0,50,99.807476
86.4,50,100.102435
271.809,50,100.443041
216.16,50,100.687151
273.783,50,100.992851
255.9125,50,101.273677
70.4,50,101.601171
73.6,50,101.890523
259.3705,50,102.217888
221.83325,50,102.508279
-100.0,50,102.744533
-100.0,50,102.976729
-100.0,50,103.210695
-100.0,50,103.443515
-100.0,50,103.67806
-100.0,50,103.911144
-100.0,50,104.14487
-100.0,50,104.37852
-100.0,50,104.61263
-100.0,50,104.846317
-100.0,50,105.080405
84.0,50,105.392694
284.65275,50,105.654492
72.0,50,105.963053
56.0,50,106.25212
256.3365,50,106.600832
75.2,50,106.912559
248.756,50,107.254937
275.29175,50,107.549051
91.2,50,107.826903
79.2,50,108.180805
55.2,50,108.498846
75.2,50,108.805659
219.739,50,109.100015
279.798,50,109.373234
306.5895,50,109.68465
325.6805,50,110.004488
