#{"t_start": 1678046177.5040433, "env_id": "gym_cell/cg-v0"}
r,l,t
70.4,50,4.813359
66.4,50,5.457759
78.4,50,6.098451
77.6,50,6.715003
61.6,50,7.359704
70.4,50,8.052079
71.2,50,8.682575
78.4,50,9.400316
157.02675,50,10.074673
251.782,50,10.79062
67.2,50,11.474983
77.6,50,12.178257
80.0,50,12.786973
77.6,50,13.424848
77.6,50,14.037774
86.4,50,14.658497
84.8,50,15.280714
81.6,50,15.897198
69.6,50,16.541058
77.6,50,17.211497
-52.0,50,17.610672
-56.0,50,18.015601
-46.4,50,18.409751
-27.2,50,18.810135
-55.2,50,19.209483
-25.6,50,19.621205
-53.6,50,20.036258
-57.6,50,20.420068
-58.4,50,20.799608
-32.8,50,21.196329
-60.0,50,21.598105
87.2,50,22.369316
-28.0,50,23.069798
73.6,50,23.771832
79.2,50,24.446095
75.2,50,25.130725
283.8545,50,25.755282
93.6,50,26.340431
163.129,50,26.914569
265.7845,50,27.499838
258.2035,50,28.087795
282.547,50,28.687909
240.061,50,29.302128
84.8,50,29.953665
272.358,50,30.589288
269.7735,50,31.22942
298.7125,50,31.909028
88.8,50,32.595354
251.4725,50,33.258973
296.725,50,33.917397
65.6,50,34.505223
-100.0,50,34.858647
-100.0,50,35.208808
-100.0,50,35.56302
-100.0,50,35.921669
-100.0,50,36.302865
-100.0,50,36.674975
-100.0,50,37.046025
-100.0,50,37.413448
-100.0,50,37.791636
-100.0,50,38.173239
56.0,50,38.569002
91.2,50,39.247971
86.4,50,39.902939
68.8,50,40.529137
164.464,50,41.18243
253.8725,50,41.80985
84.8,50,42.421216
67.2,50,43.012486
80.8,50,43.635825
288.157,50,44.242342
80.8,50,44.878449
383.605,50,45.613015
273.2295,50,46.383028
79.2,50,47.130987
303.34225,50,47.842376
223.753,50,48.497452
65.6,50,49.227062
75.2,50,49.902173
66.4,50,50.574074
279.0285,50,51.235272
237.7695,50,51.9331
-51.2,50,52.343264
-28.0,50,52.764851
-52.0,50,53.185185
-40.8,50,53.601328
-32.0,50,54.028934
-55.2,50,54.475847
-43.2,50,54.902904
-44.0,50,55.329674
-54.4,50,55.769418
-38.4,50,56.208961
-28.8,50,56.628883
20.8,50,57.327271
322.4885,50,58.027436
274.2645,50,58.646751
84.0,50,59.270586
275.4375,50,59.895204
287.3695,50,60.476012
341.145,50,61.104801
269.3185,50,61.723486
263.80525,50,62.378431
342.9245,50,63.048878
249.7245,50,63.691678
60.0,50,64.302809
310.805,50,64.940816
234.8935,50,65.586774
77.6,50,66.270004
19.2,50,66.980997
77.6,50,67.717805
77.6,50,68.44184
68.8,50,69.123464
81.6,50,69.835623
-70.4,50,70.237329
-15.2,50,70.681252
-17.6,50,71.120927
-60.0,50,71.551638
-11.2,50,72.007039
8.0,50,72.444564
-13.6,50,72.876605
-8.0,50,73.318104
-42.4,50,73.753706
-58.4,50,74.187015
1.6,50,74.619647
81.6,50,75.364828
81.6,50,76.033436
269.3605,50,76.765365
276.314,50,77.496753
86.4,50,78.267662
353.86975,50,79.057638
284.762,50,79.772855
264.5565,50,80.509093
82.4,50,81.216852
82.4,50,81.859422
281.07275,50,82.489975
304.804,50,83.147152
258.77625,50,83.848815
243.29225,50,84.523321
359.3,50,85.290725
285.5925,50,86.018501
314.8505,50,86.770382
302.638,50,87.519307
169.471,50,88.212765
153.87875,50,88.85755
364.742,50,89.323896
309.2545,50,89.749909
305.85,50,90.176152
77.6,50,90.564888
64.8,50,90.969913
295.75,50,91.392931
254.7915,50,91.814585
341.292,50,92.256735
285.8315,50,92.70408
93.6,50,93.110505
75.2,50,93.510566
264.844,50,94.162584
347.7725,50,94.830267
166.85225,50,95.487133
342.2095,50,96.158474
85.6,50,96.789279
74.4,50,97.384929
86.4,50,98.014577
89.6,50,98.592403
398.73475,50,99.245288
257.245,50,99.869427
384.573,50,100.511572
364.8585,50,101.167639
305.694,50,101.762942
93.6,50,102.363359
404.3795,50,103.034831
48.0,50,103.59669
253.751,50,104.225037
234.907,50,104.887373
233.674,50,105.576156
76.8,50,106.326123
295.86,50,106.760036
259.1355,50,107.216527
88.0,50,107.659693
249.2995,50,108.101186
304.2195,50,108.532953
307.8055,50,108.987725
242.388,50,109.424373
340.126,50,109.894634
298.183,50,110.326243
361.3545,50,110.793885
290.22575,50,111.244954
327.27075,50,111.922431
276.52,50,112.602898
273.8455,50,113.238268
62.4,50,113.929714
86.4,50,114.613436
372.04025,50,115.301997
77.6,50,115.929208
71.2,50,116.594672
267.88575,50,117.276609
280.6935,50,117.97711
304.828,50,118.695877
86.4,50,119.437694
91.2,50,120.09808
327.513,50,120.719563
280.006,50,121.395895
257.374,50,122.055928
83.2,50,122.745591
86.4,50,123.489426
239.459,50,124.231905
260.5395,50,124.983502
294.555,50,125.451432
316.575,50,125.899533
340.6955,50,126.345882
330.067,50,126.758771
295.1085,50,127.195447
286.136,50,127.630745
316.8875,50,128.082809
413.0525,50,128.571181
319.7915,50,129.001641
88.8,50,129.412062
282.853,50,129.838413
331.5965,50,130.465897
291.551,50,131.140276
236.4185,50,131.796215
73.6,50,132.439935
59.2,50,133.12942
72.8,50,133.786672
352.6625,50,134.459643
283.764,50,135.108705
269.9105,50,135.726269
160.165,50,136.378141
58.4,50,136.959178
295.02225,50,137.551708
267.6535,50,138.118947
365.516,50,138.721207
91.2,50,139.346837
300.4965,50,139.974982
79.2,50,140.631788
382.781,50,141.362891
72.8,50,142.084765
378.62675,50,142.852802
344.862,50,143.348263
88.8,50,143.84884
318.877,50,144.347758
292.2705,50,144.853914
275.6965,50,145.314399
207.966,50,145.773288
285.8595,50,146.228891
259.061,50,146.690383
255.104,50,147.119488
377.2065,50,147.572824
291.035,50,148.027063
76.0,50,148.63281
84.8,50,149.283117
359.058,50,149.928146
