#{"t_start": 1678046109.0211682, "env_id": "gym_cell/cg-v0"}
r,l,t
287.1835,50,2.33864
238.92275,50,2.639563
269.3925,50,2.964608
75.2,50,3.307776
228.754,50,3.635904
285.41075,50,3.992603
84.8,50,4.290262
248.4885,50,4.607635
260.7935,50,4.889184
91.2,50,5.202171
273.9095,50,5.482868
88.8,50,5.816593
80.0,50,6.121988
284.263,50,6.443608
145.217,50,6.72905
57.6,50,7.008484
56.0,50,7.299818
70.4,50,7.579036
91.2,50,7.895782
287.415,50,8.196767
-100.0,50,10.360001
-100.0,50,10.648367
-100.0,50,10.933734
-100.0,50,11.227134
-100.0,50,11.518425
-100.0,50,11.810119
-100.0,50,12.102548
-100.0,50,12.395405
-100.0,50,12.688483
-100.0,50,12.98099
-100.0,50,13.278939
239.15975,50,13.590501
362.7765,50,13.926176
70.4,50,14.240905
51.2,50,14.546017
82.4,50,14.832941
51.2,50,15.160048
290.26925,50,15.498321
72.0,50,15.856074
60.0,50,16.174149
84.0,50,16.496629
280.518,50,16.834596
112.68975,50,17.124274
65.6,50,17.414734
323.6875,50,17.76088
277.489,50,18.101532
80.8,50,18.398566
283.461,50,18.694162
325.7695,50,19.041975
239.949,50,19.319791
68.0,50,19.61481
-100.0,50,19.919943
-100.0,50,20.223928
-100.0,50,20.516204
-100.0,50,20.805856
-100.0,50,21.095956
-100.0,50,21.383895
-100.0,50,21.677281
-100.0,50,21.963997
-100.0,50,22.251305
-100.0,50,22.537344
-100.0,50,22.820404
37.6,50,23.077196
247.424,50,23.386237
76.0,50,23.687714
285.899,50,23.977019
246.621,50,24.232265
30.4,50,24.530503
323.785,50,24.837892
349.99,50,25.148902
157.3715,50,25.445971
292.172,50,25.777005
86.4,50,26.099892
479.74625,50,26.428282
301.442,50,26.728084
69.6,50,27.064614
83.2,50,27.342964
300.32225,50,27.633988
79.2,50,27.923193
330.0275,50,28.239194
86.4,50,28.532046
81.6,50,28.883647
-100.0,50,29.174891
-100.0,50,29.458618
-100.0,50,29.743227
-100.0,50,30.027036
-100.0,50,30.310899
-100.0,50,30.595264
