#{"t_start": 1678046212.7750468, "env_id": "gym_cell/cg-v0"}
r,l,t
60.8,50,4.924951
76.8,50,5.444159
76.0,50,6.00762
244.772,50,6.515174
60.0,50,7.003152
80.0,50,7.550732
80.0,50,8.066366
247.3195,50,8.561786
133.9735,50,9.044614
76.0,50,9.61308
277.526,50,10.181792
74.4,50,10.735213
247.726,50,11.302275
84.0,50,11.878196
88.0,50,12.455092
263.048,50,13.002816
76.8,50,13.558674
351.61475,50,14.125435
79.2,50,14.641947
235.596,50,15.195101
-100.0,50,15.564086
-100.0,50,15.932207
-100.0,50,16.302022
-100.0,50,16.676267
-100.0,50,17.04837
-100.0,50,17.444629
-100.0,50,17.834121
-100.0,50,18.228761
-100.0,50,18.618847
-100.0,50,19.020439
-100.0,50,19.428335
295.21,50,20.083507
79.2,50,20.703666
271.97025,50,21.280332
54.4,50,21.838587
263.56575,50,22.405179
263.291,50,22.947563
266.3735,50,23.43382
80.8,50,23.92477
80.8,50,24.442399
303.3975,50,24.953601
328.09675,50,25.46481
252.8345,50,25.998716
84.0,50,26.583847
304.16725,50,27.135298
338.3905,50,27.709547
269.05,50,28.224981
65.6,50,28.697115
269.8235,50,29.203888
242.484,50,29.732805
76.0,50,30.268846
-100.0,50,30.653445
-100.0,50,31.033837
-100.0,50,31.411091
-100.0,50,31.794113
-100.0,50,32.174217
-100.0,50,32.558955
-100.0,50,32.944193
-100.0,50,33.325938
-100.0,50,33.702554
-100.0,50,34.086188
-100.0,50,34.460309
27.2,50,39.203619
307.4425,50,39.734674
252.7335,50,40.286061
72.8,50,40.81773
278.4605,50,41.375009
69.6,50,41.990901
260.1525,50,42.608405
80.8,50,43.226756
75.2,50,43.804929
80.8,50,44.398889
237.331,50,44.952468
82.4,50,45.547854
149.16325,50,46.111113
318.4025,50,46.64143
266.5995,50,47.156647
222.727,50,47.670038
76.8,50,48.242456
334.019,50,48.763333
273.2145,50,49.339796
364.8415,50,49.972066
36.0,50,50.397366
60.0,50,50.815384
40.0,50,51.241154
60.0,50,51.67343
40.0,50,52.106903
72.0,50,52.542253
80.0,50,52.987981
36.0,50,53.400128
-100.0,50,53.775395
84.0,50,54.176823
-52.0,50,54.548292
270.788,50,55.146206
89.6,50,55.636283
17.6,50,56.093831
289.984,50,56.565511
246.006,50,57.040831
38.4,50,57.543889
310.305,50,58.053183
319.5405,50,58.583642
163.64025,50,59.137438
73.6,50,59.627712
370.448,50,60.18188
298.9885,50,60.694064
184.03875,50,61.1845
240.5635,50,61.708987
234.236,50,62.25374
76.0,50,62.738289
83.2,50,63.257161
283.70375,50,63.766906
93.6,50,64.238408
335.49675,50,64.751626
-24.0,50,65.125573
68.0,50,65.519531
88.0,50,65.913594
-100.0,50,66.277497
-4.0,50,66.65381
-100.0,50,67.017903
88.0,50,67.418545
60.0,50,67.804281
-100.0,50,68.180766
68.0,50,68.590651
64.0,50,68.99172
248.7185,50,69.579067
207.186,50,74.578417
254.481,50,75.081698
93.6,50,75.608666
294.65,50,76.117424
314.81525,50,76.667995
267.2365,50,77.229253
267.4835,50,77.77677
361.0355,50,78.383876
79.2,50,78.927409
251.5585,50,79.496185
79.2,50,80.023297
276.303,50,80.585318
212.992,50,81.142548
250.447,50,81.726715
275.689,50,82.310118
80.8,50,82.873618
266.0585,50,83.443756
245.2015,50,84.054138
86.4,50,84.603781
-100.0,50,84.974609
-100.0,50,85.352072
-100.0,50,85.730552
-100.0,50,86.103341
-100.0,50,86.484691
-100.0,50,86.881142
-100.0,50,87.270992
-100.0,50,87.673644
-100.0,50,88.084154
-100.0,50,88.498677
-100.0,50,88.908189
74.4,50,89.522077
250.875,50,90.078876
299.1145,50,90.677016
233.9055,50,91.23256
261.7485,50,91.73707
235.853,50,92.269255
326.677,50,92.8348
250.5865,50,93.323918
260.378,50,93.81944
263.756,50,94.293725
277.72825,50,94.816757
147.00525,50,95.33191
277.2455,50,95.829905
264.328,50,96.366975
54.4,50,96.84394
322.484,50,97.422808
64.8,50,97.982842
78.4,50,98.510727
234.3085,50,99.056764
265.343,50,99.61856
-100.0,50,100.001487
-100.0,50,100.372963
-100.0,50,100.734688
-100.0,50,101.092299
-56.0,50,101.455894
-64.0,50,101.81918
96.0,50,102.202416
291.88975,50,102.618918
96.0,50,102.983326
-100.0,50,103.342643
-100.0,50,103.698076
161.56,50,104.203593
24.0,50,104.662942
87.2,50,109.804445
307.1665,50,110.417958
266.7065,50,110.989597
284.6705,50,111.59063
287.016,50,112.151843
320.225,50,112.666898
80.0,50,113.203884
323.2395,50,113.72431
86.4,50,114.301767
270.867,50,114.850033
274.882,50,115.371405
301.866,50,115.930179
80.8,50,116.510767
64.8,50,117.078029
296.925,50,117.612701
93.6,50,118.203575
331.4385,50,118.788708
278.485,50,119.297685
-100.0,50,119.676252
-100.0,50,120.044104
-100.0,50,120.410591
-100.0,50,120.778948
-100.0,50,121.147619
