#{"t_start": 1678041389.5154774, "env_id": "gym_cell/cg-v0"}
r,l,t
60.8,50,2.869727
88.8,50,3.201791
298.655,50,3.548242
349.3165,50,3.894475
72.0,50,4.24172
64.8,50,4.588553
82.4,50,4.929344
79.2,50,5.229614
-11.2,50,5.492768
258.15125,50,5.831791
309.6695,50,6.147812
74.4,50,6.47132
297.0285,50,6.788222
88.8,50,7.106258
254.7745,50,7.456429
283.2785,50,7.774645
262.026,50,8.1004
308.5355,50,8.42891
321.833,50,8.771013
78.4,50,9.075107
-56.0,50,9.34275
-56.0,50,9.611526
-65.6,50,9.875254
-48.0,50,10.133752
-56.0,50,10.394215
-39.2,50,10.677429
-53.6,50,10.931721
-40.8,50,11.208803
-61.6,50,11.468786
-55.2,50,11.725299
-45.6,50,11.986234
241.762,50,12.347732
81.6,50,12.708352
375.315,50,13.055292
65.6,50,13.406451
303.5515,50,13.777325
256.9615,50,14.140817
83.2,50,14.488179
277.736,50,14.831208
240.6225,50,15.157823
89.6,50,15.481768
247.197,50,15.813034
290.44775,50,16.125979
362.3155,50,16.449459
86.4,50,16.768047
284.8035,50,17.110811
268.502,50,17.415265
233.93025,50,17.718152
325.3735,50,18.038021
305.7275,50,18.348905
82.4,50,18.700371
-47.2,50,18.96045
-33.6,50,19.233574
-53.6,50,19.511754
-36.0,50,19.783372
-48.0,50,20.047239
-56.0,50,20.313018
-52.0,50,20.568516
-52.8,50,20.819098
-28.8,50,21.078862
-39.2,50,21.347144
-26.4,50,21.61228
22.4,50,23.020572
219.404,50,23.309331
232.366,50,23.603451
310.93,50,23.913156
306.872,50,24.215874
281.7065,50,24.52312
89.6,50,24.817674
147.63125,50,25.09694
86.4,50,25.394927
371.984,50,25.723997
335.303,50,26.090819
319.7525,50,26.462294
81.6,50,26.783427
279.28675,50,27.142711
276.9165,50,27.438153
282.2265,50,27.759187
260.7565,50,28.094193
279.22325,50,28.402972
301.824,50,28.706407
238.613,50,29.042855
253.7945,50,29.350309
75.2,50,29.625847
79.2,50,29.909991
275.4205,50,30.208758
80.0,50,30.474391
82.4,50,30.766507
268.0095,50,31.084461
256.9645,50,31.398892
284.8855,50,31.709392
242.9725,50,32.005231
87.2,50,32.308125
263.9995,50,32.664533
67.2,50,32.958776
283.11075,50,33.24849
289.99425,50,33.547219
245.1515,50,33.843969
93.6,50,34.140481
294.827,50,34.431655
290.1025,50,34.751875
299.76125,50,35.078539
280.9885,50,35.377989
266.705,50,35.690885
56.0,50,35.971425
164.895,50,36.244877
77.6,50,36.523547
80.8,50,36.878145
267.066,50,37.180593
76.0,50,37.489061
84.8,50,37.774976
86.4,50,38.088433
329.267,50,38.409604
271.6435,50,38.725271
288.583,50,39.01432
281.6605,50,39.323953
260.5685,50,39.602632
78.4,50,39.886091
286.1415,50,40.180692
31.2,50,40.437631
393.9915,50,40.762308
71.2,50,41.040471
76.0,50,41.316767
74.4,50,41.585322
320.604,50,41.919512
213.668,50,43.306987
270.6825,50,43.608184
309.993,50,43.929863
303.5265,50,44.229169
262.686,50,44.542098
387.01,50,44.877741
258.3215,50,45.189214
240.7605,50,45.504041
311.4735,50,45.819217
289.6755,50,46.119251
332.9705,50,46.443788
91.2,50,46.73147
31.2,50,47.053718
249.265,50,47.379134
74.4,50,47.718483
263.836,50,48.071424
277.8245,50,48.375775
365.923,50,48.687951
80.8,50,49.026599
84.0,50,49.293396
89.6,50,49.555396
89.6,50,49.817992
369.57,50,50.129656
92.0,50,50.391752
92.0,50,50.671563
92.0,50,50.955086
63.2,50,51.22413
92.0,50,51.509859
84.0,50,51.776619
92.0,50,52.035736
84.8,50,52.345658
326.6235,50,52.665021
281.47075,50,52.996731
214.0775,50,53.282316
277.62125,50,53.59271
74.4,50,53.899673
65.6,50,54.22662
280.7955,50,54.530265
274.37075,50,54.83076
291.45525,50,55.156016
286.5755,50,55.484339
68.8,50,55.805415
243.425,50,56.122366
247.8015,50,56.426642
295.52975,50,56.742981
88.8,50,57.062325
301.176,50,57.400343
273.5655,50,57.733035
82.4,50,58.059627
357.783,50,58.39434
267.116,50,58.677599
68.0,50,58.953562
347.3135,50,59.257502
303.447,50,59.551831
76.0,50,59.838217
275.752,50,60.126024
255.0435,50,60.407603
89.6,50,60.691113
288.033,50,60.982717
92.0,50,61.256882
92.0,50,61.525566
80.8,50,61.86251
225.4565,50,62.185893
260.75925,50,63.670733
65.6,50,63.943606
279.29,50,64.268742
249.7985,50,64.55831
72.8,50,64.869107
265.4855,50,65.190775
84.8,50,65.527483
86.4,50,65.87895
257.292,50,66.258675
246.25475,50,66.542558
71.2,50,66.82451
85.6,50,67.117146
348.32875,50,67.419323
283.461,50,67.720687
247.6675,50,68.011556
238.78975,50,68.322069
69.6,50,68.620019
346.077,50,68.971293
92.0,50,69.235035
249.881,50,69.513809
92.0,50,69.773129
92.0,50,70.034105
92.0,50,70.298165
84.0,50,70.570906
84.0,50,70.830404
92.0,50,71.076925
92.0,50,71.344617
68.0,50,71.623763
259.5705,50,71.90286
276.9195,50,72.208655
291.587,50,72.511564
257.612,50,72.799235
284.1825,50,73.12388
265.6895,50,73.398856
76.0,50,73.710833
325.7545,50,74.028846
61.6,50,74.318213
369.565,50,74.638567
75.2,50,74.966218
357.2625,50,75.289624
72.0,50,75.606249
289.343,50,75.902712
277.276,50,76.252723
180.75925,50,76.56343
89.6,50,76.87026
275.2415,50,77.198694
