#{"t_start": 1678042604.3972986, "env_id": "gym_cell/cg-v0"}
r,l,t
-22.7,400,3.974952
6.2,400,5.542469
-70.8,400,7.412794
-76.2,400,8.540194
-70.0,400,9.650998
-79.4,400,10.756531
-77.9,400,11.836365
-73.2,400,12.932339
-82.4,400,14.026585
-79.6,400,15.151798
-72.2,400,16.277802
-79.8,400,17.402124
-79.7,400,18.517649
-54.0,400,19.768167
277.6135,400,21.014007
-76.4,400,22.676268
-61.7,400,23.672525
-78.6,400,24.78256
-70.6,400,25.828312
-75.8,400,26.944789
-73.2,400,28.052456
-65.8,400,29.25611
-78.7,400,30.428899
-65.1,400,31.540648
-80.8,400,32.627588
-75.0,400,33.74025
-37.7,400,35.315029
-42.1,400,36.638607
-42.6,400,37.89101
-60.6,400,38.565112
9.0,400,39.281598
-7.0,400,39.991154
-23.2,400,40.669519
-38.7,400,41.303481
0.8,400,42.002548
-42.0,400,42.637274
78.2,400,43.372525
56.4,400,44.089856
48.8,400,44.848926
-21.3,400,46.099899
92.6,400,47.400094
242.061,400,48.72602
88.7,400,49.399925
65.3,400,50.044103
82.2,400,50.659927
7.6,400,51.318084
84.6,400,51.933463
69.6,400,52.638909
286.585,400,53.43087
48.6,400,54.123589
45.1,400,54.810124
84.0,400,55.46245
14.7,400,56.770416
-12.1,400,58.075802
-83.6,400,59.831574
-68.7,400,60.878093
-7.2,400,61.513298
-77.8,400,62.612726
-76.0,400,63.727273
-79.8,400,64.840687
-85.1,400,65.963811
-79.8,400,66.884684
-80.5,400,67.771406
-78.0,400,68.887484
-13.6,400,69.68869
-69.4,400,71.014753
-40.1,400,72.225332
92.8,400,73.577178
16.5,400,74.297405
89.1,400,74.992972
92.7,400,75.700182
63.6,400,76.419657
97.4,400,77.07304
88.8,400,77.85559
86.3,400,78.627552
66.2,400,79.326878
89.2,400,80.002154
89.7,400,80.686264
82.3,400,81.940016
-55.1,400,83.172823
34.9,400,84.535779
97.8,400,85.217757
54.5,400,85.923615
-63.8,400,86.596436
89.5,400,87.298291
91.1,400,87.984411
95.7,400,88.68659
55.1,400,89.349236
-35.2,400,89.981953
-52.3,400,90.640793
-3.6,400,91.316634
-43.5,400,92.571136
93.3,400,93.839347
35.0,400,95.130429
95.8,400,95.817195
68.1,400,96.45615
92.9,400,97.132622
18.5,400,97.778418
41.4,400,98.430773
259.0695,400,99.070786
242.678,400,99.672585
2.2,400,100.303535
52.5,400,100.963443
-8.5,400,101.659192
86.5,400,103.334572
69.8,400,104.76026
19.0,400,106.29586
87.4,400,106.985192
23.5,400,107.591968
-15.0,400,108.215592
55.1,400,108.814358
-32.3,400,109.389702
357.9065,400,110.026913
-32.8,400,110.648477
95.0,400,111.296002
80.2,400,112.014533
-100.0,400,112.663817
-47.7,400,113.92038
27.4,400,115.218552
-1.4,400,116.501957
74.9,400,117.153408
219.7095,400,117.742846
372.4285,400,118.41327
-100.0,400,119.02676
6.8,400,119.625699
42.5,400,120.253793
318.4015,400,120.905316
-4.6,400,121.577523
-16.0,400,122.220954
-38.0,400,122.857671
96.5,400,124.12787
81.7,400,125.411804
68.0,400,126.61805
-100.0,400,127.275183
47.7,400,128.031931
-100.0,400,128.709073
-100.0,400,129.306179
-17.3,400,129.900969
-100.0,400,130.52045
-100.0,400,131.137961
74.8,400,131.833601
-100.0,400,132.462281
61.0,400,133.101853
90.5,400,134.281822
16.4,400,135.513505
-31.6,400,136.747804
