#{"t_start": 1678042560.292459, "env_id": "gym_cell/cg-v0"}
r,l,t
285.636,400,2.331988
285.4895,400,2.80695
-81.8,400,4.53245
-77.6,400,5.312972
-82.6,400,5.915242
-82.2,400,6.743751
-50.4,400,7.253588
-75.6,400,8.09029
-70.7,400,8.643405
-78.0,400,9.569183
-76.8,400,10.396077
-79.3,400,11.018596
-76.3,400,11.949568
86.0,400,12.441265
344.8685,400,12.883229
-70.9,400,13.655555
-64.8,400,14.380532
-80.5,400,15.375597
-77.7,400,16.130939
-82.8,400,16.936571
-75.0,400,17.842217
-83.3,400,18.624881
-75.2,400,19.258913
-79.4,400,19.833264
-80.2,400,20.543986
-78.8,400,21.401637
332.946,400,21.8724
96.5,400,22.344299
-70.8,400,23.073061
-80.0,400,23.720607
-82.0,400,24.354703
-60.7,400,24.950546
-65.1,400,25.693188
-58.1,400,26.281155
-80.7,400,26.989097
-76.4,400,27.680354
-73.0,400,28.46168
-79.7,400,29.055292
-79.8,400,30.049776
97.9,400,30.550985
366.5815,400,30.99775
-63.0,400,31.893897
-78.6,400,32.528298
-83.7,400,33.341064
-77.7,400,34.076914
-81.0,400,34.612425
-81.2,400,35.310724
-81.5,400,35.876241
-71.7,400,36.692614
-60.5,400,37.272266
-77.8,400,37.819567
-74.0,400,38.488099
96.9,400,38.947208
86.4,400,39.378951
-75.9,400,40.260199
-77.4,400,40.809629
-77.8,400,41.415287
-85.0,400,42.016606
-74.9,400,42.682814
-79.1,400,43.258677
-73.4,400,43.896357
-74.7,400,44.772593
-80.8,400,45.373807
-79.3,400,45.971895
-80.9,400,46.816674
365.454,400,47.306224
84.9,400,47.764878
-74.0,400,48.756872
-84.2,400,49.51864
-62.7,400,50.154514
-84.1,400,50.734792
-75.8,400,51.417904
-79.8,400,51.992894
-49.5,400,52.524179
-56.3,400,53.13732
-77.6,400,53.688155
-60.5,400,54.271761
-63.1,400,54.814524
95.2,400,55.284541
269.012,400,55.751835
