#{"t_start": 1678042776.7422516, "env_id": "gym_cell/cg-v0"}
r,l,t
93.6,400,4.234706
93.4,400,5.255504
89.3,400,6.693052
-49.9,400,7.489148
-16.1,400,8.220438
51.8,400,8.975771
4.5,400,9.727254
27.8,400,10.477721
-24.6,400,11.213255
33.4,400,11.956722
18.6,400,12.768553
11.5,400,13.563183
-47.8,400,14.341836
94.8,400,15.413807
285.456,400,16.430855
19.6,400,17.706178
56.4,400,18.467729
-9.2,400,19.216481
-38.4,400,19.938158
71.2,400,20.734954
92.6,400,21.499961
-43.5,400,22.240935
-76.8,400,23.469164
25.4,400,24.169708
-66.8,400,25.049572
29.6,400,25.751062
330.7715,400,28.862124
289.89,400,29.949788
-4.3,400,31.254526
61.3,400,31.980226
86.8,400,32.760028
-7.5,400,33.495125
90.8,400,34.213592
76.8,400,34.936773
95.4,400,35.662293
96.7,400,36.565497
29.4,400,37.441533
89.9,400,38.344718
77.3,400,39.245254
302.9365,400,40.590916
96.5,400,41.711462
90.8,400,42.996763
88.7,400,43.733831
331.5645,400,44.465167
94.1,400,45.206998
41.0,400,45.915463
96.6,400,46.609286
94.7,400,47.322662
59.7,400,48.074828
93.5,400,48.914841
54.8,400,49.684674
-39.9,400,50.44404
326.552,400,53.603534
338.092,400,54.632279
0.2,400,55.87051
84.8,400,56.60389
77.6,400,57.345195
282.64575,400,58.094936
273.2195,400,58.886743
96.5,400,59.628643
59.6,400,60.403839
-31.3,400,61.145002
91.9,400,61.976002
91.3,400,62.813623
89.1,400,63.687703
295.027,400,64.856207
261.66825,400,65.927601
84.2,400,67.137211
74.4,400,67.860763
13.8,400,68.593346
87.7,400,69.330944
78.6,400,70.034962
90.9,400,70.825316
93.7,400,71.510667
291.794,400,72.254018
89.1,400,73.036708
91.3,400,73.810929
14.0,400,74.695289
277.3475,400,77.885665
275.934,400,78.943028
93.6,400,80.162687
84.6,400,80.850943
91.8,400,81.617736
94.9,400,82.378464
90.5,400,83.133534
58.8,400,83.898009
253.83425,400,84.63842
95.2,400,85.383031
91.5,400,86.12865
-10.2,400,86.867815
91.6,400,87.557155
353.461,400,88.567975
84.4,400,89.770523
89.6,400,91.188463
302.0045,400,91.926223
311.989,400,92.65969
-32.5,400,93.419753
84.7,400,94.192567
-70.7,400,94.936751
-76.1,400,95.682504
84.8,400,96.454416
88.4,400,97.177887
88.2,400,97.931112
4.4,400,98.624777
90.6,400,101.43439
95.1,400,102.545308
87.9,400,103.844872
88.3,400,104.638046
95.0,400,105.397968
1.0,400,106.135347
88.6,400,106.884841
34.4,400,107.634959
95.7,400,108.360119
-18.5,400,109.080901
77.2,400,109.795259
89.9,400,110.488589
93.6,400,111.327444
95.5,400,112.709714
320.6315,400,113.823224
-22.4,400,115.056189
91.2,400,115.849412
94.7,400,116.642659
94.7,400,117.416399
-15.2,400,118.102245
14.7,400,118.875685
68.0,400,119.626436
35.4,400,120.407638
91.5,400,121.176855
315.8835,400,121.948513
81.8,400,122.673738
286.6365,400,125.785017
80.5,400,126.807499
85.7,400,128.035429
70.1,400,128.754728
90.6,400,129.476339
93.6,400,130.206686
6.0,400,130.988459
71.8,400,131.744117
-47.7,400,132.485842
93.2,400,133.261659
13.4,400,134.04004
-24.1,400,134.778016
-28.7,400,135.547674
322.6875,400,136.546907
301.5505,400,137.54761
