#{"t_start": 1677817233.2604933, "env_id": "gym_cell/cg-v0"}
r,l,t
513.9975,50,3.245137
682.137,50,3.815187
420.75225,50,4.389406
681.7245,50,4.947171
568.2185,50,5.51626
505.208,50,6.085585
578.027,50,6.651982
502.8905,50,7.193224
427.439,50,7.759517
426.0285,50,8.286914
566.6865,50,8.873294
484.2685,50,9.436784
560.916,50,10.013036
651.1525,50,10.645845
547.405,50,11.197863
505.9465,50,11.747175
466.207,50,12.31862
399.3995,50,12.878368
276.504,50,13.389541
402.587,50,13.951225
764.72,50,14.518061
628.0755,50,15.103163
494.5065,50,15.63291
527.52,50,16.167764
484.2925,50,16.699281
556.472,50,17.242079
528.0005,50,17.798351
655.9215,50,18.385624
619.577,50,18.938616
542.9805,50,19.445692
799.1435,50,20.005216
490.8165,50,20.57201
571.289,50,21.124882
439.66175,50,21.719359
550.818,50,22.320219
503.5225,50,22.914424
420.11975,50,23.469032
655.751,50,24.067944
695.624,50,24.644227
579.6495,50,25.23328
351.38425,50,25.729925
763.961,50,26.340127
473.6755,50,26.91087
762.054,50,27.469601
565.7105,50,28.035734
512.601,50,28.599663
464.8,50,29.169184
703.034,50,29.744983
506.95825,50,30.28633
423.86525,50,30.835556
537.0375,50,31.390433
644.9075,50,31.952264
581.624,50,32.496034
633.446,50,33.058478
508.7955,50,33.560202
546.9795,50,34.100763
532.976,50,34.633868
667.944,50,35.214758
496.127,50,35.746694
570.942,50,36.268449
739.703,50,36.833109
593.997,50,37.355036
436.9115,50,39.349089
589.549,50,39.928116
751.0685,50,40.509214
488.565,50,41.057618
417.90475,50,41.603927
595.2075,50,42.14675
568.764,50,42.747239
498.624,50,43.301514
446.2765,50,43.886082
504.41,50,44.467638
689.183,50,45.074982
553.228,50,45.652574
453.3665,50,46.193607
409.918,50,46.714117
626.634,50,47.249935
554.083,50,47.81818
646.448,50,48.393145
644.6575,50,48.969197
389.75725,50,49.520772
431.9355,50,50.09602
495.094,50,50.588484
439.87825,50,51.166864
472.539,50,51.715812
579.5895,50,52.250832
459.1495,50,52.812434
492.296,50,53.355073
365.8155,50,53.84423
