#{"t_start": 1677880941.033894, "env_id": "gym_cell/cg-v0"}
r,l,t
56.0,50,3.115815
153.565,50,3.585897
64.8,50,4.153776
64.0,50,4.595355
44.0,50,5.16893
148.99,50,5.67314
70.4,50,6.174022
151.47,50,6.644183
32.8,50,6.981696
50.4,50,7.480201
52.8,50,7.919123
68.0,50,8.346908
60.0,50,8.78485
240.83,50,9.238279
56.0,50,9.735432
52.8,50,10.166272
58.4,50,10.690622
74.4,50,11.146206
57.6,50,11.615865
59.2,50,12.148148
-60.0,50,12.45836
-24.8,50,12.792599
-47.2,50,13.12358
-52.0,50,13.437021
-32.8,50,13.790499
-40.8,50,14.107174
-47.2,50,14.431513
-50.4,50,14.752878
-47.2,50,15.069856
-42.4,50,15.373158
-28.8,50,15.724112
60.8,50,16.297927
38.4,50,16.882282
54.4,50,17.454537
47.2,50,18.085059
52.8,50,18.659236
72.0,50,19.178445
16.8,50,19.506863
51.2,50,19.956702
36.8,50,20.441996
66.4,50,20.978552
62.4,50,21.545538
28.8,50,21.980634
72.0,50,22.547479
65.6,50,23.00866
72.0,50,23.545413
52.8,50,23.981401
31.2,50,24.361483
240.325,50,24.804327
220.385,50,25.388248
157.1625,50,25.953937
-41.6,50,26.283387
-30.4,50,26.582751
-39.2,50,26.909461
-40.0,50,27.268976
-40.8,50,27.587281
-34.4,50,27.92417
-48.8,50,28.257495
-25.6,50,28.564412
-52.0,50,28.871346
-56.0,50,29.182619
-20.0,50,29.496168
8.0,50,31.13332
69.6,50,31.602869
70.4,50,32.164505
140.985,50,32.655981
66.4,50,33.219548
233.9625,50,33.80538
68.8,50,34.250682
49.6,50,34.733416
63.2,50,35.173689
36.0,50,35.536231
60.0,50,36.155792
54.4,50,36.723074
67.2,50,37.211269
263.5175,50,37.741793
60.8,50,38.333689
38.4,50,38.866506
220.32,50,39.396903
60.8,50,39.965871
65.6,50,40.418807
60.0,50,40.911686
-53.6,50,41.229156
-34.4,50,41.53662
-38.4,50,41.839118
