#{"t_start": 1677817026.6721177, "env_id": "gym_cell/cg-v0"}
r,l,t
367.112375,50,3.019153
415.544875,50,3.376816
523.742375,50,3.778019
408.725875,50,4.138601
386.366,50,4.489463
427.41975,50,4.84045
382.898875,50,5.186244
502.817125,50,5.56263
459.683875,50,5.927885
395.0595,50,6.278573
499.564375,50,6.663821
388.702,50,7.006124
444.341,50,7.378291
324.2795,50,7.725126
396.800625,50,8.063432
446.414125,50,8.421449
382.793438,50,8.774048
364.782375,50,9.106431
433.932,50,9.463785
452.92425,50,9.831327
370.45625,50,10.156912
387.71325,50,10.497421
348.28125,50,10.83107
485.98675,50,11.190798
526.766125,50,11.568906
451.67425,50,11.920681
421.262625,50,12.261256
406.673,50,12.596831
390.299625,50,12.926196
391.488375,50,13.251902
344.687625,50,13.562464
430.915,50,13.949252
410.9635,50,14.331318
384.73625,50,14.697081
543.791375,50,15.113234
452.3545,50,15.489289
408.945375,50,15.851451
501.6475,50,16.225454
353.740375,50,16.562669
425.5415,50,16.932688
373.80075,50,17.258426
398.8735,50,17.621209
426.858,50,17.98937
480.044,50,18.374836
453.156,50,18.738961
388.56725,50,19.093583
376.46425,50,19.449399
383.517,50,19.795184
370.156,50,20.140177
359.98375,50,20.475853
408.299375,50,20.827335
431.388125,50,21.180639
431.417375,50,21.530203
387.66025,50,21.866823
363.93375,50,22.192474
484.036625,50,22.555528
487.676875,50,22.920019
350.1715,50,23.239291
428.484,50,23.581956
332.285,50,23.902562
377.07475,50,24.231232
369.922625,50,24.553573
420.51825,50,26.959698
425.633375,50,27.319448
416.338,50,27.673924
430.059375,50,28.026402
388.50825,50,28.374869
428.7195,50,28.740281
504.82875,50,29.139664
388.59675,50,29.494359
507.450125,50,29.881341
509.629125,50,30.262881
414.63875,50,30.622564
423.951,50,30.978235
469.4285,50,31.39623
463.62275,50,31.805192
434.797625,50,32.196461
384.9585,50,32.538015
428.761,50,32.888174
407.818125,50,33.241323
382.466125,50,33.584226
420.900375,50,33.93255
381.14575,50,34.251193
405.46925,50,34.590446
408.732313,50,34.92579
362.376125,50,35.259069
381.850875,50,35.593858
385.040125,50,35.920529
399.54325,50,36.2573
407.977125,50,36.582535
428.334,50,36.921342
431.22625,50,37.270834
451.82925,50,37.606212
386.1,50,37.953829
404.910625,50,38.301858
422.97325,50,38.651739
411.859375,50,39.00435
447.907875,50,39.378031
391.284938,50,39.730324
407.81525,50,40.071958
451.285125,50,40.420862
383.27375,50,40.76146
375.48525,50,41.091924
412.406625,50,41.438776
366.648375,50,41.760947
427.60575,50,42.122855
397.3485,50,42.465726
401.191,50,42.803581
404.507375,50,43.15222
381.51375,50,43.474637
390.121,50,43.828375
379.638625,50,44.164056
343.562125,50,44.498587
436.997625,50,44.844149
394.71875,50,45.172853
447.820875,50,45.528209
407.37675,50,45.863613
394.06675,50,46.191229
397.946125,50,46.520576
374.041625,50,46.854516
430.247875,50,47.200982
366.84825,50,47.523653
372.629,50,47.84902
378.732375,50,48.17266
452.481875,50,48.543425
370.642,50,51.078268
431.51625,50,51.43772
318.81825,50,51.760514
440.6465,50,52.108716
417.06425,50,52.464001
371.448875,50,52.795715
469.919,50,53.155944
468.011125,50,53.514322
346.8225,50,53.866177
420.633625,50,54.21471
448.093625,50,54.584671
432.595375,50,54.934345
483.587375,50,55.307645
431.9095,50,55.652156
426.658875,50,56.00236
437.1765,50,56.36149
425.08725,50,56.716477
428.365,50,57.075576
462.902875,50,57.46588
389.8505,50,57.803721
348.72875,50,58.138372
446.288,50,58.494134
388.605875,50,58.815255
402.538875,50,59.151216
461.265125,50,59.496567
493.893875,50,59.861137
408.488375,50,60.191329
426.306875,50,60.535635
373.622625,50,60.857017
408.15075,50,61.195311
372.103,50,61.528171
443.386625,50,61.901248
428.411875,50,62.258013
485.451625,50,62.649783
387.04075,50,62.992032
365.337125,50,63.34412
367.656125,50,63.689425
368.914438,50,64.045905
468.601875,50,64.418058
360.28875,50,64.77674
350.354,50,65.127735
473.25725,50,65.515086
463.9215,50,65.90644
423.417,50,66.289834
437.97475,50,66.64755
430.274375,50,67.021506
479.173,50,67.386169
388.833625,50,67.729929
349.636375,50,68.054566
399.885875,50,68.405062
439.58675,50,68.750983
403.661875,50,69.088853
403.82575,50,69.431257
432.333375,50,69.774343
435.79125,50,70.116893
389.235875,50,70.439169
432.824875,50,70.778642
443.36875,50,71.130152
364.167625,50,71.452435
413.2335,50,71.794951
408.476625,50,72.133477
408.2615,50,72.499466
447.5875,50,72.856389
370.6345,50,74.497287
388.368625,50,74.838393
386.84075,50,75.176
469.347125,50,75.530076
408.860625,50,75.875745
428.839375,50,76.225215
394.933375,50,76.560917
418.354875,50,76.9261
433.00825,50,77.27856
404.5585,50,77.626618
390.102375,50,77.964916
383.260375,50,78.29842
509.589125,50,78.670943
409.9065,50,79.019804
392.07275,50,79.358925
375.217875,50,79.69868
427.751375,50,80.060892
421.162625,50,80.421226
378.377,50,80.741208
374.35175,50,81.061738
470.221,50,81.416388
394.9115,50,81.745192
330.7105,50,82.053034
371.661375,50,82.383418
403.357375,50,82.707819
431.84775,50,83.05871
484.887875,50,83.412519
408.7585,50,83.738487
397.1495,50,84.074495
412.468125,50,84.433062
429.143125,50,84.795141
465.174375,50,85.173507
443.548375,50,85.567755
375.59,50,85.933786
548.103,50,86.323417
448.382125,50,86.67782
349.326313,50,87.01281
440.615125,50,87.363056
410.805,50,87.714036
430.215625,50,88.059072
304.54325,50,88.389367
393.288875,50,88.732058
382.48425,50,89.080818
427.101375,50,89.429022
448.767375,50,89.799059
435.381125,50,90.152108
367.932,50,90.489367
433.1025,50,90.846962
390.03525,50,91.189416
410.551375,50,91.523428
430.972875,50,91.877501
387.944,50,92.207963
371.974625,50,92.543884
392.588,50,92.873369
420.018875,50,93.221927
495.04325,50,93.580603
360.13925,50,93.907878
376.621875,50,94.221267
384.765625,50,94.543787
363.880625,50,94.871941
435.929125,50,95.235963
531.54525,50,95.634841
430.669125,50,95.985001
404.7445,50,97.657079
459.536125,50,98.006552
384.523625,50,98.346354
527.1945,50,98.730679
434.389875,50,99.101949
375.002188,50,99.469926
355.825813,50,99.844344
413.6755,50,100.210317
481.058125,50,100.580003
402.216,50,100.931605
471.153375,50,101.308389
451.33625,50,101.66083
401.455813,50,102.013485
444.0625,50,102.378384
412.275,50,102.727444
445.8075,50,103.101309
365.3095,50,103.471276
451.993,50,103.826836
444.530625,50,104.184196
466.33675,50,104.541505
423.41775,50,104.882731
470.289375,50,105.254152
385.405,50,105.57734
390.535375,50,105.90888
431.777125,50,106.259557
475.21775,50,106.610479
