#{"t_start": 1677880470.9108367, "env_id": "gym_cell/cg-v0"}
r,l,t
48.8,50,3.081594
59.2,50,3.586404
20.0,50,4.209307
36.0,50,4.697526
37.6,50,5.251108
71.2,50,5.75144
5.6,50,6.25162
58.4,50,6.750245
-13.6,50,7.043458
56.8,50,7.584495
54.4,50,8.058732
32.0,50,8.491362
72.0,50,8.907514
64.8,50,9.419091
29.6,50,10.007677
58.4,50,10.480212
51.2,50,10.998799
70.4,50,11.495122
55.2,50,11.967748
41.6,50,12.590826
-46.4,50,12.907354
-63.2,50,13.234946
-52.8,50,13.553609
-48.0,50,13.874955
-47.2,50,14.202458
-58.4,50,14.50236
-48.8,50,14.84755
-53.6,50,15.149997
-68.8,50,15.47138
-57.6,50,15.8092
-58.4,50,16.146417
34.4,50,16.767612
36.0,50,17.280162
56.0,50,17.766327
51.2,50,18.325752
50.4,50,18.876456
66.4,50,19.370422
29.6,50,19.810144
58.4,50,20.195374
52.8,50,20.721792
72.8,50,21.264779
13.6,50,21.870486
20.0,50,22.357141
58.4,50,22.951542
58.4,50,23.416813
70.4,50,23.901667
59.2,50,24.325988
46.4,50,24.707473
72.8,50,25.133827
49.6,50,25.685889
51.2,50,26.199409
-56.0,50,26.541068
-65.6,50,26.871486
-9.6,50,27.205323
-62.4,50,27.528224
-52.0,50,27.858798
-40.8,50,28.1677
-44.8,50,28.499377
-52.0,50,28.805855
-60.8,50,29.132616
-53.6,50,29.412308
-53.6,50,29.741811
32.8,50,31.347994
44.0,50,31.851901
70.4,50,32.378157
53.6,50,32.866226
64.8,50,33.422613
65.6,50,33.894226
63.2,50,34.367041
63.2,50,34.896359
51.2,50,35.299899
60.0,50,35.647398
57.6,50,36.19694
64.0,50,36.685825
11.2,50,37.311094
67.2,50,37.82776
58.4,50,38.38514
32.0,50,38.90916
24.0,50,39.432498
48.8,50,39.922383
68.8,50,40.36036
60.0,50,40.847096
64.0,50,41.410617
63.2,50,41.938359
57.6,50,42.477448
62.4,50,43.079602
38.4,50,43.58338
48.8,50,44.143763
54.4,50,44.630551
65.6,50,45.177103
60.8,50,45.700923
17.6,50,46.263649
68.0,50,46.747385
22.4,50,47.340528
62.4,50,47.896547
12.0,50,48.319677
33.6,50,48.772088
-3.2,50,49.199234
71.2,50,49.668056
61.6,50,50.165677
75.2,50,50.607057
52.8,50,51.153888
44.8,50,51.661168
65.6,50,52.118871
52.8,50,52.5173
64.0,50,53.047771
58.4,50,53.480918
-17.6,50,54.055545
52.0,50,54.540618
64.8,50,55.106871
62.4,50,55.661035
65.6,50,56.154824
59.2,50,56.655352
55.2,50,57.202973
40.0,50,57.762177
60.8,50,58.317561
28.8,50,58.852279
64.8,50,59.423287
51.2,50,59.957224
59.2,50,60.52941
61.6,50,61.089467
63.2,50,61.645066
47.2,50,62.250103
65.6,50,62.764304
16.0,50,63.330611
69.6,50,64.908554
70.4,50,65.443094
69.6,50,65.922631
79.2,50,66.28312
58.4,50,66.770275
56.8,50,67.325207
65.6,50,67.830744
43.2,50,68.190331
57.6,50,68.699346
62.4,50,69.231274
51.2,50,69.796875
69.6,50,70.181243
69.6,50,70.686831
74.4,50,71.177144
22.4,50,71.758955
34.4,50,72.341766
41.6,50,72.769815
64.8,50,73.300919
52.0,50,73.833291
61.6,50,74.361945
44.0,50,74.915296
60.8,50,75.469449
65.6,50,75.965169
68.0,50,76.48195
39.2,50,76.966296
45.6,50,77.478038
63.2,50,77.924002
64.8,50,78.409024
60.8,50,78.927782
72.0,50,79.370192
62.4,50,79.75745
45.6,50,80.241513
68.0,50,80.744631
42.4,50,81.266041
48.8,50,81.65348
34.4,50,82.243467
55.2,50,82.838366
15.2,50,83.175269
68.8,50,83.579196
60.0,50,84.009395
43.2,50,84.507096
58.4,50,85.045852
60.0,50,85.528972
69.6,50,86.050663
46.4,50,86.491644
66.4,50,86.941338
51.2,50,87.473567
36.8,50,88.004478
68.0,50,88.490738
0.0,50,89.058775
48.0,50,89.512435
66.4,50,90.005369
51.2,50,90.479019
65.6,50,90.974574
68.8,50,91.419589
68.0,50,91.980479
64.8,50,92.507102
60.8,50,93.027355
76.0,50,93.541258
63.2,50,94.021498
12.0,50,94.574455
50.4,50,95.029099
66.4,50,95.487603
60.8,50,97.089187
67.2,50,97.612358
32.8,50,98.134892
68.0,50,98.567036
56.0,50,99.012903
56.8,50,99.461649
61.6,50,100.011669
68.0,50,100.47319
67.2,50,100.988194
72.8,50,101.393006
64.8,50,101.878783
58.4,50,102.351193
64.0,50,102.932502
67.2,50,103.380111
70.4,50,103.835861
55.2,50,104.383899
52.8,50,104.902639
55.2,50,105.41915
66.4,50,105.88727
72.8,50,106.280755
60.8,50,106.749731
74.4,50,107.110983
61.6,50,107.588125
72.0,50,108.001673
72.0,50,108.401053
69.6,50,108.822946
16.8,50,109.130193
64.8,50,109.599199
52.0,50,110.079318
49.6,50,110.464227
67.2,50,110.905581
51.2,50,111.376736
