#{"t_start": 1677812153.2536392, "env_id": "gym_cell/cg-v0"}
r,l,t
340.2745,50,3.108013
287.58875,50,3.71986
296.69225,50,4.334193
417.1835,50,4.799509
648.856,50,5.43541
68.0,50,5.995463
407.95975,50,6.543565
643.8185,50,7.097339
283.6275,50,7.4661
473.275,50,7.979395
583.943,50,8.423763
155.31875,50,8.827606
381.393,50,9.228428
489.992,50,9.792259
296.20225,50,10.239395
808.05425,50,10.825432
322.219,50,11.334227
552.99375,50,11.861541
328.7265,50,12.419918
355.898,50,13.081525
-60.8,50,13.449519
-31.2,50,13.81802
-45.6,50,14.174606
-61.6,50,14.497354
-53.6,50,14.853318
-38.4,50,15.197176
-40.8,50,15.535025
-45.6,50,15.898469
-65.6,50,16.23909
-14.4,50,16.58024
-31.2,50,16.910358
400.455,50,17.563854
67.2,50,18.235741
895.4185,50,18.864191
329.495,50,19.453948
734.44675,50,20.136417
404.4675,50,20.68263
617.5365,50,21.156314
367.584,50,21.581433
314.9425,50,22.0882
400.83425,50,22.505367
337.1545,50,23.04239
567.15825,50,23.531211
606.76825,50,24.127978
485.61675,50,24.690897
852.1345,50,25.247422
466.112,50,25.740296
349.9855,50,26.121543
288.508,50,26.513925
417.518,50,27.1045
295.942,50,27.655468
-51.2,50,28.041485
-51.2,50,28.400028
-54.4,50,28.750062
-44.0,50,29.111896
-42.4,50,29.473664
-52.0,50,29.801298
-53.6,50,30.146527
-60.8,50,30.478376
-46.4,50,30.835097
-44.8,50,31.194364
-48.0,50,31.544399
327.5815,50,33.302087
561.3285,50,33.880169
542.8695,50,34.41437
618.7965,50,34.937581
474.544,50,35.363361
415.261,50,35.960837
435.23925,50,36.422011
362.723,50,36.879097
559.2075,50,37.299767
443.9145,50,37.763364
860.774,50,38.357445
440.2905,50,38.931607
509.53125,50,39.555095
642.2125,50,40.035341
608.214,50,40.511059
437.964,50,41.023537
558.3285,50,41.581556
551.4195,50,42.049832
433.8015,50,42.459921
793.3755,50,43.014578
-100.0,50,43.243256
-100.0,50,43.46579
-100.0,50,43.68967
-100.0,50,43.913768
-100.0,50,44.137156
-100.0,50,44.362729
-100.0,50,44.587137
-100.0,50,44.81124
-100.0,50,45.036401
-100.0,50,45.261903
-100.0,50,45.487253
414.6395,50,45.972405
487.0135,50,46.365192
700.10275,50,46.866864
165.96575,50,47.176461
337.812,50,47.520415
489.9335,50,47.969368
429.231,50,48.457505
443.7895,50,48.950548
648.417,50,49.492851
414.343,50,49.863264
611.9675,50,50.393038
342.41725,50,50.778063
593.094,50,51.201039
543.29625,50,51.673769
285.956,50,52.261303
185.0385,50,52.65632
434.781,50,53.081019
438.92025,50,53.556359
347.545,50,53.94799
323.23975,50,54.284493
-100.0,50,54.511407
-100.0,50,54.736303
-100.0,50,54.95904
-100.0,50,55.183611
-100.0,50,55.40627
-100.0,50,55.628101
-100.0,50,55.851534
-100.0,50,56.074637
