#{"t_start": 1677816125.8585162, "env_id": "gym_cell/cg-v0"}
r,l,t
736.8625,50,3.153937
947.3715,50,3.686344
826.9045,50,4.204246
672.7025,50,4.755127
812.879,50,5.272447
760.0495,50,5.835832
678.5445,50,6.395931
781.1285,50,6.95453
902.9815,50,7.515408
674.1965,50,8.094374
945.4745,50,8.655696
543.157,50,9.192713
660.798,50,9.735111
591.313,50,10.241986
742.1395,50,10.771157
785.2985,50,11.33207
791.662,50,11.890981
757.074,50,12.427269
615.2315,50,12.918891
783.081,50,13.480601
695.4145,50,13.982028
728.898,50,14.508633
764.552,50,15.008298
670.406,50,15.532116
782.098,50,16.054985
817.877,50,16.598305
877.711,50,17.145753
753.2835,50,17.688438
1039.1645,50,18.236553
595.9055,50,18.76211
533.217,50,19.266671
787.933,50,19.827458
887.5555,50,20.408416
954.621,50,20.949762
378.227,50,21.467809
779.32,50,22.03179
877.433,50,22.619088
697.6515,50,23.175358
688.533,50,23.746337
591.037,50,24.260374
746.013,50,24.796332
782.2645,50,25.349163
773.0405,50,25.933146
795.6005,50,26.49587
539.601,50,27.003992
950.1755,50,27.568293
926.4185,50,28.132116
677.8965,50,28.693489
735.743,50,29.211847
703.935,50,29.723665
717.136,50,30.245578
664.0775,50,30.763696
472.093,50,31.264461
447.42,50,31.796494
887.682,50,32.340245
675.9395,50,32.862152
573.497,50,33.410977
958.05,50,33.957099
584.927,50,34.432802
506.8235,50,34.955882
662.321,50,35.470437
901.6715,50,36.011174
526.179,50,38.396956
572.381,50,38.948919
660.353,50,39.501558
770.6845,50,40.028994
666.935,50,40.542851
973.282,50,41.096746
646.5585,50,41.655628
898.396,50,42.212941
735.5005,50,42.728718
431.7865,50,43.201202
877.8715,50,43.805717
951.708,50,44.378264
493.927,50,44.907931
715.359,50,45.443393
869.867,50,46.011068
1122.3765,50,46.586753
949.6035,50,47.170028
903.279,50,47.707542
957.6735,50,48.294652
596.365,50,48.83177
653.317,50,49.304714
594.7845,50,49.829815
512.6045,50,50.358653
576.3685,50,50.858843
715.4075,50,51.383027
524.9715,50,51.883152
871.357,50,52.428664
519.3355,50,52.925318
883.4825,50,53.428019
846.948,50,53.945015
598.956,50,54.466579
918.8155,50,55.002358
720.4925,50,55.582899
663.096,50,56.139478
615.242,50,56.681288
591.1785,50,57.214616
655.298,50,57.774331
1058.777,50,58.3974
623.983,50,58.934641
810.1835,50,59.443797
535.157,50,59.935784
833.286,50,60.472096
780.831,50,61.00509
867.9365,50,61.585025
806.568,50,62.119553
491.213,50,62.6309
517.7365,50,63.135161
606.1695,50,63.695958
912.61,50,64.210882
785.218,50,64.773456
752.162,50,65.2804
817.6385,50,65.824556
879.382,50,66.372419
864.134,50,66.894729
672.4175,50,67.421552
499.4705,50,67.921055
1041.619,50,68.471196
575.906,50,68.975375
730.0215,50,69.491109
730.656,50,70.016294
818.309,50,70.560073
662.2375,50,71.0795
799.4205,50,71.641512
892.084,50,73.506568
951.813,50,74.061463
770.834,50,74.591717
805.102,50,75.171577
731.9345,50,75.72841
790.0265,50,76.287832
721.783,50,76.860993
835.814,50,77.447753
512.2625,50,77.98337
880.677,50,78.541847
890.092,50,79.093716
827.062,50,79.652896
514.1195,50,80.167161
943.6905,50,80.731297
953.818,50,81.287057
827.033,50,81.836617
752.399,50,82.333449
649.0385,50,82.870266
440.051,50,83.432304
826.3385,50,84.005994
667.2045,50,84.529604
557.9575,50,85.072031
742.204,50,85.571706
598.349,50,86.063722
862.9715,50,86.630839
726.1625,50,87.121217
927.187,50,87.665222
745.331,50,88.209465
720.395,50,88.75767
644.463,50,89.295897
570.44,50,89.853579
646.845,50,90.43119
1019.761,50,91.008606
726.6895,50,91.565658
782.0775,50,92.131829
794.008,50,92.667485
713.812,50,93.200669
729.641,50,93.734928
674.6955,50,94.279637
886.293,50,94.839393
594.1945,50,95.368106
516.3115,50,95.883377
1030.0135,50,96.439648
510.723,50,96.99309
737.4915,50,97.50076
747.469,50,98.013502
525.1185,50,98.566686
750.5235,50,99.114164
735.516,50,99.645428
738.4525,50,100.183215
750.122,50,100.733155
588.9095,50,101.214595
729.5385,50,101.759715
680.517,50,102.229577
645.8375,50,102.705395
825.9825,50,103.224301
736.895,50,103.743252
744.2285,50,104.286318
679.851,50,104.783944
735.5755,50,105.345204
826.3805,50,105.869598
729.154,50,106.444871
695.3765,50,106.964236
1083.8745,50,108.824309
1005.351,50,109.403925
470.8815,50,109.909403
