#{"t_start": 1677888516.8870769, "env_id": "gym_cell/cg-v0"}
r,l,t
17.6,50,3.222833
-7.2,50,3.730556
29.6,50,4.280356
12.0,50,4.848566
25.6,50,5.407999
44.0,50,5.951827
44.8,50,6.484541
24.8,50,7.044649
16.0,50,7.574077
16.8,50,8.137192
37.6,50,8.680649
16.8,50,9.241555
44.0,50,9.766851
33.6,50,10.35361
0.0,50,10.936803
12.8,50,11.479156
36.8,50,12.039274
26.4,50,12.614648
16.8,50,13.15583
40.0,50,13.717134
32.8,50,14.234481
26.4,50,14.778809
27.2,50,15.320193
13.6,50,15.854173
9.6,50,16.401178
38.4,50,16.947131
40.0,50,17.467201
24.0,50,17.925577
24.0,50,18.450495
20.0,50,18.96542
18.4,50,19.486176
42.4,50,20.064408
12.0,50,20.597966
4.0,50,21.176758
10.4,50,21.69413
-2.4,50,22.202615
57.6,50,22.696458
32.0,50,23.262743
23.2,50,23.857143
7.2,50,24.432061
17.6,50,24.965547
36.0,50,25.534416
-4.8,50,26.003611
23.2,50,26.527338
22.4,50,27.135546
-20.0,50,27.647014
13.6,50,28.232905
40.8,50,28.724925
7.2,50,29.312338
36.0,50,29.857466
30.4,50,30.387023
11.2,50,30.917533
39.2,50,31.450506
16.8,50,31.945758
24.8,50,32.515036
29.6,50,33.036949
16.8,50,33.553582
-2.4,50,34.094794
-0.8,50,34.616555
11.2,50,35.159585
40.8,50,35.683824
43.2,50,36.178311
27.2,50,38.018841
8.0,50,38.522316
36.0,50,39.057025
32.8,50,39.530943
12.8,50,40.076978
14.4,50,40.613566
31.2,50,41.188738
26.4,50,41.733092
-15.2,50,42.285495
44.8,50,42.797515
5.6,50,43.349592
37.6,50,43.825543
64.0,50,44.320306
62.4,50,44.817513
8.8,50,45.356852
15.2,50,45.895683
27.2,50,46.409167
48.0,50,46.910353
47.2,50,47.400567
8.0,50,47.932845
23.2,50,48.438777
24.0,50,48.94285
3.2,50,49.503194
31.2,50,50.025485
-3.2,50,50.572717
-16.8,50,51.136617
17.6,50,51.637208
7.2,50,52.143706
8.8,50,52.650878
-13.6,50,53.200646
-5.6,50,53.749931
-23.2,50,54.308671
15.2,50,54.863246
56.8,50,55.360937
23.2,50,55.903805
16.0,50,56.478952
36.0,50,57.033713
-10.4,50,57.574891
20.8,50,58.117429
25.6,50,58.595176
64.0,50,59.082979
37.6,50,59.609258
39.2,50,60.094583
4.8,50,60.633754
14.4,50,61.153055
19.2,50,61.695905
30.4,50,62.254503
20.8,50,62.808339
36.8,50,63.311702
-6.4,50,63.835386
19.2,50,64.352158
11.2,50,64.838856
19.2,50,65.32991
24.0,50,65.845208
47.2,50,66.329851
71.2,50,66.784617
-4.8,50,67.283315
1.6,50,67.796896
23.2,50,68.338402
3.2,50,68.86445
19.2,50,69.369638
7.2,50,69.917876
36.8,50,70.460969
34.4,50,72.267274
-8.0,50,72.798634
36.0,50,73.348343
34.4,50,73.884746
17.6,50,74.427673
7.2,50,74.969934
40.0,50,75.514224
3.2,50,76.046082
-5.6,50,76.632014
-6.4,50,77.175096
21.6,50,77.719294
27.2,50,78.197319
44.0,50,78.71419
43.2,50,79.216596
-8.0,50,79.756405
22.4,50,80.279272
-8.0,50,80.787094
41.6,50,81.34614
-6.4,50,81.904974
0.8,50,82.427594
35.2,50,82.944486
43.2,50,83.482225
41.6,50,84.013246
30.4,50,84.554181
22.4,50,85.096127
28.8,50,85.653483
34.4,50,86.186078
41.6,50,86.684132
3.2,50,87.168686
31.2,50,87.700239
34.4,50,88.264124
-9.6,50,88.803246
66.4,50,89.350314
24.0,50,89.870317
16.0,50,90.349731
4.8,50,90.93662
14.4,50,91.464771
7.2,50,91.974018
38.4,50,92.514102
24.8,50,93.006908
34.4,50,93.542186
28.8,50,94.103867
36.8,50,94.630951
37.6,50,95.167367
12.8,50,95.747154
41.6,50,96.304961
17.6,50,96.850665
9.6,50,97.432956
12.8,50,97.966728
4.0,50,98.510023
17.6,50,99.033587
-3.2,50,99.529078
13.6,50,100.025223
34.4,50,100.539937
27.2,50,101.052573
11.2,50,101.513512
24.8,50,102.020056
20.0,50,102.485809
25.6,50,103.030537
23.2,50,103.560975
8.8,50,104.084635
37.6,50,104.642291
29.6,50,105.178846
5.6,50,107.025119
29.6,50,107.558993
41.6,50,108.09311
6.4,50,108.616523
29.6,50,109.122885
27.2,50,109.683236
24.8,50,110.202953
34.4,50,110.805586
17.6,50,111.3839
37.6,50,111.915264
11.2,50,112.482034
9.6,50,112.994929
4.0,50,113.564997
40.8,50,114.128094
-3.2,50,114.711842
-14.4,50,115.24481
26.4,50,115.756472
27.2,50,116.270809
28.0,50,116.805061
10.4,50,117.325049
11.2,50,117.892699
2.4,50,118.380681
20.8,50,118.925565
-1.6,50,119.412731
0.8,50,119.90203
4.8,50,120.448846
32.8,50,120.994186
39.2,50,121.527242
20.0,50,122.077611
40.8,50,122.63303
36.8,50,123.143862
40.8,50,123.716386
2.4,50,124.276644
12.8,50,124.839511
64.0,50,125.360976
20.0,50,125.907215
-0.8,50,126.414696
14.4,50,126.932777
64.0,50,127.448509
33.6,50,127.926849
8.8,50,128.43984
28.8,50,128.986561
7.2,50,129.573914
33.6,50,130.118626
42.4,50,130.63342
41.6,50,131.188836
-18.4,50,131.711123
34.4,50,132.276614
-11.2,50,132.818457
28.8,50,133.369718
0.8,50,133.895678
0.0,50,134.443563
13.6,50,134.963198
32.0,50,135.457156
41.6,50,135.971339
37.6,50,136.427367
0.8,50,136.973638
27.2,50,137.478745
31.2,50,138.030303
-1.6,50,138.53398
-0.8,50,139.054965
7.2,50,139.580807
68.0,50,140.049723
8.0,50,141.920821
6.4,50,142.494863
2.4,50,143.010033
41.6,50,143.539754
26.4,50,144.055104
20.8,50,144.596821
56.8,50,145.103821
40.8,50,145.646948
10.4,50,146.150548
