#{"t_start": 1677889023.5016963, "env_id": "gym_cell/cg-v0"}
r,l,t
66.4,50,3.350677
249.93,50,3.950333
55.2,50,4.506551
50.4,50,5.112016
61.6,50,5.684018
54.4,50,6.220647
74.4,50,6.823089
65.6,50,7.357121
60.8,50,7.879771
63.2,50,8.476358
60.8,50,9.093116
136.9225,50,9.694341
65.6,50,10.2616
56.0,50,10.852941
58.4,50,11.407791
146.89,50,11.993344
56.0,50,12.52284
60.0,50,13.05461
252.6,50,13.626318
56.0,50,14.17179
68.8,50,14.724546
63.2,50,15.277688
223.43,50,15.880917
65.6,50,16.381809
56.8,50,16.938773
222.11,50,17.460117
145.615,50,17.960834
76.0,50,18.52803
61.6,50,19.060074
58.4,50,19.604388
59.2,50,20.137115
157.8475,50,20.701978
60.0,50,21.248929
60.8,50,21.818001
259.115,50,22.40414
58.4,50,23.00971
54.4,50,23.624162
45.6,50,24.192653
61.6,50,24.759148
59.2,50,25.331141
65.6,50,25.891438
63.2,50,26.423205
67.2,50,26.994918
63.2,50,27.588723
68.0,50,28.198817
59.2,50,28.768522
65.6,50,29.340564
72.8,50,29.923884
61.6,50,30.49661
56.8,50,31.033712
64.0,50,31.571026
59.2,50,32.093669
54.4,50,32.630894
57.6,50,33.148504
24.8,50,33.694094
259.77,50,34.214809
70.4,50,34.759479
56.8,50,35.317374
40.0,50,35.876178
46.4,50,36.438656
60.8,50,36.975243
64.0,50,37.526221
56.8,50,39.43996
65.6,50,40.017745
46.4,50,40.560652
60.8,50,41.129625
64.8,50,41.703425
58.4,50,42.283009
60.8,50,42.881166
58.4,50,43.454112
70.4,50,44.029576
56.8,50,44.544533
67.2,50,45.066868
59.2,50,45.649116
60.8,50,46.199291
61.6,50,46.761108
58.4,50,47.361502
60.0,50,47.893098
162.4075,50,48.476491
56.0,50,49.099996
63.2,50,49.69398
231.505,50,50.276112
70.4,50,50.853158
59.2,50,51.404234
148.4725,50,51.962022
70.4,50,52.518508
62.4,50,53.100398
62.4,50,53.656674
60.8,50,54.226677
57.6,50,54.751183
49.6,50,55.242884
59.2,50,55.77142
65.6,50,56.293781
68.0,50,56.860491
66.4,50,57.437351
66.4,50,58.049869
65.6,50,58.632459
63.2,50,59.186702
54.4,50,59.758831
69.6,50,60.284123
58.4,50,60.896403
59.2,50,61.436022
56.0,50,61.988947
235.3,50,62.569382
53.6,50,63.118686
57.6,50,63.697275
59.2,50,64.28725
60.0,50,64.822114
60.8,50,65.400832
269.6025,50,65.939857
61.6,50,66.506105
52.0,50,67.08367
68.0,50,67.658217
63.2,50,68.207605
59.2,50,68.779135
58.4,50,69.338436
56.0,50,69.920021
65.6,50,70.461141
59.2,50,70.965048
63.2,50,71.550472
57.6,50,72.083806
60.0,50,72.583709
64.8,50,73.117237
61.6,50,73.660615
60.8,50,74.261264
59.2,50,76.483726
60.8,50,77.02645
60.8,50,77.593327
60.8,50,78.200306
52.8,50,78.746993
56.8,50,79.325173
60.0,50,79.869236
63.2,50,80.433108
241.49,50,81.027459
57.6,50,81.593856
64.8,50,82.227267
56.0,50,82.816439
151.0125,50,83.396806
40.0,50,83.926428
66.4,50,84.501664
65.6,50,85.070672
61.6,50,85.594904
53.6,50,86.140704
64.0,50,86.708155
17.6,50,87.272146
65.6,50,87.820144
56.0,50,88.369296
65.6,50,88.916176
65.6,50,89.462709
58.4,50,89.97908
50.4,50,90.489983
260.665,50,91.080008
60.0,50,91.662245
56.8,50,92.24032
275.5,50,92.772669
40.8,50,93.338397
65.6,50,93.933421
59.2,50,94.457289
64.0,50,95.057211
55.2,50,95.674421
63.2,50,96.307622
55.2,50,96.87314
59.2,50,97.458863
59.2,50,98.056112
152.4225,50,98.679857
61.6,50,99.229072
53.6,50,99.789432
65.6,50,100.364485
56.0,50,100.913427
65.6,50,101.473413
53.6,50,102.083757
70.4,50,102.652296
66.4,50,103.261814
60.0,50,103.805381
68.0,50,104.412189
65.6,50,105.011537
63.2,50,105.560377
66.4,50,106.14185
68.0,50,106.702452
60.0,50,107.247551
