#{"t_start": 1678040164.466175, "env_id": "gym_cell/cg-v0"}
r,l,t
56.0,50,2.986599
153.565,50,3.437927
64.8,50,3.987094
64.0,50,4.41158
44.0,50,4.963742
148.99,50,5.448244
70.4,50,5.931726
151.47,50,6.381635
32.8,50,6.704139
50.4,50,7.1817
52.8,50,7.600251
68.0,50,8.01213
60.0,50,8.430708
240.83,50,8.868975
56.0,50,9.353544
52.8,50,9.766798
58.4,50,10.274575
74.4,50,10.716564
57.6,50,11.168574
59.2,50,11.684875
-60.0,50,11.984257
-24.8,50,12.306719
-47.2,50,12.629037
-52.0,50,12.932695
-32.8,50,13.277228
-40.8,50,13.584275
-47.2,50,13.898827
-50.4,50,14.208666
-47.2,50,14.516322
-42.4,50,14.806027
-28.8,50,15.147808
60.8,50,15.709708
38.4,50,16.269432
54.4,50,16.797173
47.2,50,17.398254
52.8,50,17.959275
72.0,50,18.466774
16.8,50,18.783249
51.2,50,19.213861
36.8,50,19.681999
66.4,50,20.202832
62.4,50,20.755238
28.8,50,21.177128
72.0,50,21.731427
65.6,50,22.177386
72.0,50,22.69993
52.8,50,23.119849
31.2,50,23.485146
240.325,50,23.913691
220.385,50,24.483111
157.1625,50,25.033225
-41.6,50,25.353655
-30.4,50,25.643409
-39.2,50,25.960739
-40.0,50,26.310418
-40.8,50,26.61849
-34.4,50,26.945954
-48.8,50,27.267723
-25.6,50,27.564676
-52.0,50,27.861198
-56.0,50,28.163742
-20.0,50,28.469177
8.0,50,29.982127
69.6,50,30.434969
70.4,50,30.983821
140.985,50,31.461294
66.4,50,32.009638
233.9625,50,32.578622
68.8,50,33.009679
49.6,50,33.479149
63.2,50,33.910257
36.0,50,34.26199
60.0,50,34.866676
54.4,50,35.420957
67.2,50,35.89854
263.5175,50,36.415417
60.8,50,36.994504
38.4,50,37.514095
220.32,50,38.038447
60.8,50,38.593543
65.6,50,39.035318
60.0,50,39.520071
-53.6,50,39.825458
-34.4,50,40.122649
-38.4,50,40.415602
-45.6,50,40.743989
-39.2,50,41.064372
-33.6,50,41.353741
-68.0,50,41.633872
-39.2,50,41.955407
-48.0,50,42.27471
-39.2,50,42.596781
-47.2,50,42.895109
63.2,50,43.41072
45.6,50,43.94389
36.0,50,44.377227
69.6,50,44.786047
16.0,50,45.323574
67.2,50,45.76152
65.6,50,46.197263
56.8,50,46.658084
48.0,50,47.18482
50.4,50,47.649127
72.0,50,48.152481
50.4,50,48.578178
20.0,50,49.020112
58.4,50,49.440134
231.815,50,50.016976
48.0,50,50.427788
63.2,50,50.997215
65.6,50,51.55107
74.4,50,52.07273
61.6,50,52.512587
-37.6,50,52.834766
-62.4,50,53.151107
-53.6,50,53.459078
-33.6,50,53.782895
-65.6,50,54.077308
-34.4,50,54.395091
-40.0,50,54.714738
-56.8,50,55.029555
-62.4,50,55.335609
-46.4,50,55.626501
-32.8,50,55.930862
56.0,50,56.566275
43.2,50,58.029862
38.4,50,58.641278
64.8,50,59.118948
68.0,50,59.585169
67.2,50,60.07811
76.8,50,60.644178
240.3375,50,61.156312
60.0,50,61.550025
56.0,50,62.059046
55.2,50,62.597496
67.2,50,63.090803
49.6,50,63.672968
61.6,50,64.131887
53.6,50,64.651803
60.0,50,65.153008
45.6,50,65.709857
63.2,50,66.265633
139.03,50,66.807913
51.2,50,67.330618
60.8,50,67.893729
69.6,50,68.440692
49.6,50,68.987616
62.4,50,69.568112
241.3775,50,70.084929
157.5925,50,70.657087
57.6,50,71.246037
257.2825,50,71.833661
58.4,50,72.380208
240.59,50,72.94564
55.2,50,73.543817
68.8,50,73.994836
49.6,50,74.451546
60.0,50,74.963352
48.8,50,75.439784
31.2,50,75.916508
211.235,50,76.516382
53.6,50,77.042479
60.0,50,77.452089
49.6,50,77.938732
294.3725,50,78.46392
56.8,50,78.904604
247.6575,50,79.369823
76.8,50,79.860435
59.2,50,80.356603
228.06,50,80.76841
56.8,50,81.377208
47.2,50,81.881381
53.6,50,82.350331
76.8,50,82.801536
53.6,50,83.338209
60.8,50,83.892864
15.2,50,84.49938
227.3075,50,85.071155
62.4,50,85.683603
236.665,50,86.244536
60.0,50,86.798
58.4,50,87.290821
144.4525,50,87.81042
245.975,50,88.332424
56.0,50,88.902139
67.2,50,89.473818
59.2,50,90.071141
59.2,50,90.664998
64.0,50,92.145601
59.2,50,92.627388
67.2,50,93.140001
58.4,50,93.611462
56.0,50,94.084805
62.4,50,94.495745
50.4,50,95.095925
237.165,50,95.660204
62.4,50,96.184918
44.0,50,96.654107
63.2,50,97.044233
289.255,50,97.561023
65.6,50,98.060734
229.6475,50,98.52036
70.4,50,98.972517
149.4325,50,99.565889
52.0,50,100.071552
74.4,50,100.543392
57.6,50,101.06897
46.4,50,101.558652
62.4,50,102.024581
65.6,50,102.49649
64.8,50,102.972894
64.8,50,103.424836
68.0,50,103.894423
64.8,50,104.361574
53.6,50,104.848398
69.6,50,105.38062
51.2,50,105.840879
57.6,50,106.227114
60.0,50,106.669535
57.6,50,107.100044
64.0,50,107.501291
64.0,50,107.930476
40.0,50,108.48032
77.6,50,108.931556
65.6,50,109.45382
180.0675,50,109.991516
55.2,50,110.494384
246.145,50,110.995032
60.8,50,111.502677
70.4,50,111.922856
52.8,50,112.332836
72.0,50,112.774354
63.2,50,113.231453
44.8,50,113.783159
66.4,50,114.28924
64.8,50,114.879095
64.0,50,115.400904
62.4,50,115.847668
58.4,50,116.301114
60.0,50,116.791831
150.0525,50,117.294709
266.95,50,117.808753
62.4,50,118.322945
68.0,50,118.82527
60.8,50,119.375462
156.8225,50,119.846551
56.8,50,120.389023
55.2,50,120.852821
72.0,50,121.252176
70.4,50,121.783965
218.055,50,122.180042
58.4,50,123.81078
63.2,50,124.233728
50.4,50,124.812783
65.6,50,125.370032
63.2,50,125.860371
58.4,50,126.400992
61.6,50,126.945955
60.8,50,127.439079
140.665,50,127.967637
65.6,50,128.468075
64.8,50,129.069668
60.8,50,129.501638
147.7675,50,129.895879
58.4,50,130.435753
60.8,50,131.002203
37.6,50,131.438749
65.6,50,131.979131
-45.6,50,132.309716
-12.0,50,132.642978
-48.0,50,132.934867
-28.8,50,133.246439
-28.8,50,133.563949
-42.4,50,133.890096
-28.0,50,134.210859
-44.0,50,134.526538
-60.0,50,134.804482
-56.8,50,135.108229
-48.8,50,135.411673
229.415,50,136.002825
56.8,50,136.550008
60.8,50,137.140504
125.46,50,137.688348
56.0,50,138.180243
278.18,50,138.785795
28.8,50,139.284361
67.2,50,139.866367
63.2,50,140.402373
58.4,50,140.88294
52.0,50,141.458587
65.6,50,141.887227
72.0,50,142.414899
136.0925,50,142.918531
292.0125,50,143.492299
153.16,50,144.006615
56.8,50,144.577209
155.3975,50,145.118074
58.4,50,145.569558
70.4,50,146.039398
-35.2,50,146.363117
-42.4,50,146.660486
-48.8,50,146.974133
-33.6,50,147.302176
-52.0,50,147.600845
-37.6,50,147.92396
-59.2,50,148.207386
-46.4,50,148.488111
-45.6,50,148.770835
-61.6,50,149.105627
-67.2,50,149.377697
68.0,50,149.865619
59.2,50,150.340058
73.6,50,150.714622
68.8,50,151.27569
44.0,50,152.698647
66.4,50,153.151105
67.2,50,153.669565
67.2,50,154.184016
61.6,50,154.562702
